customer_id,segment_key,risk_key,monthly_income,annual_income,total_monthly_expense,housing_expense,food_expense,transportation_expense,healthcare_expense,entertainment_expense,utilities_expense,other_expense,disposable_income,expense_to_income_ratio,monthly_savings,savings_balance,savings_rate,emergency_fund_status,net_savings_capacity,savings_behavior_tier,credit_card_debt,personal_loan,education_loan,vehicle_loan,mortgage,total_debt,debt_to_income_ratio,credit_score,payment_behavior,missed_payments,credit_utilization,credit_risk_category,debt_risk_tier,total_transactions,total_transaction_amount,avg_transaction_amount,total_products,active_products,r_score,f_score,m_score,rfm_score_code,rfm_composite_score,rfm_segment,financial_health_score
CUST-01634,SEG_SAVERS,RISK_VERY_HIGH_RISK_CRITICAL_RISK,4860.29,58323.48,3287.42,957.87,631.58,505.16,257.78,419.04,289.89,226.1,1572.87,0.6764,1086.02,89870.68,0.2234,Fully Funded,486.85,Excellent Saver,0.0,0.0,0.0,0.0,296713.18,296713.18,0.7326,572,Frequently Late,10,0.8,Very High Risk,Critical Risk,4,1866.26,466.56,2,2,1,2,3,123,2.0,Lost,49.05
CUST-07643,SEG_EMERGING,RISK_LOW_RISK_LOW_RISK,5564.01,66768.12,4035.67,1502.3,1000.48,453.14,192.81,315.47,271.26,300.21,1528.34,0.7253,999.28,105416.61,0.1796,Fully Funded,529.06,Healthy Saver,3569.28,6285.77,0.0,26905.81,0.0,36760.86,0.0793,755,On-Time,0,0.16,Low Risk,Low Risk,4,977.74,244.44,1,1,1,2,2,122,1.67,Lost,90.64
CUST-10025,SEG_LOW_ENGAGED,RISK_MEDIUM_RISK_MODERATE_RISK,5879.73,70556.76,4447.19,1957.15,741.33,433.67,277.79,609.18,286.74,141.33,1432.54,0.7564,945.27,67555.02,0.1608,Fully Funded,487.27,Healthy Saver,0.0,0.0,0.0,27079.15,0.0,27079.15,0.0553,691,On-Time,0,0.44,Medium Risk,Moderate Risk,2,1493.32,746.66,1,1,1,1,3,113,1.67,Lost,85.51
CUST-09247,SEG_STRONG,RISK_LOW_RISK_LOW_RISK,6749.36,80992.32,4073.11,1326.51,940.09,679.06,293.21,309.25,343.54,181.45,2676.25,0.6035,2021.58,234674.43,0.2995,Fully Funded,654.67,Excellent Saver,6206.43,0.0,20619.68,0.0,0.0,26826.11,0.0477,786,On-Time,0,0.23,Low Risk,Low Risk,4,2293.95,573.49,2,1,1,2,4,124,2.33,Lost,95.9
CUST-10924,SEG_EMERGING,RISK_MEDIUM_RISK_HIGH_RISK,2778.68,33344.16,2212.23,1007.21,454.9,159.63,84.37,199.78,148.37,157.97,566.45,0.7961,253.46,17597.14,0.0912,Fully Funded,312.99,Moderate Saver,0.0,10304.88,0.0,0.0,0.0,10304.88,0.0445,702,On-Time,1,0.34,Medium Risk,High Risk,3,513.44,171.15,2,1,1,1,1,111,1.0,Lost,70.84
CUST-07016,SEG_HIGH_SPEND,RISK_HIGH_RISK_CRITICAL_RISK,9944.45,119333.4,7608.66,3049.04,1499.65,823.57,362.79,968.38,592.98,312.25,2335.79,0.7651,1225.9,112328.93,0.1233,Fully Funded,1109.89,Moderate Saver,8759.51,0.0,0.0,6206.83,231607.03,246573.37,0.2975,628,Occasional Late,3,0.66,High Risk,Critical Risk,2,1771.83,885.91,2,2,1,1,3,113,1.67,Lost,55.97
CUST-06889,SEG_LOW_ENGAGED,RISK_MEDIUM_RISK_MODERATE_RISK,4032.09,48385.08,3066.12,1039.76,667.86,270.14,234.21,402.12,228.35,223.68,965.97,0.7604,479.28,41526.86,0.1189,Fully Funded,486.69,Moderate Saver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,696,On-Time,0,0.39,Medium Risk,Moderate Risk,2,1659.96,829.98,1,1,1,1,3,113,1.67,Lost,80.84
CUST-10878,SEG_LOW_ENGAGED,RISK_MEDIUM_RISK_HIGH_RISK,3577.91,42934.92,2918.15,1433.55,556.58,208.99,219.91,211.78,204.85,82.49,659.76,0.8156,379.34,38181.52,0.106,Fully Funded,280.42,Moderate Saver,2285.52,0.0,0.0,0.0,0.0,2285.52,0.0077,739,Occasional Late,2,0.28,Medium Risk,High Risk,2,349.1,174.55,1,1,1,1,1,111,1.0,Lost,70.66
CUST-07475,SEG_EMERGING,RISK_MEDIUM_RISK_MODERATE_RISK,7751.31,93015.72,5757.85,2006.37,1184.13,640.2,459.96,622.74,452.58,391.87,1993.46,0.7428,1642.19,124375.42,0.2119,Fully Funded,351.27,Excellent Saver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,709,On-Time,0,0.43,Medium Risk,Moderate Risk,3,708.94,236.31,2,1,1,1,1,111,1.0,Lost,93.59
CUST-00739,SEG_STRONG,RISK_MEDIUM_RISK_LOW_RISK,6816.36,81796.32,5177.34,1956.67,1029.43,599.46,228.72,623.18,357.05,382.83,1639.02,0.7595,1042.71,101281.67,0.153,Fully Funded,596.31,Healthy Saver,3052.3,0.0,0.0,25436.64,0.0,28488.94,0.0502,740,On-Time,0,0.46,Medium Risk,Low Risk,3,1608.6,536.2,4,3,1,2,3,123,2.0,Lost,86.7
CUST-09498,SEG_EMERGING,RISK_MEDIUM_RISK_HIGH_RISK,6309.52,75714.24,3998.14,1333.42,832.4,356.08,388.86,537.87,311.01,238.5,2311.38,0.6337,1895.66,116788.44,0.3004,Fully Funded,415.72,Excellent Saver,9273.98,0.0,0.0,0.0,0.0,9273.98,0.0176,730,On-Time,2,0.21,Medium Risk,High Risk,5,4028.89,805.78,1,1,1,4,5,145,3.33,Loyal Customers,84.11
CUST-08068,SEG_DEBT_BURDENED,RISK_VERY_HIGH_RISK_CRITICAL_RISK,4345.97,52151.64,3553.78,1535.08,601.56,326.97,213.71,431.69,265.16,179.61,792.19,0.8177,575.74,34514.55,0.1325,Fully Funded,216.45,Moderate Saver,0.0,18832.8,0.0,0.0,357248.85,376081.65,1.0384,478,Default Risk,11,0.94,Very High Risk,Critical Risk,2,904.53,452.26,3,2,1,1,2,112,1.33,Lost,27.97
CUST-05005,SEG_DEBT_BURDENED,RISK_HIGH_RISK_CRITICAL_RISK,5889.92,70679.04,4990.7,2030.21,1022.91,510.58,386.81,531.7,321.8,186.69,899.22,0.8473,630.97,67330.74,0.1071,Fully Funded,268.25,Moderate Saver,1602.19,22889.91,42602.16,0.0,0.0,67094.26,0.1367,657,Occasional Late,4,0.78,High Risk,Critical Risk,3,1273.05,424.35,4,2,1,2,2,122,1.67,Lost,53.87
CUST-13257,SEG_EMERGING,RISK_MEDIUM_RISK_MODERATE_RISK,9139.23,109670.76,6306.55,2525.57,1110.83,793.84,279.38,662.73,605.25,328.95,2832.68,0.6901,2407.31,272196.79,0.2634,Fully Funded,425.37,Excellent Saver,5135.69,0.0,0.0,0.0,0.0,5135.69,0.0067,703,Occasional Late,0,0.34,Medium Risk,Moderate Risk,2,1165.49,582.75,2,2,1,1,2,112,1.33,Lost,93.15
CUST-13789,SEG_EMERGING,RISK_MEDIUM_RISK_MODERATE_RISK,3782.47,45389.64,2573.72,1111.37,568.06,247.05,203.16,159.87,197.51,86.7,1208.75,0.6804,527.89,53995.1,0.1396,Fully Funded,680.86,Moderate Saver,299.93,0.0,0.0,0.0,0.0,299.93,0.001,732,Occasional Late,0,0.27,Medium Risk,Moderate Risk,3,162.56,54.19,2,1,1,1,1,111,1.0,Lost,85.55
CUST-14721,SEG_SAVERS,RISK_LOW_RISK_LOW_RISK,4230.01,50760.12,2706.85,922.07,524.63,265.05,189.33,300.73,251.36,253.68,1523.16,0.6399,1235.89,77285.21,0.2922,Fully Funded,287.27,Excellent Saver,0.0,0.0,0.0,7598.18,0.0,7598.18,0.0216,831,On-Time,0,0.06,Low Risk,Low Risk,3,1155.82,385.27,4,3,1,2,2,122,1.67,Lost,98.6
CUST-12687,SEG_HIGH_SPEND,RISK_HIGH_RISK_CRITICAL_RISK,11452.01,137424.12,9392.96,3662.32,1569.94,805.66,784.35,1108.0,778.04,684.65,2059.05,0.8202,857.8,95989.73,0.0749,Fully Funded,1201.25,Moderate Saver,16079.93,0.0,0.0,0.0,357773.27,373853.2,0.3917,632,Occasional Late,3,0.56,High Risk,Critical Risk,2,483.92,241.96,2,2,1,1,1,111,1.0,Lost,46.53
CUST-13478,SEG_EMERGING,RISK_MEDIUM_RISK_MODERATE_RISK,8866.4,106396.8,6166.1,1800.88,1184.91,872.7,412.19,921.71,628.96,344.75,2700.3,0.6954,1973.68,153995.65,0.2226,Fully Funded,726.62,Excellent Saver,0.0,17335.01,0.0,0.0,0.0,17335.01,0.0235,727,On-Time,0,0.41,Medium Risk,Moderate Risk,2,1334.33,667.16,4,4,1,1,2,112,1.33,Lost,93.82
CUST-12109,SEG_HIGH_SPEND,RISK_MEDIUM_RISK_MODERATE_RISK,8049.76,96597.12,5924.72,2549.35,972.56,780.94,383.47,341.47,542.05,354.88,2125.04,0.736,1177.45,98348.31,0.1463,Fully Funded,947.59,Moderate Saver,1886.25,0.0,0.0,24993.01,0.0,26879.26,0.0401,707,Occasional Late,0,0.41,Medium Risk,Moderate Risk,2,277.41,138.7,3,2,1,1,1,111,1.0,Lost,84.44
CUST-14182,SEG_EMERGING,RISK_MEDIUM_RISK_MODERATE_RISK,6539.97,78479.64,4147.94,1234.17,820.32,401.21,326.02,574.95,432.79,358.48,2392.03,0.6342,1034.32,96825.83,0.1582,Fully Funded,1357.71,Healthy Saver,9336.31,0.0,0.0,0.0,0.0,9336.31,0.0171,721,On-Time,0,0.5,Medium Risk,Moderate Risk,2,755.1,377.55,2,2,1,1,2,112,1.33,Lost,87.44
CUST-02399,SEG_HIGH_SPEND,RISK_HIGH_RISK_CRITICAL_RISK,8143.54,97722.48,7074.98,3257.51,1153.09,651.9,450.63,734.15,548.77,278.93,1068.56,0.8688,491.98,30757.76,0.0604,Partially Funded,576.58,Moderate Saver,1332.39,17773.5,0.0,31023.53,332110.1,382239.52,0.5633,586,Occasional Late,2,0.46,High Risk,Critical Risk,2,786.82,393.41,3,3,1,1,2,112,1.33,Lost,42.98
CUST-03541,SEG_LOW_ENGAGED,RISK_MEDIUM_RISK_HIGH_RISK,5973.98,71687.76,4660.6,1998.3,743.58,487.58,318.18,601.76,343.06,168.14,1313.38,0.7801,616.84,65480.18,0.1033,Fully Funded,696.54,Moderate Saver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,719,On-Time,1,0.36,Medium Risk,High Risk,3,1589.55,529.85,1,1,1,2,3,123,2.0,Lost,74.54
CUST-02796,SEG_EMERGING,RISK_MEDIUM_RISK_HIGH_RISK,7340.47,88085.64,5989.74,2436.95,1153.07,446.87,483.16,606.39,475.95,387.35,1350.73,0.816,600.83,71911.74,0.0819,Fully Funded,749.9,Moderate Saver,889.85,0.0,0.0,0.0,0.0,889.85,0.0015,671,On-Time,2,0.39,Medium Risk,High Risk,2,240.75,120.38,2,2,1,1,1,111,1.0,Lost,64.11
CUST-09058,SEG_EMERGING,RISK_LOW_RISK_LOW_RISK,4514.33,54171.96,3564.98,1358.21,624.18,417.03,301.23,434.77,305.95,123.61,949.35,0.7897,535.66,42403.03,0.1187,Fully Funded,413.69,Moderate Saver,0.0,0.0,0.0,8568.63,0.0,8568.63,0.0228,774,On-Time,0,0.07,Low Risk,Low Risk,4,1736.0,434.0,2,2,1,2,3,123,2.0,Lost,83.78
CUST-14941,SEG_CREDIT_RISK,RISK_HIGH_RISK_CRITICAL_RISK,5621.22,67454.64,4260.86,1755.27,826.34,572.28,186.79,409.16,356.98,154.04,1360.36,0.758,817.61,70345.83,0.1455,Fully Funded,542.75,Moderate Saver,6851.08,0.0,0.0,12218.83,0.0,19069.91,0.0407,630,Occasional Late,4,0.69,High Risk,Critical Risk,3,639.12,213.04,4,3,1,1,1,111,1.0,Lost,60.81
CUST-10851,SEG_SAVERS,RISK_LOW_RISK_LOW_RISK,1106.74,13280.88,766.54,238.88,162.5,90.44,50.32,102.89,59.65,61.86,340.2,0.6926,245.74,19817.03,0.222,Fully Funded,94.46,Excellent Saver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,810,On-Time,0,0.19,Low Risk,Low Risk,2,971.87,485.94,2,1,1,1,2,112,1.33,Lost,98.18
CUST-05172,SEG_STRONG,RISK_LOW_RISK_LOW_RISK,10391.8,124701.6,6242.45,1973.23,1539.82,784.41,331.52,405.32,704.0,504.15,4149.35,0.6007,3292.56,388485.8,0.3168,Fully Funded,856.79,Excellent Saver,6174.14,21065.68,0.0,0.0,0.0,27239.82,0.0315,779,On-Time,0,0.09,Low Risk,Low Risk,3,2765.77,921.92,2,2,1,2,4,124,2.33,Lost,95.99
CUST-02171,SEG_LOW_ENGAGED,RISK_HIGH_RISK_HIGH_RISK,4538.82,54465.84,3897.52,1805.27,704.46,447.31,229.76,228.83,249.42,232.47,641.3,0.8587,517.35,49951.35,0.114,Fully Funded,123.95,Moderate Saver,5779.34,0.0,0.0,0.0,0.0,5779.34,0.0153,668,Occasional Late,2,0.48,High Risk,High Risk,2,347.73,173.87,1,1,1,1,1,111,1.0,Lost,68.44
CUST-11243,SEG_STRONG,RISK_MEDIUM_RISK_LOW_RISK,7528.85,90346.2,5024.12,2028.41,992.11,751.32,250.14,322.93,408.01,271.2,2504.73,0.6673,2008.81,142757.69,0.2668,Fully Funded,495.92,Excellent Saver,9429.55,0.0,0.0,15528.6,0.0,24958.15,0.0398,743,Occasional Late,0,0.4,Medium Risk,Low Risk,2,676.86,338.43,2,1,1,1,1,111,1.0,Lost,94.14
CUST-06393,SEG_EMERGING,RISK_HIGH_RISK_HIGH_RISK,1170.91,14050.92,924.95,359.87,197.21,84.44,81.93,89.88,79.04,32.58,245.96,0.7899,157.06,13546.17,0.1341,Fully Funded,88.9,Moderate Saver,1640.69,0.0,41743.51,0.0,0.0,43384.2,0.4446,634,Frequently Late,1,0.82,High Risk,High Risk,3,325.42,108.47,4,4,1,1,1,111,1.0,Lost,64.18
CUST-14507,SEG_LOW_ENGAGED,RISK_MEDIUM_RISK_MODERATE_RISK,7251.6,87019.2,5381.08,1959.25,1046.73,542.5,408.88,751.28,506.72,165.72,1870.52,0.7421,1575.99,177456.89,0.2173,Fully Funded,294.53,Excellent Saver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,731,Occasional Late,0,0.38,Medium Risk,Moderate Risk,3,570.93,190.31,1,1,1,1,1,111,1.0,Lost,94.59
CUST-03361,SEG_HIGH_SPEND,RISK_HIGH_RISK_CRITICAL_RISK,7576.68,90920.16,6039.57,2577.48,1216.5,517.23,251.6,549.16,480.7,446.9,1537.11,0.7971,734.04,66285.42,0.0969,Fully Funded,803.07,Moderate Saver,1213.17,0.0,0.0,0.0,0.0,1213.17,0.0019,626,Frequently Late,3,0.59,High Risk,Critical Risk,2,462.07,231.03,2,2,1,1,1,111,1.0,Lost,59.31
CUST-05230,SEG_EMERGING,RISK_MEDIUM_RISK_MODERATE_RISK,2560.41,30724.92,2193.02,1001.6,331.48,235.22,167.64,223.7,129.73,103.65,367.39,0.8565,160.45,11146.37,0.0627,Partially Funded,206.94,Moderate Saver,2431.53,0.0,0.0,11919.77,0.0,14351.3,0.0673,671,On-Time,0,0.21,Medium Risk,Moderate Risk,5,1350.07,270.01,1,1,1,3,2,132,2.0,Needs Attention,69.59
CUST-01727,SEG_DEBT_BURDENED,RISK_MEDIUM_RISK_HIGH_RISK,6863.29,82359.48,5451.77,2064.69,1218.59,428.09,297.14,622.22,464.53,356.51,1411.52,0.7943,616.73,42937.89,0.0899,Fully Funded,794.79,Moderate Saver,11627.68,0.0,32103.67,0.0,96816.07,140547.42,0.2457,739,Occasional Late,2,0.25,Medium Risk,High Risk,3,3480.17,1160.06,1,1,1,2,5,125,2.67,Lost,62.3
CUST-06759,SEG_EMERGING,RISK_MEDIUM_RISK_HIGH_RISK,7874.72,94496.64,5985.32,1907.21,1208.64,817.68,472.92,779.65,417.74,381.48,1889.4,0.7601,1524.27,116139.66,0.1936,Fully Funded,365.13,Healthy Saver,5857.3,0.0,0.0,33274.01,0.0,39131.31,0.0596,702,Occasional Late,2,0.28,Medium Risk,High Risk,2,298.22,149.11,2,2,1,1,1,111,1.0,Lost,80.82
CUST-06961,SEG_CREDIT_RISK,RISK_HIGH_RISK_CRITICAL_RISK,4491.0,53892.0,3854.0,1726.65,567.31,370.81,194.3,457.4,281.95,255.58,637.0,0.8582,270.22,25108.16,0.0602,Fully Funded,366.78,Moderate Saver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,656,Frequently Late,4,0.69,High Risk,Critical Risk,3,1514.26,504.75,3,3,1,2,3,123,2.0,Lost,50.21
CUST-04455,SEG_DEBT_BURDENED,RISK_MEDIUM_RISK_HIGH_RISK,3707.36,44488.32,2769.57,1154.43,544.98,300.07,142.41,312.05,181.18,134.45,937.79,0.747,659.84,72713.45,0.178,Fully Funded,277.95,Healthy Saver,0.0,0.0,0.0,0.0,119655.52,119655.52,0.3873,687,On-Time,2,0.24,Medium Risk,High Risk,3,1758.89,586.3,2,2,1,2,3,123,2.0,Lost,69.61
CUST-09879,SEG_EMERGING,RISK_LOW_RISK_LOW_RISK,3343.33,40119.96,2547.21,908.06,561.65,260.87,218.21,316.01,169.55,112.86,796.12,0.7619,646.05,61197.41,0.1932,Fully Funded,150.07,Healthy Saver,0.0,0.0,0.0,19046.66,0.0,19046.66,0.0684,759,On-Time,0,0.2,Low Risk,Low Risk,3,1546.93,515.64,3,2,1,2,3,123,2.0,Lost,93.13
CUST-10658,SEG_STRONG,RISK_MEDIUM_RISK_HIGH_RISK,6100.81,73209.72,4714.94,1829.03,1019.01,522.57,408.33,365.72,321.12,249.16,1385.87,0.7728,1109.68,107948.54,0.1819,Fully Funded,276.19,Healthy Saver,2311.78,11866.31,0.0,22227.66,0.0,36405.75,0.0716,748,On-Time,1,0.49,Medium Risk,High Risk,3,1051.95,350.65,1,1,1,1,2,112,1.33,Lost,85.86
CUST-04322,SEG_SAVERS,RISK_LOW_RISK_LOW_RISK,4791.49,57497.88,3288.4,1200.36,641.25,428.16,148.34,304.7,327.77,237.82,1503.09,0.6863,1052.09,93888.78,0.2196,Fully Funded,451.0,Excellent Saver,5574.86,7195.41,18208.19,0.0,0.0,30978.46,0.0776,787,On-Time,0,0.12,Low Risk,Low Risk,2,1185.0,592.5,1,1,1,1,2,112,1.33,Lost,95.2
CUST-01665,SEG_EMERGING,RISK_MEDIUM_RISK_HIGH_RISK,3829.69,45956.28,3209.71,1458.33,532.19,397.13,118.34,348.64,204.52,150.56,619.98,0.8381,432.04,44427.23,0.1128,Fully Funded,187.94,Moderate Saver,3355.74,0.0,0.0,18192.57,0.0,21548.31,0.0675,697,Occasional Late,1,0.27,Medium Risk,High Risk,2,104.2,52.1,4,3,1,1,1,111,1.0,Lost,73.28
CUST-05332,SEG_LOW_ENGAGED,RISK_MEDIUM_RISK_MODERATE_RISK,1568.65,18823.8,1182.84,503.81,277.46,91.04,100.06,74.23,80.06,56.18,385.81,0.754,181.68,14495.01,0.1158,Fully Funded,204.13,Moderate Saver,1689.13,0.0,11893.9,0.0,0.0,13583.03,0.1039,695,On-Time,0,0.49,Medium Risk,Moderate Risk,2,1322.73,661.37,1,1,1,1,2,112,1.33,Lost,77.73
CUST-03706,SEG_SAVERS,RISK_MEDIUM_RISK_MODERATE_RISK,2992.3,35907.6,1953.28,725.79,462.53,171.11,101.98,213.54,169.66,108.67,1039.02,0.6528,702.38,46178.87,0.2347,Fully Funded,336.64,Excellent Saver,3108.26,0.0,0.0,0.0,0.0,3108.26,0.0125,685,Occasional Late,0,0.3,Medium Risk,Moderate Risk,3,506.23,168.74,3,3,1,1,1,111,1.0,Lost,92.19
CUST-13818,SEG_EMERGING,RISK_MEDIUM_RISK_LOW_RISK,5151.72,61820.64,4045.01,1561.52,708.11,481.3,356.05,399.79,280.13,258.11,1106.71,0.7852,468.34,44623.8,0.0909,Fully Funded,638.37,Moderate Saver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,742,On-Time,0,0.22,Medium Risk,Low Risk,3,2012.2,670.73,3,3,1,2,3,123,2.0,Lost,78.73
CUST-04482,SEG_EMERGING,RISK_MEDIUM_RISK_MODERATE_RISK,5897.82,70773.84,4173.64,1771.71,839.7,438.69,301.88,282.35,299.85,239.46,1724.18,0.7077,910.64,78830.1,0.1544,Fully Funded,813.54,Healthy Saver,8807.03,0.0,0.0,0.0,0.0,8807.03,0.0179,707,Occasional Late,0,0.42,Medium Risk,Moderate Risk,2,339.76,169.88,4,3,1,1,1,111,1.0,Lost,86.21
CUST-05866,SEG_SAVERS,RISK_MEDIUM_RISK_HIGH_RISK,5236.31,62835.72,3056.97,1065.99,775.62,306.16,161.8,271.94,276.8,198.66,2179.34,0.5838,1574.48,111652.26,0.3007,Fully Funded,604.86,Excellent Saver,1317.97,20754.65,0.0,0.0,161349.33,183421.95,0.4203,699,Occasional Late,0,0.45,Medium Risk,High Risk,5,2440.16,488.03,2,2,1,3,4,134,2.67,At Risk,82.63
CUST-02729,SEG_SAVERS,RISK_MEDIUM_RISK_MODERATE_RISK,5394.01,64728.12,3882.49,1459.59,751.62,403.25,199.51,517.84,306.23,244.45,1511.52,0.7198,1100.45,77193.45,0.204,Fully Funded,411.07,Excellent Saver,775.25,0.0,0.0,0.0,0.0,775.25,0.0017,706,On-Time,0,0.23,Medium Risk,Moderate Risk,2,564.39,282.19,2,2,1,1,1,111,1.0,Lost,93.41
CUST-13812,SEG_CREDIT_RISK,RISK_HIGH_RISK_CRITICAL_RISK,4374.95,52499.4,3766.82,1576.81,716.79,374.13,235.05,454.74,240.43,168.87,608.13,0.861,305.46,22159.64,0.0698,Partially Funded,302.67,Moderate Saver,0.0,0.0,0.0,20270.62,0.0,20270.62,0.0556,616,Frequently Late,4,0.66,High Risk,Critical Risk,2,1606.84,803.42,3,3,1,1,3,113,1.67,Lost,48.44
CUST-05914,SEG_EMERGING,RISK_MEDIUM_RISK_HIGH_RISK,6775.53,81306.36,5352.42,2281.02,1121.45,450.32,297.08,531.69,374.46,296.4,1423.11,0.79,746.34,63549.51,0.1102,Fully Funded,676.77,Moderate Saver,0.0,0.0,0.0,6342.48,0.0,6342.48,0.0112,701,On-Time,1,0.45,Medium Risk,High Risk,2,569.85,284.93,3,2,1,1,1,111,1.0,Lost,74.48
CUST-09900,SEG_HIGH_SPEND,RISK_MEDIUM_RISK_MODERATE_RISK,12681.41,152176.92,10555.89,4664.71,2107.03,1303.55,407.12,1095.33,643.3,334.85,2125.52,0.8324,1610.77,129657.08,0.127,Fully Funded,514.75,Moderate Saver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,689,On-Time,0,0.22,Medium Risk,Moderate Risk,3,618.49,206.16,3,2,1,1,1,111,1.0,Lost,81.73
