income_id,customer_id,monthly_income,annual_income,income_source,income_stability
INC-00160,CUST-00160,10299.25,123591.0,Business,Low
INC-00161,CUST-00161,9472.64,113671.68,Salary,High
INC-00162,CUST-00162,7972.57,95670.84,Salary,High
INC-00163,CUST-00163,4330.07,51960.84,Salary,High
INC-00164,CUST-00164,3848.8,46185.6,Salary,High
INC-00165,CUST-00165,3521.69,42260.28,Salary,High
INC-00166,CUST-00166,3197.74,38372.88,Salary,High
INC-00167,CUST-00167,8096.14,97153.68,Salary,High
INC-00168,CUST-00168,3462.29,41547.48,Salary,Medium
INC-00169,CUST-00169,8044.44,96533.28,Salary,High
INC-00170,CUST-00170,5653.9,67846.8,Salary,Medium
INC-00171,CUST-00171,13146.56,157758.72,Salary,High
INC-00172,CUST-00172,4815.55,57786.6,Pension/Government,High
INC-00173,CUST-00173,4867.06,58404.72,Business,Medium
INC-00174,CUST-00174,9901.08,118812.96,Salary,Medium
INC-00175,CUST-00175,4572.23,54866.76,Investment,High
INC-00176,CUST-00176,10183.18,122198.16,Business,Medium
INC-00177,CUST-00177,4103.1,49237.2,Salary,High
INC-00178,CUST-00178,585.48,7025.76,Government Support,Low
INC-00179,CUST-00179,9741.75,116901.0,Salary,High
INC-00180,CUST-00180,7818.56,93822.72,Salary,High
INC-00181,CUST-00181,3282.88,39394.56,Salary,High
INC-00182,CUST-00182,6689.66,80275.92,Salary,Medium
INC-00183,CUST-00183,6231.23,74774.76,Freelance,Medium
INC-00184,CUST-00184,11100.77,133209.24,Salary,High
INC-00185,CUST-00185,1173.91,14086.92,Government Support,Low
INC-00186,CUST-00186,3712.77,44553.24,Salary,Medium
INC-00187,CUST-00187,5852.91,70234.92,Salary,Medium
INC-00188,CUST-00188,4555.34,54664.08,Salary,High
INC-00189,CUST-00189,11543.58,138522.96,Salary,High
INC-00190,CUST-00190,4840.78,58089.36,Freelance,Low
INC-00191,CUST-00191,13309.76,159717.12,Salary,High
INC-00192,CUST-00192,6511.29,78135.48,Salary,High
INC-00193,CUST-00193,7476.55,89718.6,Business,Medium
INC-00194,CUST-00194,1201.59,14419.08,Family,Low
INC-00195,CUST-00195,12994.01,155928.12,Salary,High
INC-00196,CUST-00196,5412.89,64954.68,Salary,High
INC-00197,CUST-00197,5516.52,66198.24,Pension/Government,High
INC-00198,CUST-00198,6310.15,75721.8,Pension/Government,High
INC-00199,CUST-00199,8917.33,107007.96,Salary,High
INC-00200,CUST-00200,10877.87,130534.44,Salary,Medium
INC-00201,CUST-00201,5654.85,67858.2,Freelance,Medium
INC-00202,CUST-00202,10935.28,131223.36,Salary,High
INC-00203,CUST-00203,7715.56,92586.72,Salary,Medium
INC-00204,CUST-00204,4653.09,55837.08,Salary,High
INC-00205,CUST-00205,2952.88,35434.56,Business,Low
INC-00206,CUST-00206,4143.05,49716.6,Salary,High
INC-00207,CUST-00207,14734.46,176813.52,Salary,High
INC-00208,CUST-00208,5669.1,68029.2,Salary,High
INC-00209,CUST-00209,8696.78,104361.36,Salary,Medium
INC-00210,CUST-00210,6145.63,73747.56,Salary,High
INC-00211,CUST-00211,4922.71,59072.52,Salary,High
INC-00212,CUST-00212,7496.08,89952.96,Salary,High
INC-00213,CUST-00213,1610.66,19327.92,Government Support,Low
INC-00214,CUST-00214,5346.37,64156.44,Freelance,Medium
INC-00215,CUST-00215,4454.67,53456.04,Salary,Medium
INC-00216,CUST-00216,9031.49,108377.88,Salary,High
INC-00217,CUST-00217,9151.64,109819.68,Salary,High
INC-00218,CUST-00218,2441.2,29294.4,Salary,High
INC-00219,CUST-00219,6091.01,73092.12,Salary,High
INC-00220,CUST-00220,1870.7,22448.4,Family,Low
INC-00221,CUST-00221,6719.59,80635.08,Salary,High
INC-00222,CUST-00222,9194.13,110329.56,Freelance,Medium
INC-00223,CUST-00223,7122.22,85466.64,Salary,High
INC-00224,CUST-00224,4692.56,56310.72,Salary,High
INC-00225,CUST-00225,2298.91,27586.92,Salary,High
INC-00226,CUST-00226,7602.29,91227.48,Salary,High
INC-00227,CUST-00227,6927.35,83128.2,Business,Medium
INC-00228,CUST-00228,9083.93,109007.16,Pension/Government,High
INC-00229,CUST-00229,6490.32,77883.84,Salary,High
INC-00230,CUST-00230,4411.22,52934.64,Business,Medium
INC-00231,CUST-00231,3985.25,47823.0,Salary,Medium
INC-00232,CUST-00232,11618.55,139422.6,Salary,High
INC-00233,CUST-00233,4011.15,48133.8,Investment,High
INC-00234,CUST-00234,2139.58,25674.96,Government Support,Low
INC-00235,CUST-00235,5062.8,60753.6,Salary,High
INC-00236,CUST-00236,2925.9,35110.8,Salary,High
INC-00237,CUST-00237,7780.2,93362.4,Business,Medium
INC-00238,CUST-00238,11036.68,132440.16,Business,Low
INC-00239,CUST-00239,2830.6,33967.2,Pension/Government,High
INC-00240,CUST-00240,7133.14,85597.68,Pension/Government,High
INC-00241,CUST-00241,8579.65,102955.8,Investment,High
INC-00242,CUST-00242,5963.99,71567.88,Salary,Medium
INC-00243,CUST-00243,4924.63,59095.56,Salary,High
INC-00244,CUST-00244,14612.27,175347.24,Salary,Medium
INC-00245,CUST-00245,6588.08,79056.96,Salary,Medium
INC-00246,CUST-00246,1087.98,13055.76,Government Support,Low
INC-00247,CUST-00247,4463.25,53559.0,Pension/Government,High
INC-00248,CUST-00248,12325.15,147901.8,Salary,High
INC-00249,CUST-00249,11940.83,143289.96,Pension/Government,High
INC-00250,CUST-00250,7531.15,90373.8,Pension/Government,High
INC-00251,CUST-00251,9156.44,109877.28,Salary,High
INC-00252,CUST-00252,5292.69,63512.28,Pension/Government,High
INC-00253,CUST-00253,1069.66,12835.92,Family,Low
INC-00254,CUST-00254,782.78,9393.36,Family,Low
INC-00255,CUST-00255,5500.76,66009.12,Business,Medium
INC-00256,CUST-00256,5196.17,62354.04,Investment,High
INC-00257,CUST-00257,8340.66,100087.92,Salary,High
INC-00258,CUST-00258,2660.19,31922.28,Freelance,Medium
INC-00259,CUST-00259,5339.97,64079.64,Salary,Medium
INC-00260,CUST-00260,4913.72,58964.64,Salary,High
INC-00261,CUST-00261,8233.63,98803.56,Salary,High
INC-00262,CUST-00262,5706.4,68476.8,Salary,High
INC-00263,CUST-00263,2978.44,35741.28,Freelance,Medium
INC-00264,CUST-00264,7816.91,93802.92,Salary,High
INC-00265,CUST-00265,4210.08,50520.96,Freelance,Low
INC-00266,CUST-00266,8157.14,97885.68,Salary,High
INC-00267,CUST-00267,9898.54,118782.48,Business,Medium
INC-00268,CUST-00268,2985.68,35828.16,Salary,High
INC-00269,CUST-00269,4952.67,59432.04,Salary,High
INC-00270,CUST-00270,5899.12,70789.44,Pension/Government,High
INC-00271,CUST-00271,870.54,10446.48,Family,Low
INC-00272,CUST-00272,8090.61,97087.32,Salary,Medium
INC-00273,CUST-00273,6092.39,73108.68,Salary,High
INC-00274,CUST-00274,5724.39,68692.68,Salary,High
INC-00275,CUST-00275,7511.19,90134.28,Salary,High
INC-00276,CUST-00276,5688.1,68257.2,Salary,High
INC-00277,CUST-00277,6307.62,75691.44,Salary,High
INC-00278,CUST-00278,5627.47,67529.64,Salary,High
INC-00279,CUST-00279,4254.15,51049.8,Investment,High
INC-00280,CUST-00280,5853.27,70239.24,Salary,Medium
INC-00281,CUST-00281,2814.15,33769.8,Salary,High
INC-00282,CUST-00282,10499.51,125994.12,Salary,Medium
INC-00283,CUST-00283,5952.39,71428.68,Salary,High
INC-00284,CUST-00284,5759.01,69108.12,Pension/Government,High
INC-00285,CUST-00285,6937.65,83251.8,Salary,High
INC-00286,CUST-00286,5134.59,61615.08,Salary,High
INC-00287,CUST-00287,5449.46,65393.52,Salary,High
INC-00288,CUST-00288,4949.75,59397.0,Salary,Medium
INC-00289,CUST-00289,5670.21,68042.52,Salary,High
INC-00290,CUST-00290,4588.51,55062.12,Salary,High
INC-00291,CUST-00291,4345.14,52141.68,Salary,High
INC-00292,CUST-00292,4916.99,59003.88,Salary,Medium
INC-00293,CUST-00293,5118.66,61423.92,Salary,High
INC-00294,CUST-00294,2307.9,27694.8,Salary,High
INC-00295,CUST-00295,8843.91,106126.92,Salary,High
INC-00296,CUST-00296,5129.56,61554.72,Business,Medium
INC-00297,CUST-00297,4512.09,54145.08,Salary,Medium
INC-00298,CUST-00298,6124.9,73498.8,Business,Low
INC-00299,CUST-00299,5777.91,69334.92,Salary,High
INC-00300,CUST-00300,4580.75,54969.0,Salary,High
INC-00301,CUST-00301,6963.29,83559.48,Investment,High
INC-00302,CUST-00302,6088.97,73067.64,Business,Medium
INC-00303,CUST-00303,4003.18,48038.16,Salary,High
INC-00304,CUST-00304,7551.39,90616.68,Salary,High
INC-00305,CUST-00305,5269.55,63234.6,Salary,High
INC-00306,CUST-00306,4664.31,55971.72,Salary,High
INC-00307,CUST-00307,2418.9,29026.8,Government Support,Low
INC-00308,CUST-00308,7224.61,86695.32,Salary,High
INC-00309,CUST-00309,3445.1,41341.2,Salary,High
INC-00310,CUST-00310,7417.73,89012.76,Salary,Medium
INC-00311,CUST-00311,5812.47,69749.64,Salary,High
INC-00312,CUST-00312,3221.11,38653.32,Salary,High
INC-00313,CUST-00313,7757.3,93087.6,Investment,High
INC-00314,CUST-00314,4036.72,48440.64,Salary,High
INC-00315,CUST-00315,5522.63,66271.56,Salary,High
INC-00316,CUST-00316,7964.62,95575.44,Salary,High
INC-00317,CUST-00317,3531.77,42381.24,Salary,Medium
INC-00318,CUST-00318,8455.97,101471.64,Salary,High
INC-00319,CUST-00319,5559.87,66718.44,Salary,Medium
INC-00320,CUST-00320,6676.22,80114.64,Salary,High
INC-00321,CUST-00321,7452.58,89430.96,Salary,High
INC-00322,CUST-00322,5093.1,61117.2,Pension/Government,High
INC-00323,CUST-00323,6194.43,74333.16,Pension/Government,High
INC-00324,CUST-00324,4613.59,55363.08,Pension/Government,High
INC-00325,CUST-00325,4607.61,55291.32,Pension/Government,High
INC-00326,CUST-00326,899.0,10788.0,Freelance,Low
INC-00327,CUST-00327,1300.12,15601.44,Freelance,Low
INC-00328,CUST-00328,11358.23,136298.76,Investment,High
INC-00329,CUST-00329,3848.1,46177.2,Salary,High
INC-00330,CUST-00330,5576.6,66919.2,Salary,Medium
INC-00331,CUST-00331,7363.19,88358.28,Salary,Medium
INC-00332,CUST-00332,5446.08,65352.96,Salary,Medium
INC-00333,CUST-00333,7638.53,91662.36,Salary,High
INC-00334,CUST-00334,1192.0,14304.0,Government Support,Low
INC-00335,CUST-00335,11170.75,134049.0,Salary,Medium
INC-00336,CUST-00336,5282.47,63389.64,Salary,High
INC-00337,CUST-00337,10882.08,130584.96,Salary,High
INC-00338,CUST-00338,5674.18,68090.16,Pension/Government,High
INC-00339,CUST-00339,5506.26,66075.12,Salary,High
INC-00340,CUST-00340,3585.33,43023.96,Salary,High
INC-00341,CUST-00341,6595.44,79145.28,Salary,Medium
INC-00342,CUST-00342,7182.93,86195.16,Salary,Medium
INC-00343,CUST-00343,5539.92,66479.04,Freelance,Low
INC-00344,CUST-00344,10795.38,129544.56,Salary,Medium
INC-00345,CUST-00345,10568.66,126823.92,Business,Low
INC-00346,CUST-00346,7291.04,87492.48,Business,Medium
INC-00347,CUST-00347,7601.16,91213.92,Pension/Government,High
INC-00348,CUST-00348,4145.24,49742.88,Salary,High
INC-00349,CUST-00349,6634.47,79613.64,Pension/Government,High
INC-00350,CUST-00350,2490.67,29888.04,Business,Medium
INC-00351,CUST-00351,10007.72,120092.64,Salary,High
INC-00352,CUST-00352,5783.78,69405.36,Freelance,Low
INC-00353,CUST-00353,6654.92,79859.04,Salary,High
INC-00354,CUST-00354,4833.76,58005.12,Business,Medium
INC-00355,CUST-00355,10758.7,129104.4,Salary,High
INC-00356,CUST-00356,7869.48,94433.76,Freelance,Medium
INC-00357,CUST-00357,4343.54,52122.48,Salary,High
INC-00358,CUST-00358,6087.28,73047.36,Salary,High
INC-00359,CUST-00359,4156.16,49873.92,Salary,Medium
INC-00360,CUST-00360,7308.29,87699.48,Salary,High
INC-00361,CUST-00361,5054.68,60656.16,Business,Low
INC-00362,CUST-00362,4831.74,57980.88,Salary,High
INC-00363,CUST-00363,6011.79,72141.48,Salary,High
INC-00364,CUST-00364,9364.56,112374.72,Salary,High
INC-00365,CUST-00365,6505.73,78068.76,Salary,High
INC-00366,CUST-00366,9298.92,111587.04,Salary,Medium
INC-00367,CUST-00367,5056.94,60683.28,Business,Low
INC-00368,CUST-00368,5497.48,65969.76,Salary,Medium
INC-00369,CUST-00369,6176.68,74120.16,Salary,High
INC-00370,CUST-00370,6198.8,74385.6,Business,Medium
INC-00371,CUST-00371,1153.84,13846.08,Family,Low
INC-00372,CUST-00372,4273.79,51285.48,Salary,Medium
INC-00373,CUST-00373,5983.09,71797.08,Salary,Medium
INC-00374,CUST-00374,4696.73,56360.76,Salary,High
INC-00375,CUST-00375,5521.92,66263.04,Salary,Medium
INC-00376,CUST-00376,8141.32,97695.84,Salary,High
INC-00377,CUST-00377,4595.44,55145.28,Business,Medium
INC-00378,CUST-00378,4750.6,57007.2,Salary,High
INC-00379,CUST-00379,5007.91,60094.92,Salary,Medium
INC-00380,CUST-00380,1189.47,14273.64,Freelance,Low
INC-00381,CUST-00381,10551.0,126612.0,Salary,High
INC-00382,CUST-00382,17110.66,205327.92,Salary,High
INC-00383,CUST-00383,8783.31,105399.72,Investment,High
INC-00384,CUST-00384,3369.77,40437.24,Salary,High
INC-00385,CUST-00385,3903.59,46843.08,Pension/Government,High
INC-00386,CUST-00386,4792.58,57510.96,Salary,Medium
INC-00387,CUST-00387,2918.47,35021.64,Investment,High
INC-00388,CUST-00388,1490.09,17881.08,Government Support,Low
INC-00389,CUST-00389,2808.58,33702.96,Salary,High
INC-00390,CUST-00390,5742.13,68905.56,Freelance,Medium
INC-00391,CUST-00391,7508.82,90105.84,Salary,High
INC-00392,CUST-00392,1939.64,23275.68,Salary,High
INC-00393,CUST-00393,8516.87,102202.44,Salary,High
INC-00394,CUST-00394,8598.74,103184.88,Pension/Government,High
INC-00395,CUST-00395,10798.81,129585.72,Salary,High
INC-00396,CUST-00396,4834.07,58008.84,Business,Medium
INC-00397,CUST-00397,4169.85,50038.2,Salary,High
INC-00398,CUST-00398,9516.09,114193.08,Salary,High
INC-00399,CUST-00399,6756.41,81076.92,Salary,High
INC-00400,CUST-00400,2937.36,35248.32,Salary,Medium
INC-00401,CUST-00401,7606.17,91274.04,Salary,High
INC-00402,CUST-00402,5728.47,68741.64,Salary,High
INC-00403,CUST-00403,9962.31,119547.72,Salary,High
INC-00404,CUST-00404,3274.25,39291.0,Salary,High
INC-00405,CUST-00405,12137.27,145647.24,Salary,High
INC-00406,CUST-00406,6613.16,79357.92,Salary,Medium
INC-00407,CUST-00407,2290.75,27489.0,Pension/Government,High
INC-00408,CUST-00408,9411.77,112941.24,Business,Low
INC-00409,CUST-00409,1815.58,21786.96,Freelance,Low
INC-00410,CUST-00410,3146.31,37755.72,Salary,High
INC-00411,CUST-00411,7822.24,93866.88,Salary,High
INC-00412,CUST-00412,9056.07,108672.84,Salary,High
INC-00413,CUST-00413,6365.92,76391.04,Business,Medium
INC-00414,CUST-00414,7417.05,89004.6,Salary,High
INC-00415,CUST-00415,3575.77,42909.24,Salary,High
INC-00416,CUST-00416,9193.86,110326.32,Salary,High
INC-00417,CUST-00417,4898.49,58781.88,Salary,High
INC-00418,CUST-00418,4065.59,48787.08,Investment,High
INC-00419,CUST-00419,4922.38,59068.56,Salary,High
INC-00420,CUST-00420,5463.65,65563.8,Salary,High
INC-00421,CUST-00421,7302.77,87633.24,Salary,Medium
INC-00422,CUST-00422,5420.41,65044.92,Salary,High
INC-00423,CUST-00423,7159.54,85914.48,Salary,High
INC-00424,CUST-00424,8311.0,99732.0,Salary,Medium
INC-00425,CUST-00425,5565.79,66789.48,Salary,High
INC-00426,CUST-00426,7308.87,87706.44,Salary,High
INC-00427,CUST-00427,5899.66,70795.92,Pension/Government,High
INC-00428,CUST-00428,4078.36,48940.32,Salary,High
INC-00429,CUST-00429,6897.46,82769.52,Salary,High
INC-00430,CUST-00430,6890.46,82685.52,Salary,High
INC-00431,CUST-00431,8148.82,97785.84,Salary,High
INC-00432,CUST-00432,3077.06,36924.72,Salary,High
INC-00433,CUST-00433,4775.35,57304.2,Salary,High
INC-00434,CUST-00434,6580.32,78963.84,Business,Medium
INC-00435,CUST-00435,7913.14,94957.68,Salary,Medium
INC-00436,CUST-00436,1222.64,14671.68,Family,Low
INC-00437,CUST-00437,8784.7,105416.4,Salary,High
INC-00438,CUST-00438,5035.22,60422.64,Salary,High
INC-00439,CUST-00439,4890.68,58688.16,Salary,High
INC-00440,CUST-00440,12516.69,150200.28,Salary,High
INC-00441,CUST-00441,6496.48,77957.76,Pension/Government,High
INC-00442,CUST-00442,4803.59,57643.08,Salary,High
INC-00443,CUST-00443,925.65,11107.8,Government Support,Low
INC-00444,CUST-00444,4015.11,48181.32,Freelance,Medium
INC-00445,CUST-00445,6668.29,80019.48,Salary,High
INC-00446,CUST-00446,3460.7,41528.4,Salary,High
INC-00447,CUST-00447,3177.36,38128.32,Salary,Medium
INC-00448,CUST-00448,9572.46,114869.52,Freelance,Low
INC-00449,CUST-00449,18513.53,222162.36,Salary,High
INC-00450,CUST-00450,1105.19,13262.28,Government Support,Low
INC-00451,CUST-00451,7586.04,91032.48,Salary,High
INC-00452,CUST-00452,1037.05,12444.6,Family,Low
INC-00453,CUST-00453,11040.37,132484.44,Salary,High
INC-00454,CUST-00454,11700.86,140410.32,Freelance,Medium
INC-00455,CUST-00455,3497.73,41972.76,Salary,High
INC-00456,CUST-00456,1406.19,16874.28,Government Support,Low
INC-00457,CUST-00457,2798.49,33581.88,Salary,High
INC-00458,CUST-00458,5049.45,60593.4,Salary,High
INC-00459,CUST-00459,5358.53,64302.36,Salary,High
INC-00460,CUST-00460,2929.77,35157.24,Salary,Medium
INC-00461,CUST-00461,4093.11,49117.32,Business,Medium
INC-00462,CUST-00462,4632.71,55592.52,Investment,High
INC-00463,CUST-00463,9544.03,114528.36,Pension/Government,High
INC-00464,CUST-00464,3929.85,47158.2,Salary,High
INC-00465,CUST-00465,4366.8,52401.6,Business,Low
INC-00466,CUST-00466,11007.12,132085.44,Freelance,Low
