savings_id,customer_id,monthly_savings,savings_balance,savings_rate,emergency_fund_status
SAV-00048,CUST-00048,715.96,37978.39,0.1989,Fully Funded
SAV-00049,CUST-00049,857.5,47284.02,0.1784,Fully Funded
SAV-00050,CUST-00050,383.11,9526.16,0.0625,Low
SAV-00051,CUST-00051,562.16,39841.87,0.1145,Fully Funded
SAV-00052,CUST-00052,1574.88,70105.11,0.194,Fully Funded
SAV-00053,CUST-00053,1024.56,100014.26,0.1257,Fully Funded
SAV-00054,CUST-00054,512.54,7021.64,0.0755,Low
SAV-00055,CUST-00055,378.32,13258.57,0.1452,Fully Funded
SAV-00056,CUST-00056,1813.61,106262.62,0.2058,Fully Funded
SAV-00057,CUST-00057,116.16,4462.48,0.0307,Low
SAV-00058,CUST-00058,704.15,33822.14,0.1116,Fully Funded
SAV-00059,CUST-00059,1173.48,17981.0,0.0978,Low
SAV-00060,CUST-00060,2583.55,82066.6,0.1769,Fully Funded
SAV-00061,CUST-00061,896.3,15888.01,0.1449,Partially Funded
SAV-00062,CUST-00062,637.14,41222.8,0.1467,Fully Funded
SAV-00063,CUST-00063,305.24,13303.21,0.0991,Partially Funded
SAV-00064,CUST-00064,1755.19,68248.24,0.1806,Fully Funded
SAV-00065,CUST-00065,2082.49,126535.21,0.179,Fully Funded
SAV-00066,CUST-00066,764.42,29412.59,0.1061,Partially Funded
SAV-00067,CUST-00067,272.84,22550.93,0.0876,Fully Funded
SAV-00068,CUST-00068,942.44,85448.03,0.1508,Fully Funded
SAV-00069,CUST-00069,705.57,47468.29,0.1892,Fully Funded
SAV-00070,CUST-00070,416.82,20272.75,0.126,Fully Funded
SAV-00071,CUST-00071,657.05,37191.75,0.1696,Fully Funded
SAV-00072,CUST-00072,1971.51,107921.27,0.184,Fully Funded
SAV-00073,CUST-00073,283.58,16685.59,0.099,Fully Funded
SAV-00074,CUST-00074,1999.83,26845.1,0.2135,Partially Funded
SAV-00075,CUST-00075,528.77,55235.45,0.0806,Fully Funded
SAV-00076,CUST-00076,2097.71,60565.35,0.2316,Fully Funded
SAV-00077,CUST-00077,67.4,2304.34,0.1145,Partially Funded
SAV-00078,CUST-00078,64.5,2029.77,0.0834,Partially Funded
SAV-00079,CUST-00079,338.13,32808.01,0.2557,Fully Funded
SAV-00080,CUST-00080,434.0,13306.19,0.0973,Partially Funded
SAV-00081,CUST-00081,1419.05,76356.97,0.1061,Fully Funded
SAV-00082,CUST-00082,99.37,3947.27,0.1296,Fully Funded
SAV-00083,CUST-00083,1255.38,49895.39,0.1917,Fully Funded
SAV-00084,CUST-00084,1762.51,136838.6,0.1948,Fully Funded
SAV-00085,CUST-00085,970.48,16599.4,0.1216,Low
SAV-00086,CUST-00086,404.66,33693.25,0.1448,Fully Funded
SAV-00087,CUST-00087,799.95,48023.09,0.1943,Fully Funded
SAV-00088,CUST-00088,1271.0,97330.81,0.1129,Fully Funded
SAV-00089,CUST-00089,605.96,22942.36,0.1479,Fully Funded
SAV-00090,CUST-00090,937.55,67544.24,0.1722,Fully Funded
SAV-00091,CUST-00091,376.76,10411.49,0.126,Partially Funded
SAV-00092,CUST-00092,395.17,32817.08,0.0818,Fully Funded
SAV-00093,CUST-00093,1302.69,14692.15,0.1709,Low
SAV-00094,CUST-00094,1646.67,115294.66,0.1551,Fully Funded
SAV-00095,CUST-00095,713.06,12075.18,0.1254,Partially Funded
SAV-00096,CUST-00096,983.85,37334.63,0.1846,Fully Funded
SAV-00097,CUST-00097,443.5,18881.01,0.1155,Fully Funded
SAV-00098,CUST-00098,2250.94,172755.14,0.285,Fully Funded
SAV-00099,CUST-00099,646.95,45762.39,0.1047,Fully Funded
SAV-00100,CUST-00100,528.52,5162.0,0.1919,Low
SAV-00101,CUST-00101,767.93,66548.23,0.1577,Fully Funded
SAV-00102,CUST-00102,941.3,14007.81,0.1291,Low
SAV-00103,CUST-00103,170.24,7103.39,0.0303,Low
SAV-00104,CUST-00104,394.19,15126.07,0.2445,Fully Funded
SAV-00105,CUST-00105,698.46,47566.25,0.1595,Fully Funded
SAV-00106,CUST-00106,500.95,20387.43,0.1961,Fully Funded
SAV-00107,CUST-00107,958.85,38094.08,0.1963,Fully Funded
SAV-00108,CUST-00108,1568.63,85212.76,0.1749,Fully Funded
SAV-00109,CUST-00109,893.93,29586.78,0.1497,Fully Funded
SAV-00110,CUST-00110,916.79,20990.86,0.1756,Fully Funded
SAV-00111,CUST-00111,831.26,74327.56,0.2278,Fully Funded
SAV-00112,CUST-00112,327.7,26129.16,0.1144,Fully Funded
SAV-00113,CUST-00113,615.25,17806.03,0.0885,Partially Funded
SAV-00114,CUST-00114,1085.29,56342.6,0.1739,Fully Funded
SAV-00115,CUST-00115,451.69,9628.82,0.1254,Partially Funded
SAV-00116,CUST-00116,1102.94,69547.12,0.1936,Fully Funded
SAV-00117,CUST-00117,2127.07,228306.32,0.2142,Fully Funded
SAV-00118,CUST-00118,1511.3,54423.56,0.1132,Partially Funded
SAV-00119,CUST-00119,192.69,5089.81,0.1888,Fully Funded
SAV-00120,CUST-00120,1496.73,102981.9,0.1776,Fully Funded
SAV-00121,CUST-00121,1118.76,15190.65,0.1627,Low
SAV-00122,CUST-00122,720.58,74520.51,0.2094,Fully Funded
SAV-00123,CUST-00123,832.82,32016.18,0.1326,Fully Funded
SAV-00124,CUST-00124,817.8,64389.01,0.1443,Fully Funded
SAV-00125,CUST-00125,1247.59,50498.62,0.1102,Fully Funded
SAV-00126,CUST-00126,1208.72,61208.94,0.1165,Fully Funded
SAV-00127,CUST-00127,680.7,52881.21,0.1211,Fully Funded
SAV-00128,CUST-00128,343.84,33378.93,0.0689,Fully Funded
SAV-00129,CUST-00129,250.35,10007.41,0.0908,Partially Funded
SAV-00130,CUST-00130,1441.25,42331.97,0.2835,Fully Funded
SAV-00131,CUST-00131,1911.56,104450.37,0.1836,Fully Funded
SAV-00132,CUST-00132,933.24,12387.29,0.1215,Low
SAV-00133,CUST-00133,1481.04,25812.5,0.2434,Fully Funded
SAV-00134,CUST-00134,659.03,41301.93,0.1237,Fully Funded
SAV-00135,CUST-00135,1847.26,133847.77,0.2335,Fully Funded
SAV-00136,CUST-00136,912.03,12547.5,0.2409,Partially Funded
SAV-00137,CUST-00137,611.63,37691.35,0.1539,Fully Funded
SAV-00138,CUST-00138,808.19,20163.66,0.1703,Fully Funded
SAV-00139,CUST-00139,182.35,9104.26,0.0596,Partially Funded
SAV-00140,CUST-00140,1332.11,91470.27,0.1677,Fully Funded
SAV-00141,CUST-00141,1670.96,90186.33,0.1223,Fully Funded
SAV-00142,CUST-00142,1094.17,82752.73,0.089,Fully Funded
SAV-00143,CUST-00143,1675.93,87226.49,0.1803,Fully Funded
SAV-00144,CUST-00144,1014.87,21769.87,0.1067,Low
SAV-00145,CUST-00145,1466.31,36656.61,0.2067,Fully Funded
SAV-00146,CUST-00146,1120.4,29256.14,0.1538,Partially Funded
SAV-00147,CUST-00147,1688.87,44061.48,0.1837,Fully Funded
SAV-00148,CUST-00148,1794.88,131639.29,0.1679,Fully Funded
SAV-00149,CUST-00149,1606.34,42981.84,0.1554,Partially Funded
SAV-00150,CUST-00150,785.23,44779.99,0.1876,Fully Funded
SAV-00151,CUST-00151,347.0,30957.9,0.1096,Fully Funded
SAV-00152,CUST-00152,1228.62,26194.91,0.1236,Partially Funded
SAV-00153,CUST-00153,416.89,44688.21,0.1389,Fully Funded
SAV-00154,CUST-00154,2543.61,79295.7,0.1375,Partially Funded
SAV-00155,CUST-00155,879.76,27096.06,0.0844,Partially Funded
SAV-00156,CUST-00156,767.52,39422.51,0.154,Fully Funded
SAV-00157,CUST-00157,967.04,17215.37,0.25,Fully Funded
SAV-00158,CUST-00158,1013.07,16918.99,0.1882,Partially Funded
SAV-00159,CUST-00159,542.95,39649.83,0.1942,Fully Funded
SAV-00160,CUST-00160,1479.42,99745.4,0.1436,Fully Funded
SAV-00161,CUST-00161,1132.34,74100.02,0.1195,Fully Funded
SAV-00162,CUST-00162,1019.22,69456.88,0.1278,Fully Funded
SAV-00163,CUST-00163,255.1,24013.62,0.0589,Fully Funded
SAV-00164,CUST-00164,566.98,24074.05,0.1473,Fully Funded
SAV-00165,CUST-00165,549.48,6994.42,0.156,Low
SAV-00166,CUST-00166,530.14,15809.14,0.1658,Fully Funded
SAV-00167,CUST-00167,1770.91,66996.02,0.2187,Fully Funded
SAV-00168,CUST-00168,506.32,28553.43,0.1462,Fully Funded
SAV-00169,CUST-00169,2308.6,56180.71,0.287,Fully Funded
SAV-00170,CUST-00170,1030.82,48013.65,0.1823,Fully Funded
SAV-00171,CUST-00171,1161.43,40807.64,0.0883,Partially Funded
SAV-00172,CUST-00172,675.61,37020.34,0.1403,Fully Funded
SAV-00173,CUST-00173,1090.27,69544.18,0.224,Fully Funded
SAV-00174,CUST-00174,656.36,23586.12,0.0663,Low
SAV-00175,CUST-00175,537.81,25448.8,0.1176,Fully Funded
SAV-00176,CUST-00176,1098.52,57446.76,0.1079,Fully Funded
SAV-00177,CUST-00177,427.12,6570.45,0.1041,Low
SAV-00178,CUST-00178,69.51,5485.18,0.1187,Fully Funded
SAV-00179,CUST-00179,1475.3,27028.85,0.1514,Partially Funded
SAV-00180,CUST-00180,874.63,43082.68,0.1119,Fully Funded
SAV-00181,CUST-00181,691.15,23452.91,0.2105,Fully Funded
SAV-00182,CUST-00182,953.43,27553.62,0.1425,Partially Funded
SAV-00183,CUST-00183,1120.75,78135.2,0.1799,Fully Funded
SAV-00184,CUST-00184,1373.4,57742.65,0.1237,Fully Funded
SAV-00185,CUST-00185,186.22,7529.3,0.1586,Fully Funded
SAV-00186,CUST-00186,444.76,4994.27,0.1198,Low
SAV-00187,CUST-00187,1304.85,95212.96,0.2229,Fully Funded
SAV-00188,CUST-00188,703.66,8881.46,0.1545,Low
SAV-00189,CUST-00189,1665.87,178118.04,0.1443,Fully Funded
SAV-00190,CUST-00190,1420.46,137284.99,0.2934,Fully Funded
SAV-00191,CUST-00191,3983.25,197605.74,0.2993,Fully Funded
SAV-00192,CUST-00192,1030.86,88623.4,0.1583,Fully Funded
SAV-00193,CUST-00193,1314.67,68055.76,0.1758,Fully Funded
SAV-00194,CUST-00194,142.97,12291.4,0.119,Fully Funded
SAV-00195,CUST-00195,1402.32,97120.44,0.1079,Fully Funded
SAV-00196,CUST-00196,462.12,39720.74,0.0854,Fully Funded
SAV-00197,CUST-00197,684.19,41090.34,0.124,Fully Funded
SAV-00198,CUST-00198,1340.86,62914.91,0.2125,Fully Funded
SAV-00199,CUST-00199,2346.22,79629.46,0.2631,Fully Funded
SAV-00200,CUST-00200,2581.67,99208.49,0.2373,Fully Funded
SAV-00201,CUST-00201,1022.75,32313.14,0.1809,Fully Funded
SAV-00202,CUST-00202,2205.99,198804.55,0.2017,Fully Funded
SAV-00203,CUST-00203,1489.23,33057.33,0.193,Partially Funded
SAV-00204,CUST-00204,655.63,59991.31,0.1409,Fully Funded
SAV-00205,CUST-00205,318.27,29356.78,0.1078,Fully Funded
SAV-00206,CUST-00206,968.4,70293.44,0.2337,Fully Funded
SAV-00207,CUST-00207,2604.22,59430.78,0.1767,Partially Funded
SAV-00208,CUST-00208,1298.22,74732.95,0.229,Fully Funded
SAV-00209,CUST-00209,2139.26,104735.35,0.246,Fully Funded
SAV-00210,CUST-00210,1185.06,79575.01,0.1928,Fully Funded
SAV-00211,CUST-00211,720.7,55088.4,0.1464,Fully Funded
SAV-00212,CUST-00212,1610.73,34170.33,0.2149,Fully Funded
SAV-00213,CUST-00213,436.12,33047.16,0.2708,Fully Funded
SAV-00214,CUST-00214,1352.87,77116.47,0.253,Fully Funded
SAV-00215,CUST-00215,345.5,19357.94,0.0776,Partially Funded
SAV-00216,CUST-00216,1464.92,47040.68,0.1622,Fully Funded
SAV-00217,CUST-00217,907.74,57172.89,0.0992,Fully Funded
SAV-00218,CUST-00218,569.68,25067.55,0.2334,Fully Funded
SAV-00219,CUST-00219,956.09,31019.0,0.157,Fully Funded
SAV-00220,CUST-00220,357.05,41449.8,0.1909,Fully Funded
SAV-00221,CUST-00221,855.99,12773.19,0.1274,Low
SAV-00222,CUST-00222,1490.81,90653.33,0.1621,Fully Funded
SAV-00223,CUST-00223,597.85,20840.21,0.0839,Partially Funded
SAV-00224,CUST-00224,313.88,23453.08,0.0669,Partially Funded
SAV-00225,CUST-00225,334.34,22402.87,0.1454,Fully Funded
SAV-00226,CUST-00226,889.46,77104.23,0.117,Fully Funded
SAV-00227,CUST-00227,915.88,90387.65,0.1322,Fully Funded
SAV-00228,CUST-00228,1216.3,105601.4,0.1339,Fully Funded
SAV-00229,CUST-00229,996.71,53771.66,0.1536,Fully Funded
SAV-00230,CUST-00230,473.37,26116.56,0.1073,Fully Funded
SAV-00231,CUST-00231,499.43,6640.53,0.1253,Low
SAV-00232,CUST-00232,2523.02,191235.9,0.2172,Fully Funded
SAV-00233,CUST-00233,370.08,29695.44,0.0923,Fully Funded
SAV-00234,CUST-00234,275.15,23944.84,0.1286,Fully Funded
SAV-00235,CUST-00235,773.08,23033.34,0.1527,Fully Funded
SAV-00236,CUST-00236,674.53,19069.6,0.2305,Fully Funded
SAV-00237,CUST-00237,1163.36,51188.64,0.1495,Fully Funded
SAV-00238,CUST-00238,1639.71,134750.6,0.1486,Fully Funded
SAV-00239,CUST-00239,546.94,41510.1,0.1932,Fully Funded
SAV-00240,CUST-00240,1185.3,120009.29,0.1662,Fully Funded
SAV-00241,CUST-00241,1197.41,75930.21,0.1396,Fully Funded
SAV-00242,CUST-00242,580.38,6058.31,0.0973,Low
SAV-00243,CUST-00243,324.79,21094.45,0.066,Partially Funded
SAV-00244,CUST-00244,1889.58,194812.28,0.1293,Fully Funded
SAV-00245,CUST-00245,769.63,18804.07,0.1168,Partially Funded
SAV-00246,CUST-00246,216.05,13833.37,0.1986,Fully Funded
SAV-00247,CUST-00247,918.29,23515.1,0.2057,Fully Funded
SAV-00248,CUST-00248,1663.98,31308.19,0.135,Partially Funded
SAV-00249,CUST-00249,2702.94,60802.14,0.2264,Fully Funded
SAV-00250,CUST-00250,1898.36,113719.44,0.2521,Fully Funded
SAV-00251,CUST-00251,1505.1,27325.98,0.1644,Partially Funded
SAV-00252,CUST-00252,1081.22,67768.5,0.2043,Fully Funded
SAV-00253,CUST-00253,219.28,14584.29,0.205,Fully Funded
SAV-00254,CUST-00254,81.39,2653.84,0.104,Partially Funded
SAV-00255,CUST-00255,632.79,11811.4,0.115,Low
SAV-00256,CUST-00256,867.05,39190.01,0.1669,Fully Funded
SAV-00257,CUST-00257,1031.6,39324.38,0.1237,Partially Funded
SAV-00258,CUST-00258,364.15,32894.25,0.1369,Fully Funded
SAV-00259,CUST-00259,886.73,52977.09,0.1661,Fully Funded
SAV-00260,CUST-00260,645.74,31612.19,0.1314,Fully Funded
SAV-00261,CUST-00261,1500.36,32795.85,0.1822,Partially Funded
SAV-00262,CUST-00262,504.74,12284.87,0.0885,Low
SAV-00263,CUST-00263,395.37,8595.87,0.1327,Partially Funded
SAV-00264,CUST-00264,1130.06,19240.46,0.1446,Partially Funded
SAV-00265,CUST-00265,1041.59,82363.09,0.2474,Fully Funded
SAV-00266,CUST-00266,1324.2,36269.4,0.1623,Partially Funded
SAV-00267,CUST-00267,2335.15,90986.72,0.2359,Fully Funded
SAV-00268,CUST-00268,367.37,4570.75,0.123,Low
SAV-00269,CUST-00269,847.24,68616.21,0.1711,Fully Funded
SAV-00270,CUST-00270,940.96,51464.61,0.1595,Fully Funded
SAV-00271,CUST-00271,118.02,7295.1,0.1356,Fully Funded
SAV-00272,CUST-00272,2234.44,153847.59,0.2762,Fully Funded
SAV-00273,CUST-00273,1263.98,113858.53,0.2075,Fully Funded
SAV-00274,CUST-00274,491.81,9180.44,0.0859,Low
SAV-00275,CUST-00275,1437.41,70060.77,0.1914,Fully Funded
SAV-00276,CUST-00276,810.28,38206.57,0.1425,Fully Funded
SAV-00277,CUST-00277,968.95,76457.28,0.1536,Fully Funded
SAV-00278,CUST-00278,1191.59,39828.08,0.2117,Fully Funded
SAV-00279,CUST-00279,754.5,21822.52,0.1774,Fully Funded
SAV-00280,CUST-00280,879.93,39205.88,0.1503,Fully Funded
SAV-00281,CUST-00281,274.3,8370.04,0.0975,Partially Funded
SAV-00282,CUST-00282,1200.47,41421.91,0.1143,Partially Funded
SAV-00283,CUST-00283,832.43,68162.08,0.1398,Fully Funded
SAV-00284,CUST-00284,773.37,79307.53,0.1343,Fully Funded
SAV-00285,CUST-00285,1681.43,67051.99,0.2424,Fully Funded
SAV-00286,CUST-00286,709.8,10960.64,0.1382,Low
SAV-00287,CUST-00287,1192.56,36527.71,0.2188,Fully Funded
SAV-00288,CUST-00288,697.22,16724.87,0.1409,Partially Funded
SAV-00289,CUST-00289,900.84,60441.69,0.1589,Fully Funded
SAV-00290,CUST-00290,932.29,43714.24,0.2032,Fully Funded
SAV-00291,CUST-00291,802.2,61118.14,0.1846,Fully Funded
SAV-00292,CUST-00292,512.17,45275.67,0.1042,Fully Funded
SAV-00293,CUST-00293,562.98,50040.49,0.11,Fully Funded
SAV-00294,CUST-00294,231.12,15279.09,0.1001,Fully Funded
SAV-00295,CUST-00295,1037.86,39652.74,0.1174,Partially Funded
SAV-00296,CUST-00296,1195.78,50321.33,0.2331,Fully Funded
SAV-00297,CUST-00297,509.54,19928.04,0.1129,Partially Funded
SAV-00298,CUST-00298,1247.54,99318.42,0.2037,Fully Funded
SAV-00299,CUST-00299,838.03,15102.32,0.145,Partially Funded
SAV-00300,CUST-00300,709.08,36220.65,0.1548,Fully Funded
SAV-00301,CUST-00301,579.42,17719.59,0.0832,Partially Funded
SAV-00302,CUST-00302,627.89,40019.07,0.1031,Fully Funded
SAV-00303,CUST-00303,315.66,6730.9,0.0789,Low
SAV-00304,CUST-00304,1495.39,51429.17,0.198,Fully Funded
SAV-00305,CUST-00305,803.79,49310.0,0.1525,Fully Funded
SAV-00306,CUST-00306,797.93,76871.51,0.1711,Fully Funded
SAV-00307,CUST-00307,187.41,15814.15,0.0775,Fully Funded
SAV-00308,CUST-00308,884.21,47223.19,0.1224,Fully Funded
SAV-00309,CUST-00309,407.46,24989.72,0.1183,Fully Funded
SAV-00310,CUST-00310,944.36,56170.38,0.1273,Fully Funded
SAV-00311,CUST-00311,1259.2,13142.66,0.2166,Partially Funded
SAV-00312,CUST-00312,721.39,59781.21,0.224,Fully Funded
SAV-00313,CUST-00313,1720.94,39720.04,0.2218,Fully Funded
SAV-00314,CUST-00314,508.9,48616.56,0.1261,Fully Funded
SAV-00315,CUST-00315,657.43,31733.22,0.119,Fully Funded
SAV-00316,CUST-00316,753.87,42271.31,0.0947,Fully Funded
SAV-00317,CUST-00317,407.94,20471.62,0.1155,Fully Funded
SAV-00318,CUST-00318,1801.04,29757.75,0.213,Partially Funded
SAV-00319,CUST-00319,1166.11,39539.56,0.2097,Fully Funded
SAV-00320,CUST-00320,1474.55,168688.13,0.2209,Fully Funded
SAV-00321,CUST-00321,1706.36,20283.83,0.229,Partially Funded
SAV-00322,CUST-00322,837.51,83676.06,0.1644,Fully Funded
SAV-00323,CUST-00323,1347.64,93429.39,0.2176,Fully Funded
SAV-00324,CUST-00324,655.4,39619.35,0.1421,Fully Funded
SAV-00325,CUST-00325,885.9,35279.33,0.1923,Fully Funded
SAV-00326,CUST-00326,209.47,8964.38,0.233,Fully Funded
SAV-00327,CUST-00327,168.56,5119.97,0.1296,Partially Funded
SAV-00328,CUST-00328,2028.62,117253.71,0.1786,Fully Funded
SAV-00329,CUST-00329,601.96,15667.53,0.1564,Fully Funded
SAV-00330,CUST-00330,1006.67,75379.61,0.1805,Fully Funded
SAV-00331,CUST-00331,1362.01,48065.23,0.185,Fully Funded
SAV-00332,CUST-00332,424.3,32381.72,0.0779,Fully Funded
SAV-00333,CUST-00333,1178.87,62427.12,0.1543,Fully Funded
SAV-00334,CUST-00334,171.23,14160.52,0.1436,Fully Funded
SAV-00335,CUST-00335,1164.77,80486.19,0.1043,Fully Funded
SAV-00336,CUST-00336,836.06,14562.5,0.1583,Partially Funded
SAV-00337,CUST-00337,1473.05,95433.56,0.1354,Fully Funded
SAV-00338,CUST-00338,968.85,51803.42,0.1707,Fully Funded
SAV-00339,CUST-00339,1258.9,77311.07,0.2286,Fully Funded
SAV-00340,CUST-00340,772.23,69770.42,0.2154,Fully Funded
SAV-00341,CUST-00341,1286.15,74321.27,0.195,Fully Funded
SAV-00342,CUST-00342,1086.03,64928.85,0.1512,Fully Funded
SAV-00343,CUST-00343,835.25,53438.38,0.1508,Fully Funded
SAV-00344,CUST-00344,1070.7,70028.7,0.0992,Fully Funded
SAV-00345,CUST-00345,825.09,92326.95,0.0781,Fully Funded
SAV-00346,CUST-00346,2146.53,158079.57,0.2944,Fully Funded
SAV-00347,CUST-00347,571.86,9753.29,0.0752,Low
SAV-00348,CUST-00348,555.99,46220.6,0.1341,Fully Funded
SAV-00349,CUST-00349,582.63,14953.37,0.0878,Low
SAV-00350,CUST-00350,704.67,24239.06,0.2829,Fully Funded
SAV-00351,CUST-00351,2276.26,106149.04,0.2275,Fully Funded
SAV-00352,CUST-00352,707.25,46232.44,0.1223,Fully Funded
SAV-00353,CUST-00353,1355.1,23696.59,0.2036,Partially Funded
SAV-00354,CUST-00354,805.05,69279.0,0.1665,Fully Funded
SAV-00355,CUST-00355,1092.49,45691.51,0.1015,Partially Funded
SAV-00356,CUST-00356,2219.51,134818.36,0.282,Fully Funded
SAV-00357,CUST-00357,1075.69,119263.24,0.2477,Fully Funded
SAV-00358,CUST-00358,1273.74,94317.79,0.2092,Fully Funded
SAV-00359,CUST-00359,322.21,10809.8,0.0775,Partially Funded
SAV-00360,CUST-00360,1184.91,68673.01,0.1621,Fully Funded
SAV-00361,CUST-00361,1057.9,50396.35,0.2093,Fully Funded
SAV-00362,CUST-00362,712.18,18941.46,0.1474,Partially Funded
SAV-00363,CUST-00363,1402.48,27964.14,0.2333,Fully Funded
SAV-00364,CUST-00364,654.67,53640.68,0.0699,Fully Funded
SAV-00365,CUST-00365,969.9,36673.65,0.1491,Fully Funded
SAV-00366,CUST-00366,890.99,37933.47,0.0958,Partially Funded
SAV-00367,CUST-00367,723.61,66878.92,0.1431,Fully Funded
SAV-00368,CUST-00368,876.99,26720.62,0.1595,Fully Funded
SAV-00369,CUST-00369,921.91,35330.83,0.1493,Fully Funded
SAV-00370,CUST-00370,929.95,44617.75,0.15,Fully Funded
SAV-00371,CUST-00371,193.06,7342.54,0.1673,Fully Funded
SAV-00372,CUST-00372,599.64,38676.3,0.1403,Fully Funded
SAV-00373,CUST-00373,1022.9,43420.95,0.171,Fully Funded
SAV-00374,CUST-00374,758.88,38357.06,0.1616,Fully Funded
SAV-00375,CUST-00375,1252.79,31992.95,0.2269,Fully Funded
SAV-00376,CUST-00376,706.73,27704.85,0.0868,Partially Funded
SAV-00377,CUST-00377,816.4,41304.73,0.1777,Fully Funded
SAV-00378,CUST-00378,547.3,22790.61,0.1152,Fully Funded
SAV-00379,CUST-00379,535.31,25681.5,0.1069,Fully Funded
SAV-00380,CUST-00380,181.54,4407.39,0.1526,Partially Funded
SAV-00381,CUST-00381,1587.07,29939.89,0.1504,Partially Funded
SAV-00382,CUST-00382,811.19,39378.31,0.0474,Low
SAV-00383,CUST-00383,1324.9,113361.56,0.1508,Fully Funded
SAV-00384,CUST-00384,583.02,5319.06,0.173,Low
SAV-00385,CUST-00385,565.11,25591.45,0.1448,Fully Funded
SAV-00386,CUST-00386,838.13,16880.54,0.1749,Partially Funded
SAV-00387,CUST-00387,332.55,26838.45,0.1139,Fully Funded
SAV-00388,CUST-00388,150.4,7559.42,0.1009,Fully Funded
SAV-00389,CUST-00389,370.69,18940.39,0.132,Fully Funded
SAV-00390,CUST-00390,680.08,52209.64,0.1184,Fully Funded
SAV-00391,CUST-00391,1092.22,126082.18,0.1455,Fully Funded
SAV-00392,CUST-00392,320.2,17841.84,0.1651,Fully Funded
SAV-00393,CUST-00393,2385.91,92588.78,0.2801,Fully Funded
SAV-00394,CUST-00394,1949.52,232994.24,0.2267,Fully Funded
SAV-00395,CUST-00395,1771.57,25418.33,0.1641,Partially Funded
SAV-00396,CUST-00396,914.99,59466.89,0.1893,Fully Funded
SAV-00397,CUST-00397,1065.22,57442.02,0.2555,Fully Funded
SAV-00398,CUST-00398,3013.89,56634.0,0.3167,Fully Funded
