transaction_id,customer_id,transaction_date,transaction_type,category,amount,payment_method,merchant_type
TXN-0000039,CUST-00006,2023-05-18 00:00:00,Debit,Dining,81.55,Digital Wallet,Service Provider
TXN-0000040,CUST-00007,2024-08-12 00:00:00,Debit,Dining,145.56,Cash,Healthcare
TXN-0000041,CUST-00007,2024-05-26 00:00:00,Debit,Travel,1254.05,Credit Card,Restaurant
TXN-0000042,CUST-00007,2022-10-04 00:00:00,Debit,Dining,77.72,Cash,Electronics
TXN-0000043,CUST-00007,2024-06-22 00:00:00,Debit,Utilities,352.69,Cash,Healthcare
TXN-0000044,CUST-00007,2023-01-25 00:00:00,Debit,Groceries,31.38,Credit Card,Gas Station
TXN-0000045,CUST-00007,2023-05-05 00:00:00,Debit,Groceries,194.58,Credit Card,Service Provider
TXN-0000046,CUST-00007,2025-03-07 00:00:00,Debit,Utilities,112.92,Digital Wallet,Electronics
TXN-0000047,CUST-00008,2020-09-26 00:00:00,Debit,Groceries,154.49,Cash,Apparel
TXN-0000048,CUST-00008,2024-04-17 00:00:00,Debit,Groceries,86.46,Debit Card,Gas Station
TXN-0000049,CUST-00008,2022-12-02 00:00:00,Debit,Groceries,92.39,Digital Wallet,Supermarket
TXN-0000050,CUST-00008,2021-01-21 00:00:00,Debit,Healthcare,315.37,Debit Card,Restaurant
TXN-0000051,CUST-00008,2021-09-12 00:00:00,Debit,Travel,304.8,Credit Card,Electronics
TXN-0000052,CUST-00008,2022-09-29 00:00:00,Debit,Subscription,21.04,Bank Transfer,Healthcare
TXN-0000053,CUST-00008,2025-10-25 00:00:00,Debit,Entertainment,155.71,Bank Transfer,Healthcare
TXN-0000054,CUST-00008,2022-02-18 00:00:00,Debit,Transfer,750.25,Debit Card,Supermarket
TXN-0000055,CUST-00008,2024-11-10 00:00:00,Debit,Transfer,299.1,Cash,Restaurant
TXN-0000056,CUST-00009,2022-04-24 00:00:00,Debit,Groceries,163.52,Cash,Restaurant
TXN-0000057,CUST-00009,2021-11-06 00:00:00,Debit,Groceries,48.64,Debit Card,Online Retail
TXN-0000058,CUST-00009,2023-04-15 00:00:00,Debit,Education,93.79,Cash,Healthcare
TXN-0000059,CUST-00009,2019-12-28 00:00:00,Debit,Subscription,10.53,Credit Card,Apparel
TXN-0000060,CUST-00009,2020-03-31 00:00:00,Debit,Subscription,43.37,Digital Wallet,Apparel
TXN-0000061,CUST-00010,2024-11-23 00:00:00,Debit,Subscription,50.16,Digital Wallet,Gas Station
TXN-0000062,CUST-00010,2025-09-30 00:00:00,Debit,Dining,70.44,Bank Transfer,Restaurant
TXN-0000063,CUST-00010,2025-06-15 00:00:00,Debit,Travel,630.82,Debit Card,Supermarket
TXN-0000064,CUST-00011,2022-06-07 00:00:00,Debit,Entertainment,47.07,Bank Transfer,Service Provider
TXN-0000065,CUST-00011,2024-05-31 00:00:00,Debit,Entertainment,104.56,Credit Card,Supermarket
TXN-0000066,CUST-00011,2025-08-29 00:00:00,Debit,Travel,1094.29,Bank Transfer,Online Retail
TXN-0000067,CUST-00011,2024-11-09 00:00:00,Debit,Subscription,42.55,Credit Card,Supermarket
TXN-0000068,CUST-00012,2024-05-30 00:00:00,Debit,Healthcare,326.79,Bank Transfer,Gas Station
TXN-0000069,CUST-00012,2023-01-10 00:00:00,Debit,Subscription,16.08,Cash,Electronics
TXN-0000070,CUST-00012,2024-12-13 00:00:00,Credit,Transfer,1767.88,Bank Transfer,Apparel
TXN-0000071,CUST-00013,2022-10-07 00:00:00,Debit,Groceries,158.55,Digital Wallet,Gas Station
TXN-0000072,CUST-00013,2023-06-26 00:00:00,Debit,Groceries,259.78,Debit Card,Healthcare
TXN-0000073,CUST-00013,2024-01-10 00:00:00,Debit,Dining,73.23,Cash,Service Provider
TXN-0000074,CUST-00013,2025-09-23 00:00:00,Debit,Utilities,259.16,Cash,Apparel
TXN-0000075,CUST-00013,2024-07-30 00:00:00,Debit,Groceries,229.85,Debit Card,Apparel
TXN-0000076,CUST-00014,2025-09-15 00:00:00,Debit,Dining,115.3,Credit Card,Healthcare
TXN-0000077,CUST-00014,2025-09-11 00:00:00,Debit,Healthcare,254.63,Bank Transfer,Gas Station
TXN-0000078,CUST-00014,2024-11-15 00:00:00,Debit,Entertainment,186.89,Digital Wallet,General Merchant
TXN-0000079,CUST-00014,2024-08-04 00:00:00,Credit,Transfer,1939.62,Bank Transfer,Restaurant
TXN-0000080,CUST-00014,2024-03-23 00:00:00,Debit,Healthcare,34.78,Debit Card,Healthcare
TXN-0000081,CUST-00014,2025-10-17 00:00:00,Debit,Utilities,127.37,Cash,Gas Station
TXN-0000082,CUST-00015,2018-05-02 00:00:00,Debit,Shopping,29.83,Cash,Online Retail
TXN-0000083,CUST-00015,2023-03-25 00:00:00,Debit,Education,623.87,Bank Transfer,Gas Station
TXN-0000084,CUST-00015,2019-03-28 00:00:00,Debit,Healthcare,55.7,Debit Card,Healthcare
TXN-0000085,CUST-00016,2025-05-16 00:00:00,Debit,Groceries,48.32,Bank Transfer,Healthcare
TXN-0000086,CUST-00016,2023-09-11 00:00:00,Debit,Subscription,41.6,Digital Wallet,Service Provider
TXN-0000087,CUST-00016,2023-11-25 00:00:00,Debit,Utilities,216.25,Credit Card,Electronics
TXN-0000088,CUST-00016,2023-10-08 00:00:00,Debit,Travel,409.53,Bank Transfer,Healthcare
TXN-0000089,CUST-00017,2022-12-31 00:00:00,Credit,Transfer,167.54,Bank Transfer,Electronics
TXN-0000090,CUST-00017,2023-05-23 00:00:00,Debit,Healthcare,350.94,Bank Transfer,Supermarket
TXN-0000091,CUST-00017,2024-06-30 00:00:00,Debit,Education,688.85,Debit Card,Online Retail
TXN-0000092,CUST-00017,2025-03-01 00:00:00,Debit,Utilities,194.88,Debit Card,Restaurant
TXN-0000093,CUST-00017,2023-09-13 00:00:00,Debit,Shopping,131.89,Cash,Supermarket
TXN-0000094,CUST-00017,2023-10-05 00:00:00,Debit,Utilities,335.72,Debit Card,Gas Station
TXN-0000095,CUST-00017,2024-05-21 00:00:00,Debit,Dining,35.32,Debit Card,Apparel
TXN-0000096,CUST-00018,2022-10-31 00:00:00,Debit,Subscription,23.47,Credit Card,Restaurant
TXN-0000097,CUST-00018,2022-07-23 00:00:00,Debit,Shopping,440.1,Cash,Supermarket
TXN-0000098,CUST-00018,2025-11-25 00:00:00,Debit,Dining,117.43,Bank Transfer,Apparel
TXN-0000099,CUST-00018,2025-09-27 00:00:00,Debit,Shopping,389.75,Bank Transfer,Apparel
TXN-0000100,CUST-00018,2025-07-07 00:00:00,Debit,Dining,19.92,Cash,Electronics
TXN-0000101,CUST-00018,2024-05-10 00:00:00,Debit,Travel,669.19,Cash,Electronics
TXN-0000102,CUST-00019,2024-12-24 00:00:00,Debit,Healthcare,130.9,Cash,Apparel
TXN-0000103,CUST-00019,2024-01-30 00:00:00,Debit,Entertainment,113.81,Credit Card,Gas Station
TXN-0000104,CUST-00019,2022-10-16 00:00:00,Debit,Entertainment,113.78,Digital Wallet,Electronics
TXN-0000105,CUST-00019,2022-02-06 00:00:00,Debit,Subscription,36.62,Cash,Healthcare
TXN-0000106,CUST-00019,2022-05-28 00:00:00,Debit,Healthcare,52.95,Digital Wallet,Apparel
TXN-0000107,CUST-00020,2024-07-21 00:00:00,Debit,Dining,98.45,Bank Transfer,Online Retail
TXN-0000108,CUST-00020,2024-12-09 00:00:00,Debit,Transfer,822.24,Digital Wallet,Healthcare
TXN-0000109,CUST-00020,2025-06-08 00:00:00,Debit,Shopping,354.3,Debit Card,Apparel
TXN-0000110,CUST-00020,2024-07-20 00:00:00,Debit,Education,1022.75,Debit Card,Restaurant
TXN-0000111,CUST-00020,2024-05-21 00:00:00,Debit,Groceries,37.69,Cash,Electronics
TXN-0000112,CUST-00021,2023-04-04 00:00:00,Debit,Education,210.71,Cash,Healthcare
TXN-0000113,CUST-00021,2023-04-13 00:00:00,Debit,Dining,164.01,Cash,Electronics
TXN-0000114,CUST-00022,2024-06-18 00:00:00,Debit,Subscription,38.3,Cash,Gas Station
TXN-0000115,CUST-00022,2022-08-24 00:00:00,Debit,Dining,56.3,Digital Wallet,Gas Station
TXN-0000116,CUST-00022,2025-11-07 00:00:00,Debit,Travel,421.96,Bank Transfer,Online Retail
TXN-0000117,CUST-00023,2021-01-29 00:00:00,Debit,Healthcare,157.81,Digital Wallet,Healthcare
TXN-0000118,CUST-00023,2021-07-19 00:00:00,Debit,Groceries,42.4,Cash,Restaurant
TXN-0000119,CUST-00023,2024-05-11 00:00:00,Debit,Groceries,145.24,Bank Transfer,Apparel
TXN-0000120,CUST-00023,2025-01-09 00:00:00,Debit,Travel,295.03,Credit Card,Gas Station
TXN-0000121,CUST-00024,2022-11-02 00:00:00,Credit,Transfer,2054.67,Credit Card,Apparel
TXN-0000122,CUST-00024,2023-08-17 00:00:00,Debit,Education,203.1,Cash,Healthcare
TXN-0000123,CUST-00024,2024-01-27 00:00:00,Debit,Shopping,447.4,Cash,Healthcare
TXN-0000124,CUST-00024,2023-11-24 00:00:00,Debit,Shopping,364.19,Bank Transfer,Restaurant
TXN-0000125,CUST-00025,2025-02-14 00:00:00,Debit,Education,1061.73,Bank Transfer,Healthcare
TXN-0000126,CUST-00025,2025-12-19 00:00:00,Debit,Shopping,351.34,Credit Card,Restaurant
TXN-0000127,CUST-00025,2025-03-05 00:00:00,Debit,Healthcare,168.87,Debit Card,Electronics
TXN-0000128,CUST-00025,2024-08-01 00:00:00,Debit,Shopping,183.29,Cash,Gas Station
TXN-0000129,CUST-00025,2024-08-04 00:00:00,Debit,Shopping,70.41,Digital Wallet,Online Retail
TXN-0000130,CUST-00026,2025-11-15 00:00:00,Debit,Dining,99.22,Digital Wallet,Online Retail
TXN-0000131,CUST-00026,2024-04-01 00:00:00,Debit,Education,1157.62,Bank Transfer,Apparel
TXN-0000132,CUST-00026,2024-03-12 00:00:00,Debit,Utilities,53.06,Digital Wallet,Apparel
TXN-0000133,CUST-00026,2025-08-15 00:00:00,Debit,Groceries,221.67,Digital Wallet,Electronics
TXN-0000134,CUST-00026,2024-09-01 00:00:00,Debit,Shopping,291.26,Credit Card,General Merchant
TXN-0000135,CUST-00026,2025-10-13 00:00:00,Debit,Education,1492.51,Credit Card,Service Provider
TXN-0000136,CUST-00027,2022-12-11 00:00:00,Debit,Education,472.64,Cash,Supermarket
TXN-0000137,CUST-00027,2023-03-25 00:00:00,Debit,Subscription,44.47,Cash,Restaurant
TXN-0000138,CUST-00027,2022-06-09 00:00:00,Debit,Shopping,247.88,Debit Card,Restaurant
TXN-0000139,CUST-00027,2023-03-14 00:00:00,Debit,Healthcare,386.62,Debit Card,Electronics
TXN-0000140,CUST-00027,2023-09-15 00:00:00,Debit,Healthcare,65.56,Cash,Electronics
TXN-0000141,CUST-00027,2022-12-14 00:00:00,Debit,Utilities,219.78,Debit Card,Supermarket
TXN-0000142,CUST-00028,2023-09-01 00:00:00,Debit,Groceries,172.63,Bank Transfer,Supermarket
TXN-0000143,CUST-00028,2021-12-22 00:00:00,Debit,Groceries,110.53,Bank Transfer,Gas Station
TXN-0000144,CUST-00028,2025-03-05 00:00:00,Debit,Subscription,9.04,Credit Card,Restaurant
TXN-0000145,CUST-00028,2024-10-17 00:00:00,Debit,Travel,940.41,Bank Transfer,Supermarket
TXN-0000146,CUST-00028,2022-03-08 00:00:00,Debit,Entertainment,106.44,Bank Transfer,Electronics
TXN-0000147,CUST-00028,2021-04-04 00:00:00,Debit,Travel,844.41,Debit Card,Gas Station
TXN-0000148,CUST-00028,2019-06-23 00:00:00,Debit,Groceries,275.95,Digital Wallet,Online Retail
TXN-0000149,CUST-00029,2019-05-14 00:00:00,Debit,Transfer,1736.88,Digital Wallet,Gas Station
TXN-0000150,CUST-00029,2022-05-10 00:00:00,Credit,Transfer,919.87,Debit Card,General Merchant
TXN-0000151,CUST-00029,2019-08-15 00:00:00,Debit,Education,544.0,Cash,Healthcare
TXN-0000152,CUST-00030,2025-05-24 00:00:00,Debit,Dining,21.51,Credit Card,General Merchant
TXN-0000153,CUST-00030,2025-07-03 00:00:00,Debit,Travel,354.71,Debit Card,Service Provider
TXN-0000154,CUST-00031,2025-04-09 00:00:00,Debit,Transfer,1883.27,Bank Transfer,Online Retail
TXN-0000155,CUST-00031,2024-05-30 00:00:00,Debit,Healthcare,369.79,Digital Wallet,Gas Station
TXN-0000156,CUST-00032,2025-05-02 00:00:00,Debit,Education,337.3,Digital Wallet,Supermarket
TXN-0000157,CUST-00032,2025-09-14 00:00:00,Debit,Education,1334.64,Digital Wallet,Apparel
TXN-0000158,CUST-00032,2025-07-05 00:00:00,Debit,Dining,68.07,Credit Card,Healthcare
TXN-0000159,CUST-00032,2024-12-07 00:00:00,Debit,Dining,153.29,Bank Transfer,General Merchant
TXN-0000160,CUST-00033,2023-12-18 00:00:00,Debit,Travel,1259.01,Bank Transfer,Apparel
TXN-0000161,CUST-00033,2025-02-04 00:00:00,Debit,Entertainment,140.25,Digital Wallet,Supermarket
TXN-0000162,CUST-00033,2025-03-14 00:00:00,Debit,Travel,883.32,Bank Transfer,Online Retail
TXN-0000163,CUST-00034,2024-09-28 00:00:00,Debit,Travel,1192.36,Credit Card,Supermarket
TXN-0000164,CUST-00034,2025-01-27 00:00:00,Debit,Travel,789.79,Bank Transfer,Apparel
TXN-0000165,CUST-00034,2024-07-21 00:00:00,Debit,Dining,23.42,Debit Card,Restaurant
TXN-0000166,CUST-00034,2025-09-01 00:00:00,Debit,Travel,630.13,Debit Card,Healthcare
TXN-0000167,CUST-00035,2022-09-30 00:00:00,Debit,Transfer,234.96,Debit Card,Supermarket
TXN-0000168,CUST-00035,2019-08-30 00:00:00,Debit,Shopping,422.6,Digital Wallet,Supermarket
TXN-0000169,CUST-00035,2020-10-03 00:00:00,Debit,Travel,762.5,Debit Card,Supermarket
TXN-0000170,CUST-00035,2020-10-07 00:00:00,Debit,Utilities,330.01,Bank Transfer,Restaurant
TXN-0000171,CUST-00035,2018-07-02 00:00:00,Debit,Travel,948.83,Credit Card,Gas Station
TXN-0000172,CUST-00035,2019-01-27 00:00:00,Debit,Healthcare,262.26,Cash,Online Retail
TXN-0000173,CUST-00035,2020-09-07 00:00:00,Credit,Transfer,606.25,Cash,Service Provider
TXN-0000174,CUST-00036,2024-08-10 00:00:00,Credit,Transfer,862.61,Bank Transfer,Supermarket
TXN-0000175,CUST-00036,2022-05-03 00:00:00,Debit,Education,75.48,Digital Wallet,Electronics
TXN-0000176,CUST-00036,2023-06-11 00:00:00,Debit,Travel,498.3,Credit Card,Healthcare
TXN-0000177,CUST-00036,2025-09-21 00:00:00,Debit,Subscription,26.32,Credit Card,General Merchant
TXN-0000178,CUST-00036,2024-07-21 00:00:00,Debit,Travel,1172.7,Digital Wallet,Service Provider
TXN-0000179,CUST-00036,2023-12-12 00:00:00,Debit,Dining,105.37,Debit Card,Restaurant
TXN-0000180,CUST-00036,2025-01-22 00:00:00,Debit,Utilities,138.84,Digital Wallet,Supermarket
TXN-0000181,CUST-00037,2019-10-30 00:00:00,Debit,Education,991.95,Credit Card,Restaurant
TXN-0000182,CUST-00037,2024-11-18 00:00:00,Debit,Healthcare,451.17,Digital Wallet,Electronics
TXN-0000183,CUST-00037,2023-09-19 00:00:00,Debit,Groceries,246.33,Credit Card,Gas Station
TXN-0000184,CUST-00037,2022-12-06 00:00:00,Debit,Groceries,92.65,Debit Card,Apparel
TXN-0000185,CUST-00037,2020-04-27 00:00:00,Debit,Shopping,408.23,Bank Transfer,Supermarket
TXN-0000186,CUST-00037,2023-02-26 00:00:00,Debit,Healthcare,424.54,Cash,Healthcare
TXN-0000187,CUST-00037,2022-01-09 00:00:00,Debit,Utilities,145.8,Debit Card,Apparel
TXN-0000188,CUST-00038,2024-03-09 00:00:00,Debit,Subscription,28.11,Debit Card,Service Provider
TXN-0000189,CUST-00038,2025-08-07 00:00:00,Debit,Groceries,255.83,Bank Transfer,Gas Station
TXN-0000190,CUST-00038,2025-03-10 00:00:00,Debit,Shopping,103.55,Bank Transfer,Electronics
TXN-0000191,CUST-00038,2023-02-09 00:00:00,Debit,Transfer,583.93,Digital Wallet,Restaurant
TXN-0000192,CUST-00039,2023-07-08 00:00:00,Debit,Dining,99.71,Debit Card,Electronics
TXN-0000193,CUST-00039,2023-10-23 00:00:00,Debit,Shopping,95.89,Debit Card,Restaurant
TXN-0000194,CUST-00039,2021-01-08 00:00:00,Debit,Entertainment,135.97,Debit Card,Supermarket
TXN-0000195,CUST-00039,2021-08-19 00:00:00,Debit,Utilities,337.74,Bank Transfer,Gas Station
TXN-0000196,CUST-00040,2025-12-01 00:00:00,Debit,Subscription,9.13,Credit Card,Supermarket
TXN-0000197,CUST-00040,2025-05-16 00:00:00,Debit,Dining,51.47,Cash,Healthcare
TXN-0000198,CUST-00040,2024-12-07 00:00:00,Debit,Entertainment,140.25,Digital Wallet,Service Provider
TXN-0000199,CUST-00040,2025-04-25 00:00:00,Debit,Healthcare,220.53,Debit Card,Service Provider
TXN-0000200,CUST-00040,2025-12-30 00:00:00,Debit,Healthcare,95.01,Cash,Apparel
TXN-0000201,CUST-00041,2022-02-16 00:00:00,Debit,Healthcare,348.95,Debit Card,Restaurant
TXN-0000202,CUST-00041,2022-11-24 00:00:00,Debit,Entertainment,141.6,Credit Card,Service Provider
TXN-0000203,CUST-00041,2023-06-13 00:00:00,Debit,Utilities,83.73,Digital Wallet,Service Provider
TXN-0000204,CUST-00041,2025-09-22 00:00:00,Debit,Education,122.89,Bank Transfer,Service Provider
TXN-0000205,CUST-00041,2022-12-16 00:00:00,Debit,Healthcare,288.59,Bank Transfer,Supermarket
TXN-0000206,CUST-00041,2022-10-12 00:00:00,Debit,Utilities,282.32,Debit Card,Restaurant
TXN-0000207,CUST-00041,2022-11-30 00:00:00,Debit,Healthcare,123.99,Credit Card,Online Retail
TXN-0000208,CUST-00041,2025-06-28 00:00:00,Debit,Travel,282.98,Cash,Online Retail
TXN-0000209,CUST-00042,2025-08-24 00:00:00,Debit,Groceries,270.36,Debit Card,General Merchant
TXN-0000210,CUST-00042,2020-08-02 00:00:00,Debit,Utilities,328.74,Credit Card,Gas Station
TXN-0000211,CUST-00042,2022-05-16 00:00:00,Debit,Subscription,19.9,Digital Wallet,Online Retail
TXN-0000212,CUST-00042,2025-06-09 00:00:00,Debit,Shopping,432.16,Debit Card,Supermarket
TXN-0000213,CUST-00042,2020-09-30 00:00:00,Debit,Dining,161.04,Digital Wallet,Electronics
TXN-0000214,CUST-00042,2025-11-30 00:00:00,Credit,Transfer,818.4,Credit Card,Healthcare
TXN-0000215,CUST-00042,2021-09-02 00:00:00,Debit,Utilities,213.37,Cash,Service Provider
TXN-0000216,CUST-00043,2025-04-07 00:00:00,Debit,Subscription,11.9,Credit Card,Supermarket
TXN-0000217,CUST-00043,2024-11-29 00:00:00,Debit,Dining,161.13,Bank Transfer,Healthcare
TXN-0000218,CUST-00043,2025-01-27 00:00:00,Debit,Groceries,238.61,Bank Transfer,Restaurant
TXN-0000219,CUST-00043,2024-12-05 00:00:00,Debit,Transfer,1984.23,Digital Wallet,Online Retail
TXN-0000220,CUST-00043,2024-03-09 00:00:00,Debit,Transfer,1553.85,Credit Card,Apparel
TXN-0000221,CUST-00043,2023-09-30 00:00:00,Debit,Transfer,2060.14,Debit Card,Electronics
TXN-0000222,CUST-00043,2024-09-27 00:00:00,Debit,Travel,891.03,Credit Card,Apparel
TXN-0000223,CUST-00043,2025-12-04 00:00:00,Debit,Shopping,50.32,Cash,Service Provider
TXN-0000224,CUST-00043,2024-12-03 00:00:00,Debit,Education,162.09,Cash,Service Provider
TXN-0000225,CUST-00043,2023-08-26 00:00:00,Debit,Subscription,19.1,Credit Card,Service Provider
TXN-0000226,CUST-00043,2024-06-09 00:00:00,Debit,Dining,22.45,Cash,Supermarket
TXN-0000227,CUST-00044,2023-08-15 00:00:00,Debit,Dining,114.1,Digital Wallet,Apparel
TXN-0000228,CUST-00044,2019-02-25 00:00:00,Debit,Entertainment,13.77,Cash,Electronics
TXN-0000229,CUST-00044,2022-04-09 00:00:00,Debit,Groceries,215.87,Debit Card,Electronics
TXN-0000230,CUST-00044,2023-06-12 00:00:00,Debit,Education,367.45,Credit Card,Restaurant
TXN-0000231,CUST-00044,2020-03-04 00:00:00,Debit,Groceries,172.41,Debit Card,Apparel
TXN-0000232,CUST-00044,2022-03-16 00:00:00,Debit,Transfer,1796.24,Cash,Gas Station
TXN-0000233,CUST-00044,2024-01-02 00:00:00,Debit,Subscription,16.26,Bank Transfer,Gas Station
TXN-0000234,CUST-00045,2025-11-02 00:00:00,Debit,Subscription,56.15,Bank Transfer,Healthcare
TXN-0000235,CUST-00045,2022-03-04 00:00:00,Debit,Education,1083.49,Bank Transfer,Restaurant
TXN-0000236,CUST-00045,2024-05-10 00:00:00,Debit,Utilities,273.84,Bank Transfer,Electronics
TXN-0000237,CUST-00045,2022-06-03 00:00:00,Debit,Entertainment,64.28,Digital Wallet,Apparel
TXN-0000238,CUST-00045,2025-04-20 00:00:00,Debit,Healthcare,131.92,Digital Wallet,Apparel
TXN-0000239,CUST-00045,2021-08-22 00:00:00,Debit,Dining,162.65,Cash,Apparel
TXN-0000240,CUST-00046,2024-12-19 00:00:00,Debit,Transfer,389.18,Debit Card,Electronics
TXN-0000241,CUST-00046,2023-05-22 00:00:00,Debit,Education,509.9,Credit Card,Service Provider
TXN-0000242,CUST-00047,2025-04-12 00:00:00,Debit,Entertainment,143.93,Cash,Service Provider
TXN-0000243,CUST-00047,2025-02-20 00:00:00,Debit,Groceries,158.05,Cash,Apparel
TXN-0000244,CUST-00047,2025-06-02 00:00:00,Debit,Transfer,1243.52,Bank Transfer,Service Provider
TXN-0000245,CUST-00048,2024-11-12 00:00:00,Debit,Travel,1053.92,Bank Transfer,General Merchant
TXN-0000246,CUST-00048,2025-04-23 00:00:00,Debit,Utilities,180.6,Cash,Restaurant
TXN-0000247,CUST-00048,2024-11-01 00:00:00,Debit,Subscription,28.06,Bank Transfer,Restaurant
TXN-0000248,CUST-00048,2022-01-18 00:00:00,Debit,Healthcare,445.14,Bank Transfer,Restaurant
TXN-0000249,CUST-00048,2023-04-16 00:00:00,Debit,Healthcare,94.79,Bank Transfer,Online Retail
TXN-0000250,CUST-00049,2020-06-11 00:00:00,Debit,Education,898.01,Digital Wallet,Apparel
TXN-0000251,CUST-00049,2023-09-15 00:00:00,Debit,Travel,579.24,Cash,Gas Station
TXN-0000252,CUST-00049,2024-04-18 00:00:00,Debit,Travel,479.16,Credit Card,Online Retail
TXN-0000253,CUST-00049,2020-12-21 00:00:00,Debit,Travel,1273.45,Credit Card,Restaurant
TXN-0000254,CUST-00049,2024-09-09 00:00:00,Debit,Subscription,47.3,Digital Wallet,Restaurant
TXN-0000255,CUST-00049,2022-05-08 00:00:00,Debit,Entertainment,39.27,Debit Card,Electronics
TXN-0000256,CUST-00050,2024-10-18 00:00:00,Debit,Entertainment,214.94,Debit Card,Healthcare
TXN-0000257,CUST-00050,2025-05-26 00:00:00,Debit,Entertainment,168.57,Cash,Service Provider
TXN-0000258,CUST-00050,2025-04-17 00:00:00,Debit,Utilities,105.42,Credit Card,Healthcare
TXN-0000259,CUST-00050,2025-08-24 00:00:00,Debit,Dining,101.5,Debit Card,Healthcare
TXN-0000260,CUST-00050,2024-01-17 00:00:00,Debit,Groceries,215.47,Cash,Supermarket
TXN-0000261,CUST-00051,2024-02-21 00:00:00,Debit,Travel,542.44,Credit Card,Online Retail
TXN-0000262,CUST-00051,2023-08-07 00:00:00,Debit,Shopping,326.17,Digital Wallet,Electronics
