credit_id,customer_id,credit_score,payment_behavior,missed_payments,credit_utilization,credit_risk_category
CRED-00095,CUST-00095,766,On-Time,0,0.21,Low Risk
CRED-00096,CUST-00096,653,Frequently Late,3,0.67,High Risk
CRED-00097,CUST-00097,640,Occasional Late,4,0.73,High Risk
CRED-00098,CUST-00098,720,On-Time,0,0.32,Medium Risk
CRED-00099,CUST-00099,722,Occasional Late,0,0.44,Medium Risk
CRED-00100,CUST-00100,737,On-Time,0,0.41,Medium Risk
CRED-00101,CUST-00101,685,Occasional Late,0,0.33,Medium Risk
CRED-00102,CUST-00102,648,Occasional Late,2,0.49,High Risk
CRED-00103,CUST-00103,648,Frequently Late,1,0.69,High Risk
CRED-00104,CUST-00104,754,On-Time,0,0.19,Low Risk
CRED-00105,CUST-00105,762,On-Time,0,0.2,Low Risk
CRED-00106,CUST-00106,820,On-Time,0,0.19,Low Risk
CRED-00107,CUST-00107,774,On-Time,0,0.08,Low Risk
CRED-00108,CUST-00108,649,Frequently Late,3,0.66,High Risk
CRED-00109,CUST-00109,569,Frequently Late,7,0.71,Very High Risk
CRED-00110,CUST-00110,669,Frequently Late,2,0.77,High Risk
CRED-00111,CUST-00111,690,On-Time,2,0.38,Medium Risk
CRED-00112,CUST-00112,752,On-Time,0,0.16,Low Risk
CRED-00113,CUST-00113,721,Occasional Late,0,0.47,Medium Risk
CRED-00114,CUST-00114,833,On-Time,0,0.18,Low Risk
CRED-00115,CUST-00115,714,On-Time,1,0.24,Medium Risk
CRED-00116,CUST-00116,769,On-Time,0,0.06,Low Risk
CRED-00117,CUST-00117,807,On-Time,0,0.13,Low Risk
CRED-00118,CUST-00118,713,On-Time,0,0.33,Medium Risk
CRED-00119,CUST-00119,727,On-Time,0,0.2,Medium Risk
CRED-00120,CUST-00120,702,On-Time,0,0.25,Medium Risk
CRED-00121,CUST-00121,721,Occasional Late,0,0.46,Medium Risk
CRED-00122,CUST-00122,736,On-Time,0,0.22,Medium Risk
CRED-00123,CUST-00123,697,On-Time,0,0.43,Medium Risk
CRED-00124,CUST-00124,682,On-Time,0,0.35,Medium Risk
CRED-00125,CUST-00125,702,Occasional Late,0,0.46,Medium Risk
CRED-00126,CUST-00126,721,On-Time,0,0.27,Medium Risk
CRED-00127,CUST-00127,709,On-Time,2,0.3,Medium Risk
CRED-00128,CUST-00128,590,Frequently Late,2,0.56,High Risk
CRED-00129,CUST-00129,671,On-Time,0,0.22,Medium Risk
CRED-00130,CUST-00130,792,On-Time,0,0.09,Low Risk
CRED-00131,CUST-00131,667,Occasional Late,2,0.75,High Risk
CRED-00132,CUST-00132,759,On-Time,0,0.11,Low Risk
CRED-00133,CUST-00133,696,Occasional Late,2,0.37,Medium Risk
CRED-00134,CUST-00134,709,On-Time,0,0.37,Medium Risk
CRED-00135,CUST-00135,736,Occasional Late,0,0.43,Medium Risk
CRED-00136,CUST-00136,793,On-Time,0,0.1,Low Risk
CRED-00137,CUST-00137,705,On-Time,0,0.3,Medium Risk
CRED-00138,CUST-00138,674,On-Time,0,0.24,Medium Risk
CRED-00139,CUST-00139,359,Frequently Late,6,0.7,Very High Risk
CRED-00140,CUST-00140,681,Occasional Late,0,0.46,Medium Risk
CRED-00141,CUST-00141,714,On-Time,0,0.3,Medium Risk
CRED-00142,CUST-00142,652,Frequently Late,1,0.82,High Risk
CRED-00143,CUST-00143,736,Occasional Late,0,0.44,Medium Risk
CRED-00144,CUST-00144,680,On-Time,0,0.44,Medium Risk
CRED-00145,CUST-00145,744,Occasional Late,0,0.28,Medium Risk
CRED-00146,CUST-00146,671,On-Time,0,0.46,Medium Risk
CRED-00147,CUST-00147,698,On-Time,0,0.34,Medium Risk
CRED-00148,CUST-00148,755,On-Time,0,0.1,Low Risk
CRED-00149,CUST-00149,613,Occasional Late,1,0.66,High Risk
CRED-00150,CUST-00150,606,Frequently Late,1,0.8,High Risk
CRED-00151,CUST-00151,398,Frequently Late,5,0.95,Very High Risk
CRED-00152,CUST-00152,720,Occasional Late,2,0.27,Medium Risk
CRED-00153,CUST-00153,703,On-Time,1,0.26,Medium Risk
CRED-00154,CUST-00154,682,On-Time,1,0.23,Medium Risk
CRED-00155,CUST-00155,717,On-Time,0,0.31,Medium Risk
CRED-00156,CUST-00156,580,Occasional Late,2,0.7,High Risk
CRED-00157,CUST-00157,690,Occasional Late,1,0.41,Medium Risk
CRED-00158,CUST-00158,719,Occasional Late,0,0.42,Medium Risk
CRED-00159,CUST-00159,730,On-Time,1,0.43,Medium Risk
CRED-00160,CUST-00160,772,On-Time,0,0.1,Low Risk
CRED-00161,CUST-00161,725,On-Time,0,0.24,Medium Risk
CRED-00162,CUST-00162,688,Occasional Late,0,0.26,Medium Risk
CRED-00163,CUST-00163,548,Default Risk,5,0.77,Very High Risk
CRED-00164,CUST-00164,737,On-Time,0,0.4,Medium Risk
CRED-00165,CUST-00165,745,Occasional Late,0,0.28,Medium Risk
CRED-00166,CUST-00166,688,Occasional Late,0,0.44,Medium Risk
CRED-00167,CUST-00167,784,On-Time,0,0.06,Low Risk
CRED-00168,CUST-00168,359,Default Risk,10,0.75,Very High Risk
CRED-00169,CUST-00169,659,Occasional Late,2,0.62,High Risk
CRED-00170,CUST-00170,609,Occasional Late,2,0.52,High Risk
CRED-00171,CUST-00171,742,On-Time,0,0.44,Medium Risk
CRED-00172,CUST-00172,772,On-Time,0,0.21,Low Risk
CRED-00173,CUST-00173,701,Occasional Late,0,0.34,Medium Risk
CRED-00174,CUST-00174,674,Occasional Late,0,0.48,Medium Risk
CRED-00175,CUST-00175,731,Occasional Late,2,0.31,Medium Risk
CRED-00176,CUST-00176,625,Occasional Late,3,0.6,High Risk
CRED-00177,CUST-00177,519,Default Risk,10,0.91,Very High Risk
CRED-00178,CUST-00178,628,Frequently Late,3,0.81,High Risk
CRED-00179,CUST-00179,734,On-Time,2,0.37,Medium Risk
CRED-00180,CUST-00180,779,On-Time,0,0.1,Low Risk
CRED-00181,CUST-00181,747,On-Time,1,0.23,Medium Risk
CRED-00182,CUST-00182,706,Occasional Late,1,0.31,Medium Risk
CRED-00183,CUST-00183,680,On-Time,1,0.2,Medium Risk
CRED-00184,CUST-00184,715,Occasional Late,0,0.43,Medium Risk
CRED-00185,CUST-00185,676,Occasional Late,2,0.25,Medium Risk
CRED-00186,CUST-00186,703,On-Time,0,0.33,Medium Risk
CRED-00187,CUST-00187,587,Occasional Late,4,0.66,High Risk
CRED-00188,CUST-00188,447,Default Risk,8,0.79,Very High Risk
CRED-00189,CUST-00189,671,Occasional Late,0,0.38,Medium Risk
CRED-00190,CUST-00190,725,On-Time,1,0.35,Medium Risk
CRED-00191,CUST-00191,738,Occasional Late,0,0.44,Medium Risk
CRED-00192,CUST-00192,750,On-Time,0,0.06,Low Risk
CRED-00193,CUST-00193,737,On-Time,1,0.38,Medium Risk
CRED-00194,CUST-00194,640,Occasional Late,4,0.77,High Risk
CRED-00195,CUST-00195,647,Frequently Late,4,0.72,High Risk
CRED-00196,CUST-00196,678,Occasional Late,0,0.45,Medium Risk
CRED-00197,CUST-00197,782,On-Time,1,0.22,Low Risk
CRED-00198,CUST-00198,729,Occasional Late,1,0.21,Medium Risk
CRED-00199,CUST-00199,763,On-Time,0,0.15,Low Risk
CRED-00200,CUST-00200,751,On-Time,0,0.14,Low Risk
CRED-00201,CUST-00201,710,On-Time,0,0.38,Medium Risk
CRED-00202,CUST-00202,766,On-Time,0,0.24,Low Risk
CRED-00203,CUST-00203,621,Frequently Late,1,0.7,High Risk
CRED-00204,CUST-00204,559,Default Risk,8,0.77,Very High Risk
CRED-00205,CUST-00205,703,On-Time,0,0.4,Medium Risk
CRED-00206,CUST-00206,669,Occasional Late,4,0.52,High Risk
CRED-00207,CUST-00207,741,On-Time,1,0.38,Medium Risk
CRED-00208,CUST-00208,741,Occasional Late,2,0.26,Medium Risk
CRED-00209,CUST-00209,643,Frequently Late,3,0.63,High Risk
CRED-00210,CUST-00210,768,On-Time,1,0.12,Low Risk
CRED-00211,CUST-00211,726,Occasional Late,0,0.46,Medium Risk
CRED-00212,CUST-00212,699,Occasional Late,0,0.46,Medium Risk
CRED-00213,CUST-00213,794,On-Time,0,0.16,Low Risk
CRED-00214,CUST-00214,730,On-Time,0,0.28,Medium Risk
CRED-00215,CUST-00215,664,Frequently Late,2,0.85,High Risk
CRED-00216,CUST-00216,766,On-Time,0,0.07,Low Risk
CRED-00217,CUST-00217,770,On-Time,0,0.11,Low Risk
CRED-00218,CUST-00218,668,Frequently Late,2,0.74,High Risk
CRED-00219,CUST-00219,792,On-Time,0,0.15,Low Risk
CRED-00220,CUST-00220,729,Occasional Late,1,0.24,Medium Risk
CRED-00221,CUST-00221,665,Frequently Late,3,0.66,High Risk
CRED-00222,CUST-00222,674,On-Time,0,0.3,Medium Risk
CRED-00223,CUST-00223,662,Frequently Late,1,0.75,High Risk
CRED-00224,CUST-00224,716,On-Time,0,0.36,Medium Risk
CRED-00225,CUST-00225,792,On-Time,0,0.18,Low Risk
CRED-00226,CUST-00226,653,Occasional Late,1,0.47,High Risk
CRED-00227,CUST-00227,702,On-Time,0,0.5,Medium Risk
CRED-00228,CUST-00228,749,On-Time,0,0.39,Medium Risk
CRED-00229,CUST-00229,783,On-Time,0,0.14,Low Risk
CRED-00230,CUST-00230,684,On-Time,0,0.49,Medium Risk
CRED-00231,CUST-00231,652,Occasional Late,3,0.7,High Risk
CRED-00232,CUST-00232,762,On-Time,0,0.17,Low Risk
CRED-00233,CUST-00233,712,On-Time,0,0.22,Medium Risk
CRED-00234,CUST-00234,720,Occasional Late,1,0.39,Medium Risk
CRED-00235,CUST-00235,694,On-Time,0,0.35,Medium Risk
CRED-00236,CUST-00236,444,Frequently Late,6,0.78,Very High Risk
CRED-00237,CUST-00237,667,Occasional Late,4,0.68,High Risk
CRED-00238,CUST-00238,743,On-Time,0,0.48,Medium Risk
CRED-00239,CUST-00239,689,On-Time,0,0.3,Medium Risk
CRED-00240,CUST-00240,749,On-Time,0,0.46,Medium Risk
CRED-00241,CUST-00241,751,On-Time,0,0.17,Low Risk
CRED-00242,CUST-00242,746,On-Time,0,0.21,Medium Risk
CRED-00243,CUST-00243,678,On-Time,1,0.43,Medium Risk
CRED-00244,CUST-00244,704,Occasional Late,0,0.5,Medium Risk
CRED-00245,CUST-00245,725,On-Time,1,0.37,Medium Risk
CRED-00246,CUST-00246,694,On-Time,0,0.28,Medium Risk
CRED-00247,CUST-00247,741,On-Time,0,0.29,Medium Risk
CRED-00248,CUST-00248,654,Frequently Late,2,0.47,High Risk
CRED-00249,CUST-00249,670,On-Time,0,0.28,Medium Risk
CRED-00250,CUST-00250,771,On-Time,0,0.22,Low Risk
CRED-00251,CUST-00251,704,On-Time,1,0.23,Medium Risk
CRED-00252,CUST-00252,692,Occasional Late,0,0.35,Medium Risk
CRED-00253,CUST-00253,656,Occasional Late,4,0.62,High Risk
CRED-00254,CUST-00254,676,On-Time,0,0.41,Medium Risk
CRED-00255,CUST-00255,757,On-Time,0,0.06,Low Risk
CRED-00256,CUST-00256,696,On-Time,1,0.2,Medium Risk
CRED-00257,CUST-00257,566,Frequently Late,4,0.98,Very High Risk
CRED-00258,CUST-00258,672,On-Time,1,0.46,Medium Risk
CRED-00259,CUST-00259,649,Occasional Late,2,0.85,High Risk
CRED-00260,CUST-00260,699,On-Time,1,0.36,Medium Risk
CRED-00261,CUST-00261,694,On-Time,0,0.39,Medium Risk
CRED-00262,CUST-00262,686,On-Time,1,0.4,Medium Risk
CRED-00263,CUST-00263,718,On-Time,1,0.32,Medium Risk
CRED-00264,CUST-00264,685,On-Time,2,0.31,Medium Risk
CRED-00265,CUST-00265,731,On-Time,2,0.35,Medium Risk
CRED-00266,CUST-00266,641,Frequently Late,2,0.77,High Risk
CRED-00267,CUST-00267,720,On-Time,0,0.29,Medium Risk
CRED-00268,CUST-00268,658,Occasional Late,2,0.73,High Risk
CRED-00269,CUST-00269,702,On-Time,0,0.22,Medium Risk
CRED-00270,CUST-00270,713,On-Time,1,0.29,Medium Risk
CRED-00271,CUST-00271,548,Default Risk,5,0.88,Very High Risk
CRED-00272,CUST-00272,815,On-Time,0,0.25,Low Risk
CRED-00273,CUST-00273,658,Occasional Late,3,0.62,High Risk
CRED-00274,CUST-00274,689,On-Time,0,0.35,Medium Risk
CRED-00275,CUST-00275,577,Default Risk,7,0.93,Very High Risk
CRED-00276,CUST-00276,624,Occasional Late,4,0.59,High Risk
CRED-00277,CUST-00277,610,Frequently Late,4,0.57,High Risk
CRED-00278,CUST-00278,617,Occasional Late,3,0.59,High Risk
CRED-00279,CUST-00279,770,On-Time,0,0.07,Low Risk
CRED-00280,CUST-00280,651,Frequently Late,2,0.69,High Risk
CRED-00281,CUST-00281,683,Occasional Late,0,0.47,Medium Risk
CRED-00282,CUST-00282,673,On-Time,0,0.39,Medium Risk
CRED-00283,CUST-00283,746,On-Time,0,0.22,Medium Risk
CRED-00284,CUST-00284,798,On-Time,0,0.15,Low Risk
CRED-00285,CUST-00285,717,On-Time,0,0.31,Medium Risk
CRED-00286,CUST-00286,724,On-Time,0,0.44,Medium Risk
CRED-00287,CUST-00287,741,On-Time,0,0.29,Medium Risk
CRED-00288,CUST-00288,667,Occasional Late,1,0.62,High Risk
CRED-00289,CUST-00289,714,On-Time,0,0.25,Medium Risk
CRED-00290,CUST-00290,660,Occasional Late,4,0.55,High Risk
CRED-00291,CUST-00291,666,Frequently Late,1,0.5,High Risk
CRED-00292,CUST-00292,592,Occasional Late,4,0.68,High Risk
CRED-00293,CUST-00293,580,Frequently Late,2,0.81,High Risk
CRED-00294,CUST-00294,764,On-Time,0,0.09,Low Risk
CRED-00295,CUST-00295,716,Occasional Late,0,0.29,Medium Risk
CRED-00296,CUST-00296,694,Occasional Late,1,0.37,Medium Risk
CRED-00297,CUST-00297,722,On-Time,0,0.35,Medium Risk
CRED-00298,CUST-00298,662,Occasional Late,4,0.82,High Risk
CRED-00299,CUST-00299,777,On-Time,0,0.16,Low Risk
CRED-00300,CUST-00300,717,On-Time,2,0.32,Medium Risk
CRED-00301,CUST-00301,674,On-Time,0,0.47,Medium Risk
CRED-00302,CUST-00302,577,Frequently Late,4,0.81,Very High Risk
CRED-00303,CUST-00303,710,Occasional Late,0,0.36,Medium Risk
CRED-00304,CUST-00304,723,On-Time,0,0.49,Medium Risk
CRED-00305,CUST-00305,491,Frequently Late,5,0.88,Very High Risk
CRED-00306,CUST-00306,597,Occasional Late,4,0.63,High Risk
CRED-00307,CUST-00307,678,Occasional Late,0,0.31,Medium Risk
CRED-00308,CUST-00308,689,On-Time,2,0.32,Medium Risk
CRED-00309,CUST-00309,735,On-Time,0,0.31,Medium Risk
CRED-00310,CUST-00310,737,Occasional Late,1,0.32,Medium Risk
CRED-00311,CUST-00311,754,On-Time,0,0.13,Low Risk
CRED-00312,CUST-00312,745,On-Time,0,0.39,Medium Risk
CRED-00313,CUST-00313,807,On-Time,0,0.24,Low Risk
CRED-00314,CUST-00314,733,Occasional Late,0,0.28,Medium Risk
CRED-00315,CUST-00315,542,Default Risk,6,0.76,Very High Risk
CRED-00316,CUST-00316,717,On-Time,1,0.41,Medium Risk
CRED-00317,CUST-00317,580,Frequently Late,1,0.54,High Risk
CRED-00318,CUST-00318,732,On-Time,1,0.39,Medium Risk
CRED-00319,CUST-00319,694,On-Time,0,0.25,Medium Risk
CRED-00320,CUST-00320,692,Occasional Late,0,0.21,Medium Risk
CRED-00321,CUST-00321,795,On-Time,0,0.16,Low Risk
CRED-00322,CUST-00322,718,On-Time,1,0.22,Medium Risk
CRED-00323,CUST-00323,736,On-Time,0,0.33,Medium Risk
CRED-00324,CUST-00324,696,Occasional Late,2,0.35,Medium Risk
CRED-00325,CUST-00325,726,Occasional Late,0,0.49,Medium Risk
CRED-00326,CUST-00326,843,On-Time,0,0.06,Low Risk
CRED-00327,CUST-00327,685,On-Time,1,0.29,Medium Risk
CRED-00328,CUST-00328,707,Occasional Late,1,0.31,Medium Risk
CRED-00329,CUST-00329,578,Default Risk,9,0.78,Very High Risk
CRED-00330,CUST-00330,790,On-Time,1,0.09,Low Risk
CRED-00331,CUST-00331,601,Frequently Late,2,0.69,High Risk
CRED-00332,CUST-00332,660,Frequently Late,4,0.55,High Risk
CRED-00333,CUST-00333,764,On-Time,0,0.1,Low Risk
CRED-00334,CUST-00334,657,Occasional Late,4,0.46,High Risk
CRED-00335,CUST-00335,667,Frequently Late,2,0.55,High Risk
CRED-00336,CUST-00336,682,On-Time,1,0.39,Medium Risk
CRED-00337,CUST-00337,758,On-Time,0,0.07,Low Risk
CRED-00338,CUST-00338,722,Occasional Late,0,0.34,Medium Risk
CRED-00339,CUST-00339,703,On-Time,0,0.2,Medium Risk
CRED-00340,CUST-00340,737,On-Time,0,0.31,Medium Risk
CRED-00341,CUST-00341,753,On-Time,0,0.17,Low Risk
CRED-00342,CUST-00342,663,Frequently Late,3,0.83,High Risk
CRED-00343,CUST-00343,712,On-Time,0,0.5,Medium Risk
CRED-00344,CUST-00344,730,On-Time,0,0.49,Medium Risk
CRED-00345,CUST-00345,643,Occasional Late,2,0.81,High Risk
CRED-00346,CUST-00346,689,Occasional Late,0,0.24,Medium Risk
CRED-00347,CUST-00347,640,Frequently Late,3,0.77,High Risk
CRED-00348,CUST-00348,732,On-Time,0,0.48,Medium Risk
CRED-00349,CUST-00349,692,On-Time,1,0.4,Medium Risk
CRED-00350,CUST-00350,732,On-Time,0,0.2,Medium Risk
CRED-00351,CUST-00351,757,On-Time,0,0.11,Low Risk
CRED-00352,CUST-00352,737,On-Time,1,0.39,Medium Risk
CRED-00353,CUST-00353,824,On-Time,0,0.09,Low Risk
CRED-00354,CUST-00354,723,On-Time,0,0.22,Medium Risk
CRED-00355,CUST-00355,699,On-Time,0,0.22,Medium Risk
CRED-00356,CUST-00356,790,On-Time,0,0.13,Low Risk
CRED-00357,CUST-00357,825,On-Time,0,0.05,Low Risk
CRED-00358,CUST-00358,733,On-Time,2,0.36,Medium Risk
CRED-00359,CUST-00359,726,On-Time,0,0.47,Medium Risk
CRED-00360,CUST-00360,746,Occasional Late,0,0.34,Medium Risk
CRED-00361,CUST-00361,790,On-Time,0,0.11,Low Risk
CRED-00362,CUST-00362,687,On-Time,2,0.33,Medium Risk
CRED-00363,CUST-00363,700,Occasional Late,0,0.29,Medium Risk
CRED-00364,CUST-00364,695,On-Time,0,0.27,Medium Risk
CRED-00365,CUST-00365,725,On-Time,1,0.3,Medium Risk
CRED-00366,CUST-00366,633,Occasional Late,1,0.73,High Risk
CRED-00367,CUST-00367,732,On-Time,0,0.26,Medium Risk
CRED-00368,CUST-00368,483,Frequently Late,10,0.9,Very High Risk
CRED-00369,CUST-00369,670,On-Time,2,0.28,Medium Risk
CRED-00370,CUST-00370,658,Occasional Late,2,0.79,High Risk
CRED-00371,CUST-00371,667,Occasional Late,1,0.78,High Risk
CRED-00372,CUST-00372,779,On-Time,0,0.22,Low Risk
CRED-00373,CUST-00373,783,On-Time,0,0.19,Low Risk
CRED-00374,CUST-00374,681,On-Time,0,0.4,Medium Risk
CRED-00375,CUST-00375,749,On-Time,2,0.23,Medium Risk
CRED-00376,CUST-00376,734,Occasional Late,0,0.47,Medium Risk
CRED-00377,CUST-00377,746,Occasional Late,1,0.3,Medium Risk
CRED-00378,CUST-00378,691,Occasional Late,0,0.35,Medium Risk
CRED-00379,CUST-00379,692,On-Time,0,0.27,Medium Risk
CRED-00380,CUST-00380,725,On-Time,1,0.45,Medium Risk
CRED-00381,CUST-00381,651,Frequently Late,2,0.55,High Risk
CRED-00382,CUST-00382,675,On-Time,0,0.46,Medium Risk
CRED-00383,CUST-00383,809,On-Time,0,0.19,Low Risk
CRED-00384,CUST-00384,789,On-Time,0,0.11,Low Risk
CRED-00385,CUST-00385,705,On-Time,0,0.36,Medium Risk
CRED-00386,CUST-00386,647,Frequently Late,4,0.83,High Risk
CRED-00387,CUST-00387,737,Occasional Late,0,0.22,Medium Risk
CRED-00388,CUST-00388,642,Occasional Late,4,0.76,High Risk
CRED-00389,CUST-00389,775,On-Time,0,0.14,Low Risk
CRED-00390,CUST-00390,613,Occasional Late,2,0.49,High Risk
CRED-00391,CUST-00391,647,Frequently Late,1,0.71,High Risk
CRED-00392,CUST-00392,631,Frequently Late,2,0.65,High Risk
CRED-00393,CUST-00393,752,On-Time,0,0.12,Low Risk
CRED-00394,CUST-00394,742,On-Time,1,0.31,Medium Risk
CRED-00395,CUST-00395,722,On-Time,0,0.33,Medium Risk
CRED-00396,CUST-00396,746,Occasional Late,1,0.24,Medium Risk
CRED-00397,CUST-00397,676,On-Time,1,0.27,Medium Risk
CRED-00398,CUST-00398,786,On-Time,0,0.2,Low Risk
CRED-00399,CUST-00399,628,Occasional Late,4,0.78,High Risk
CRED-00400,CUST-00400,633,Occasional Late,1,0.77,High Risk
CRED-00401,CUST-00401,701,Occasional Late,0,0.21,Medium Risk
CRED-00402,CUST-00402,642,Frequently Late,2,0.62,High Risk
CRED-00403,CUST-00403,786,On-Time,0,0.16,Low Risk
CRED-00404,CUST-00404,754,On-Time,0,0.08,Low Risk
CRED-00405,CUST-00405,673,On-Time,0,0.46,Medium Risk
CRED-00406,CUST-00406,702,On-Time,0,0.25,Medium Risk
