customer_id,age,gender,education,employment_status,marital_status,city_tier,occupation,customer_since
CUST-00080,71,Male,High School,Retired,Single,Tier 2,Retired,2023-09-07
CUST-00081,59,Female,Master'S,Self-Employed,Married,Tier 2,Software/Tech,2020-06-15
CUST-00082,21,Male,Bachelor'S,Student,Single,Tier 2,Student,2022-04-21
CUST-00083,71,Female,Master'S,Retired,Married,Tier 2,Retired,2021-09-26
CUST-00084,46,Female,Master'S,Employed,Single,Tier 2,Education,2020-01-04
CUST-00085,35,Male,Master'S,Employed,Married,Tier 1,Trades/Manufacturing,2024-07-08
CUST-00086,43,Female,High School,Employed,Married,Tier 1,Education,2019-11-21
CUST-00087,61,Non-Binary,High School,Employed,Married,Tier 1,Retail/Hospitality,2019-11-24
CUST-00088,51,Male,Doctorate,Employed,Married,Tier 1,Finance/Banking,2020-06-20
CUST-00089,27,Female,Bachelor'S,Employed,Married,Tier 3,Education,2022-08-01
CUST-00090,53,Male,High School,Self-Employed,Married,Tier 3,Software/Tech,2020-02-23
CUST-00091,31,Female,Bachelor'S,Employed,Married,Tier 1,Education,2022-10-07
CUST-00092,48,Male,Associate,Employed,Single,Tier 1,Other,2018-01-22
CUST-00093,65,Female,Bachelor'S,Retired,Divorced,Tier 2,Retired,2024-10-09
CUST-00094,32,Female,Master'S,Self-Employed,Married,Tier 2,Finance/Banking,2021-01-18
CUST-00095,25,Female,Bachelor'S,Employed,Divorced,Tier 2,Retail/Hospitality,2024-04-27
CUST-00096,31,Female,Associate,Self-Employed,Married,Tier 2,Trades/Manufacturing,2022-10-24
CUST-00097,40,Female,Bachelor'S,Employed,Single,Tier 2,Healthcare,2021-12-15
CUST-00098,74,Male,Bachelor'S,Retired,Single,Tier 2,Retired,2019-08-21
CUST-00099,57,Female,Bachelor'S,Employed,Married,Tier 1,Software/Tech,2019-03-11
CUST-00100,38,Female,High School,Employed,Single,Tier 1,Retail/Hospitality,2024-11-18
CUST-00101,33,Female,Bachelor'S,Employed,Single,Tier 1,Trades/Manufacturing,2018-12-15
CUST-00102,62,Female,Bachelor'S,Self-Employed,Single,Tier 2,Healthcare,2024-09-16
CUST-00103,35,Female,Bachelor'S,Self-Employed,Single,Tier 1,Retail/Hospitality,2022-12-01
CUST-00104,64,Female,Master'S,Unemployed,Single,Tier 3,Unemployed,2022-01-19
CUST-00105,70,Male,Bachelor'S,Retired,Married,Tier 1,Retired,2021-07-30
CUST-00106,41,Male,High School,Employed,Married,Tier 2,Retail/Hospitality,2023-01-21
CUST-00107,43,Male,Bachelor'S,Self-Employed,Single,Tier 1,Trades/Manufacturing,2022-02-24
CUST-00108,42,Male,Bachelor'S,Employed,Married,Tier 3,Finance/Banking,2020-02-14
CUST-00109,62,Female,Associate,Employed,Single,Tier 1,Trades/Manufacturing,2023-10-17
CUST-00110,58,Male,Bachelor'S,Employed,Married,Tier 2,Retail/Hospitality,2023-09-05
CUST-00111,46,Male,High School,Employed,Married,Tier 3,Retail/Hospitality,2018-02-28
CUST-00112,32,Non-Binary,Associate,Employed,Single,Tier 1,Other,2018-03-18
CUST-00113,62,Male,Master'S,Employed,Single,Tier 2,Education,2024-02-29
CUST-00114,18,Male,Master'S,Employed,Married,Tier 2,Healthcare,2021-08-11
CUST-00115,42,Male,Bachelor'S,Employed,Single,Tier 2,Healthcare,2023-09-13
CUST-00116,24,Male,Bachelor'S,Employed,Widowed,Tier 2,Management/Executive,2019-09-27
CUST-00117,26,Female,Master'S,Employed,Divorced,Tier 2,Software/Tech,2018-03-26
CUST-00118,41,Female,Doctorate,Employed,Married,Tier 1,Software/Tech,2023-07-18
CUST-00119,18,Female,Bachelor'S,Student,Single,Tier 2,Student,2024-02-20
CUST-00120,61,Male,Bachelor'S,Employed,Single,Tier 2,Trades/Manufacturing,2021-05-25
CUST-00121,25,Female,Bachelor'S,Employed,Single,Tier 2,Software/Tech,2024-07-27
CUST-00122,41,Male,High School,Employed,Single,Tier 3,Education,2018-12-19
CUST-00123,28,Male,Bachelor'S,Employed,Widowed,Tier 2,Finance/Banking,2023-04-17
CUST-00124,68,Male,Bachelor'S,Employed,Single,Tier 2,Healthcare,2018-10-21
CUST-00125,34,Male,Master'S,Self-Employed,Single,Tier 3,Healthcare,2021-09-27
CUST-00126,25,Male,Master'S,Employed,Divorced,Tier 2,Software/Tech,2021-08-13
CUST-00127,52,Male,High School,Self-Employed,Single,Tier 2,Management/Executive,2020-02-09
CUST-00128,52,Non-Binary,Bachelor'S,Employed,Married,Tier 1,Education,2018-01-19
CUST-00129,50,Male,High School,Employed,Widowed,Tier 1,Retail/Hospitality,2022-08-07
CUST-00130,22,Male,High School,Employed,Single,Tier 2,Software/Tech,2023-09-13
CUST-00131,59,Male,Master'S,Self-Employed,Married,Tier 3,Healthcare,2021-05-08
CUST-00132,56,Female,Bachelor'S,Employed,Single,Tier 1,Trades/Manufacturing,2024-11-26
CUST-00133,75,Male,Bachelor'S,Employed,Married,Tier 2,Management/Executive,2024-06-29
CUST-00134,58,Female,High School,Employed,Single,Tier 1,Software/Tech,2020-08-04
CUST-00135,45,Non-Binary,Bachelor'S,Employed,Married,Tier 2,Healthcare,2019-11-20
CUST-00136,24,Male,Bachelor'S,Employed,Married,Tier 2,Education,2024-09-29
CUST-00137,26,Male,High School,Employed,Single,Tier 2,Finance/Banking,2021-04-20
CUST-00138,25,Male,Associate,Employed,Married,Tier 1,Healthcare,2023-10-26
CUST-00139,29,Female,High School,Employed,Single,Tier 1,Healthcare,2021-07-17
CUST-00140,51,Male,Bachelor'S,Employed,Married,Tier 3,Other,2019-10-01
CUST-00141,50,Male,Doctorate,Employed,Married,Tier 2,Finance/Banking,2021-01-18
CUST-00142,65,Male,Master'S,Retired,Married,Tier 1,Retired,2021-01-04
CUST-00143,72,Female,Doctorate,Retired,Single,Tier 1,Retired,2021-04-27
CUST-00144,40,Male,Master'S,Employed,Divorced,Tier 1,Software/Tech,2023-12-22
CUST-00145,41,Male,Master'S,Employed,Married,Tier 2,Healthcare,2024-04-02
CUST-00146,54,Female,Bachelor'S,Employed,Single,Tier 2,Healthcare,2023-02-07
CUST-00147,52,Female,Bachelor'S,Employed,Married,Tier 3,Management/Executive,2024-01-29
CUST-00148,61,Female,Bachelor'S,Employed,Married,Tier 3,Software/Tech,2021-01-23
CUST-00149,57,Male,Master'S,Employed,Single,Tier 2,Finance/Banking,2022-12-01
CUST-00150,39,Female,High School,Employed,Single,Tier 2,Finance/Banking,2021-03-04
CUST-00151,44,Female,High School,Employed,Divorced,Tier 2,Trades/Manufacturing,2020-03-31
CUST-00152,52,Male,Master'S,Employed,Single,Tier 2,Finance/Banking,2024-03-22
CUST-00153,18,Female,High School,Employed,Married,Tier 2,Healthcare,2018-01-19
CUST-00154,52,Male,Doctorate,Employed,Single,Tier 1,Software/Tech,2022-08-07
CUST-00155,54,Female,Bachelor'S,Employed,Married,Tier 1,Software/Tech,2023-12-19
CUST-00156,64,Male,Associate,Employed,Single,Tier 3,Healthcare,2020-02-13
CUST-00157,31,Female,Bachelor'S,Employed,Single,Tier 2,Retail/Hospitality,2023-11-20
CUST-00158,20,Male,Master'S,Employed,Married,Tier 2,Other,2024-11-29
CUST-00159,18,Female,High School,Employed,Married,Tier 3,Software/Tech,2020-05-31
CUST-00160,22,Male,Bachelor'S,Self-Employed,Married,Tier 2,Management/Executive,2021-08-26
CUST-00161,43,Non-Binary,Master'S,Employed,Single,Tier 1,Retail/Hospitality,2021-07-29
CUST-00162,72,Female,High School,Employed,Single,Tier 2,Finance/Banking,2020-11-23
CUST-00163,31,Male,High School,Employed,Single,Tier 1,Software/Tech,2018-09-22
CUST-00164,56,Female,High School,Employed,Married,Tier 1,Education,2023-03-27
CUST-00165,44,Non-Binary,High School,Employed,Married,Tier 3,Management/Executive,2024-09-30
CUST-00166,26,Male,High School,Employed,Married,Tier 2,Healthcare,2023-01-26
CUST-00167,32,Male,Bachelor'S,Employed,Married,Tier 3,Management/Executive,2021-08-11
CUST-00168,32,Female,Associate,Employed,Married,Tier 3,Retail/Hospitality,2020-10-26
CUST-00169,43,Male,Master'S,Employed,Married,Tier 2,Finance/Banking,2023-08-10
CUST-00170,59,Male,Associate,Employed,Single,Tier 3,Software/Tech,2021-07-26
CUST-00171,30,Male,Bachelor'S,Employed,Married,Tier 2,Finance/Banking,2022-05-12
CUST-00172,68,Male,Bachelor'S,Retired,Married,Tier 1,Retired,2021-02-06
CUST-00173,49,Male,Master'S,Self-Employed,Married,Tier 2,Finance/Banking,2019-10-11
CUST-00174,56,Male,Bachelor'S,Employed,Single,Tier 1,Management/Executive,2023-07-03
CUST-00175,66,Female,Associate,Retired,Single,Tier 1,Retired,2022-11-20
CUST-00176,69,Female,Master'S,Self-Employed,Single,Tier 1,Software/Tech,2020-02-24
CUST-00177,49,Male,Associate,Employed,Single,Tier 2,Software/Tech,2024-11-04
CUST-00178,21,Female,High School,Student,Married,Tier 2,Student,2018-04-21
CUST-00179,47,Female,Bachelor'S,Employed,Married,Tier 1,Healthcare,2024-07-09
CUST-00180,54,Female,Bachelor'S,Employed,Married,Tier 2,Finance/Banking,2022-05-14
CUST-00181,40,Male,High School,Employed,Married,Tier 2,Retail/Hospitality,2023-07-14
CUST-00182,56,Male,Bachelor'S,Employed,Single,Tier 1,Retail/Hospitality,2024-02-19
CUST-00183,62,Female,Bachelor'S,Self-Employed,Married,Tier 3,Healthcare,2020-11-27
CUST-00184,32,Female,Master'S,Employed,Divorced,Tier 2,Healthcare,2023-03-04
CUST-00185,60,Female,Associate,Unemployed,Married,Tier 3,Unemployed,2022-08-05
CUST-00186,46,Female,Associate,Employed,Married,Tier 1,Other,2024-11-17
CUST-00187,53,Male,Bachelor'S,Employed,Single,Tier 3,Retail/Hospitality,2020-07-30
CUST-00188,30,Female,Associate,Employed,Married,Tier 3,Finance/Banking,2024-10-14
CUST-00189,49,Male,Bachelor'S,Employed,Married,Tier 2,Healthcare,2018-03-17
CUST-00190,24,Male,Bachelor'S,Self-Employed,Widowed,Tier 3,Trades/Manufacturing,2018-01-23
CUST-00191,68,Female,Bachelor'S,Employed,Married,Tier 2,Software/Tech,2022-02-20
CUST-00192,39,Male,Master'S,Employed,Single,Tier 1,Healthcare,2020-01-17
CUST-00193,45,Male,Master'S,Self-Employed,Married,Tier 3,Trades/Manufacturing,2021-06-27
CUST-00194,19,Female,Bachelor'S,Student,Widowed,Tier 2,Student,2018-01-30
CUST-00195,59,Male,Doctorate,Employed,Married,Tier 1,Retail/Hospitality,2019-06-18
CUST-00196,62,Non-Binary,High School,Employed,Single,Tier 1,Finance/Banking,2019-05-28
CUST-00197,74,Non-Binary,Bachelor'S,Retired,Single,Tier 2,Retired,2021-02-21
CUST-00198,70,Female,Bachelor'S,Retired,Single,Tier 2,Retired,2022-01-14
CUST-00199,23,Male,Master'S,Employed,Divorced,Tier 3,Software/Tech,2022-11-28
CUST-00200,45,Male,Bachelor'S,Employed,Married,Tier 2,Finance/Banking,2022-06-26
CUST-00201,45,Male,Bachelor'S,Self-Employed,Married,Tier 2,Other,2023-01-10
CUST-00202,61,Male,Master'S,Employed,Single,Tier 2,Finance/Banking,2019-11-20
CUST-00203,61,Male,Bachelor'S,Employed,Divorced,Tier 2,Healthcare,2023-07-26
CUST-00204,37,Non-Binary,Bachelor'S,Employed,Single,Tier 2,Education,2019-09-16
CUST-00205,47,Male,High School,Self-Employed,Single,Tier 2,Healthcare,2019-01-17
CUST-00206,28,Female,High School,Employed,Single,Tier 3,Education,2020-11-08
CUST-00207,75,Male,Doctorate,Employed,Single,Tier 2,Healthcare,2024-05-13
CUST-00208,72,Female,Bachelor'S,Employed,Widowed,Tier 2,Retail/Hospitality,2020-11-08
CUST-00209,45,Female,Bachelor'S,Employed,Single,Tier 3,Finance/Banking,2022-08-19
CUST-00210,42,Male,Associate,Employed,Single,Tier 3,Trades/Manufacturing,2020-09-18
CUST-00211,56,Male,High School,Employed,Divorced,Tier 1,Healthcare,2020-05-07
CUST-00212,50,Female,Associate,Employed,Married,Tier 2,Finance/Banking,2024-04-27
CUST-00213,18,Female,Bachelor'S,Student,Married,Tier 3,Student,2019-06-08
CUST-00214,74,Female,High School,Self-Employed,Single,Tier 3,Healthcare,2021-06-28
CUST-00215,44,Male,High School,Employed,Married,Tier 1,Software/Tech,2020-04-28
CUST-00216,74,Male,Bachelor'S,Employed,Married,Tier 2,Finance/Banking,2023-08-21
CUST-00217,69,Female,Bachelor'S,Employed,Single,Tier 1,Software/Tech,2021-01-23
CUST-00218,30,Female,High School,Employed,Single,Tier 2,Education,2023-01-07
CUST-00219,58,Male,Bachelor'S,Employed,Married,Tier 3,Education,2023-10-07
CUST-00220,20,Female,Master'S,Student,Married,Tier 2,Student,2018-04-22
CUST-00221,56,Male,Bachelor'S,Employed,Married,Tier 2,Retail/Hospitality,2024-10-07
CUST-00222,23,Male,Master'S,Self-Employed,Married,Tier 3,Software/Tech,2020-07-23
CUST-00223,25,Male,Master'S,Employed,Married,Tier 2,Education,2023-08-06
CUST-00224,44,Male,High School,Employed,Married,Tier 1,Software/Tech,2021-04-17
CUST-00225,26,Female,High School,Employed,Married,Tier 2,Other,2019-07-11
CUST-00226,54,Male,Bachelor'S,Employed,Married,Tier 1,Finance/Banking,2019-04-04
CUST-00227,50,Male,Bachelor'S,Self-Employed,Divorced,Tier 2,Healthcare,2018-02-10
CUST-00228,68,Female,Bachelor'S,Retired,Married,Tier 1,Retired,2018-07-16
CUST-00229,59,Female,Associate,Employed,Married,Tier 1,Finance/Banking,2022-01-11
CUST-00230,61,Female,Bachelor'S,Self-Employed,Married,Tier 1,Healthcare,2022-02-16
CUST-00231,41,Female,High School,Employed,Single,Tier 2,Management/Executive,2024-09-22
CUST-00232,32,Male,Doctorate,Employed,Married,Tier 3,Healthcare,2020-04-15
CUST-00233,71,Female,High School,Retired,Divorced,Tier 1,Retired,2019-07-13
CUST-00234,49,Female,Master'S,Unemployed,Single,Tier 3,Unemployed,2020-03-02
CUST-00235,49,Female,High School,Employed,Married,Tier 2,Finance/Banking,2023-11-24
CUST-00236,41,Male,High School,Employed,Single,Tier 3,Other,2023-11-03
CUST-00237,58,Male,High School,Self-Employed,Married,Tier 3,Software/Tech,2022-05-13
CUST-00238,69,Female,Doctorate,Self-Employed,Married,Tier 1,Retail/Hospitality,2020-03-05
CUST-00239,66,Male,High School,Retired,Married,Tier 3,Retired,2018-10-24
CUST-00240,66,Female,Bachelor'S,Retired,Single,Tier 2,Retired,2018-11-26
CUST-00241,75,Female,Master'S,Retired,Married,Tier 2,Retired,2021-04-09
CUST-00242,69,Female,Bachelor'S,Employed,Single,Tier 2,Healthcare,2024-12-12
CUST-00243,29,Female,Associate,Employed,Married,Tier 1,Trades/Manufacturing,2021-04-15
CUST-00244,56,Female,Doctorate,Employed,Married,Tier 2,Finance/Banking,2019-01-25
CUST-00245,19,Male,Master'S,Employed,Married,Tier 1,Management/Executive,2023-07-02
CUST-00246,20,Female,Bachelor'S,Student,Single,Tier 2,Student,2019-08-06
CUST-00247,66,Female,Bachelor'S,Retired,Married,Tier 2,Retired,2024-04-21
CUST-00248,54,Male,Doctorate,Employed,Married,Tier 2,Healthcare,2024-02-04
CUST-00249,66,Male,Doctorate,Retired,Married,Tier 2,Retired,2024-03-11
CUST-00250,73,Male,Bachelor'S,Retired,Married,Tier 3,Retired,2018-12-08
CUST-00251,34,Female,Master'S,Employed,Single,Tier 3,Finance/Banking,2024-01-08
CUST-00252,66,Male,Associate,Retired,Divorced,Tier 2,Retired,2021-07-17
CUST-00253,19,Female,Associate,Student,Married,Tier 2,Student,2021-09-14
CUST-00254,19,Male,High School,Student,Married,Tier 1,Student,2023-11-27
CUST-00255,45,Male,High School,Self-Employed,Divorced,Tier 3,Healthcare,2024-03-31
CUST-00256,71,Female,Bachelor'S,Retired,Single,Tier 3,Retired,2021-08-01
CUST-00257,40,Male,Bachelor'S,Employed,Married,Tier 1,Finance/Banking,2022-07-27
CUST-00258,54,Female,High School,Self-Employed,Married,Tier 2,Other,2020-05-10
CUST-00259,49,Female,Bachelor'S,Employed,Widowed,Tier 2,Software/Tech,2021-01-05
CUST-00260,50,Female,Associate,Employed,Married,Tier 2,Healthcare,2021-03-15
CUST-00261,18,Male,Doctorate,Employed,Married,Tier 3,Retail/Hospitality,2023-10-20
CUST-00262,36,Female,Master'S,Employed,Single,Tier 1,Healthcare,2024-02-15
CUST-00263,19,Female,Associate,Self-Employed,Single,Tier 3,Education,2024-08-09
CUST-00264,70,Female,Master'S,Employed,Married,Tier 1,Education,2024-08-12
CUST-00265,61,Female,Associate,Self-Employed,Single,Tier 2,Education,2020-05-02
CUST-00266,43,Female,Bachelor'S,Employed,Single,Tier 1,Healthcare,2024-03-17
CUST-00267,49,Female,Doctorate,Self-Employed,Widowed,Tier 3,Software/Tech,2023-01-10
CUST-00268,23,Female,Associate,Employed,Divorced,Tier 1,Education,2024-10-05
CUST-00269,49,Male,Bachelor'S,Employed,Single,Tier 2,Retail/Hospitality,2020-01-27
CUST-00270,72,Male,Associate,Retired,Married,Tier 3,Retired,2019-10-05
CUST-00271,21,Male,Associate,Student,Divorced,Tier 2,Student,2019-05-24
CUST-00272,72,Male,Bachelor'S,Employed,Married,Tier 3,Trades/Manufacturing,2021-02-15
CUST-00273,28,Male,Doctorate,Employed,Single,Tier 2,Education,2018-06-05
CUST-00274,73,Male,Bachelor'S,Employed,Single,Tier 1,Trades/Manufacturing,2024-10-21
CUST-00275,34,Female,Master'S,Employed,Single,Tier 2,Education,2021-02-04
CUST-00276,55,Male,Master'S,Employed,Married,Tier 1,Education,2021-12-11
CUST-00277,41,Female,Associate,Employed,Married,Tier 1,Software/Tech,2019-05-20
CUST-00278,22,Male,Bachelor'S,Employed,Married,Tier 2,Healthcare,2022-01-04
CUST-00279,69,Male,Bachelor'S,Retired,Married,Tier 3,Retired,2023-03-08
CUST-00280,51,Male,Bachelor'S,Employed,Married,Tier 1,Finance/Banking,2022-07-27
CUST-00281,23,Male,High School,Employed,Single,Tier 1,Trades/Manufacturing,2024-03-25
CUST-00282,39,Female,Doctorate,Employed,Single,Tier 3,Healthcare,2023-08-18
CUST-00283,28,Female,Bachelor'S,Employed,Married,Tier 2,Retail/Hospitality,2020-08-19
CUST-00284,65,Male,Bachelor'S,Retired,Married,Tier 2,Retired,2018-10-27
CUST-00285,33,Male,Bachelor'S,Employed,Single,Tier 3,Education,2023-03-12
CUST-00286,50,Male,High School,Employed,Single,Tier 2,Healthcare,2024-07-12
CUST-00287,26,Female,Bachelor'S,Employed,Married,Tier 3,Healthcare,2023-12-20
CUST-00288,23,Female,Master'S,Employed,Single,Tier 2,Education,2023-08-29
CUST-00289,33,Female,Master'S,Employed,Married,Tier 2,Healthcare,2019-11-05
CUST-00290,46,Female,Associate,Employed,Married,Tier 2,Education,2022-06-05
CUST-00291,20,Female,Bachelor'S,Employed,Married,Tier 2,Education,2018-12-11
CUST-00292,37,Male,Bachelor'S,Employed,Single,Tier 2,Software/Tech,2019-10-07
CUST-00293,53,Male,Associate,Employed,Divorced,Tier 1,Software/Tech,2018-12-03
CUST-00294,36,Female,High School,Employed,Single,Tier 1,Healthcare,2021-01-08
CUST-00295,43,Female,Bachelor'S,Employed,Single,Tier 2,Software/Tech,2023-06-13
CUST-00296,20,Female,Bachelor'S,Self-Employed,Single,Tier 2,Other,2022-11-01
CUST-00297,36,Female,High School,Employed,Widowed,Tier 2,Trades/Manufacturing,2022-11-18
CUST-00298,37,Male,High School,Self-Employed,Single,Tier 2,Management/Executive,2019-08-17
CUST-00299,49,Female,High School,Employed,Divorced,Tier 3,Trades/Manufacturing,2024-04-04
CUST-00300,24,Female,Associate,Employed,Single,Tier 2,Software/Tech,2022-07-12
CUST-00301,69,Male,Bachelor'S,Retired,Single,Tier 1,Retired,2023-08-13
CUST-00302,58,Female,Associate,Self-Employed,Married,Tier 1,Software/Tech,2020-02-25
CUST-00303,50,Female,Associate,Employed,Married,Tier 1,Management/Executive,2023-12-04
CUST-00304,57,Male,Master'S,Employed,Married,Tier 3,Trades/Manufacturing,2022-07-04
CUST-00305,56,Male,High School,Employed,Single,Tier 2,Software/Tech,2019-10-09
CUST-00306,35,Male,Bachelor'S,Employed,Divorced,Tier 3,Education,2018-07-22
CUST-00307,57,Female,Doctorate,Unemployed,Single,Tier 1,Unemployed,2019-10-17
CUST-00308,18,Male,Bachelor'S,Employed,Single,Tier 2,Finance/Banking,2022-05-17
CUST-00309,28,Female,Bachelor'S,Employed,Married,Tier 2,Retail/Hospitality,2021-01-06
CUST-00310,45,Female,Bachelor'S,Employed,Single,Tier 3,Software/Tech,2019-06-19
