debt_id,customer_id,credit_card_debt,personal_loan,education_loan,vehicle_loan,mortgage,total_debt,debt_to_income_ratio
DEBT-00063,CUST-00063,720.81,18189.44,0.0,21442.85,0.0,40353.1,0.1572
DEBT-00064,CUST-00064,13311.25,0.0,0.0,12054.16,0.0,25365.41,0.0313
DEBT-00065,CUST-00065,16923.88,10982.01,0.0,0.0,0.0,27905.89,0.0288
DEBT-00066,CUST-00066,0.0,0.0,0.0,0.0,424968.62,424968.62,0.7078
DEBT-00067,CUST-00067,2652.62,0.0,0.0,30365.87,0.0,33018.49,0.1273
DEBT-00068,CUST-00068,1464.4,0.0,0.0,15137.91,120695.13,137297.44,0.2637
DEBT-00069,CUST-00069,2273.33,0.0,0.0,0.0,0.0,2273.33,0.0073
DEBT-00070,CUST-00070,0.0,0.0,0.0,0.0,361125.02,361125.02,1.3096
DEBT-00071,CUST-00071,4017.67,21532.99,0.0,22447.04,0.0,47997.7,0.1487
DEBT-00072,CUST-00072,0.0,0.0,17571.22,0.0,0.0,17571.22,0.0197
DEBT-00073,CUST-00073,0.0,0.0,0.0,23402.03,0.0,23402.03,0.098
DEBT-00074,CUST-00074,0.0,0.0,0.0,0.0,149593.54,149593.54,0.1916
DEBT-00075,CUST-00075,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEBT-00076,CUST-00076,16423.96,0.0,0.0,0.0,391372.36,407796.32,0.5402
DEBT-00077,CUST-00077,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEBT-00078,CUST-00078,1045.57,0.0,18488.97,0.0,0.0,19534.54,0.3031
DEBT-00079,CUST-00079,0.0,20085.05,0.0,0.0,0.0,20085.05,0.1823
DEBT-00080,CUST-00080,5138.77,0.0,0.0,0.0,0.0,5138.77,0.0138
DEBT-00081,CUST-00081,21620.7,16549.65,0.0,0.0,0.0,38170.35,0.0342
DEBT-00082,CUST-00082,541.58,0.0,44008.09,17019.88,0.0,61569.55,0.9637
DEBT-00083,CUST-00083,4273.38,0.0,0.0,24414.16,0.0,28687.54,0.0526
DEBT-00084,CUST-00084,4737.41,0.0,0.0,15515.58,0.0,20252.99,0.0269
DEBT-00085,CUST-00085,13494.24,19730.3,38716.65,0.0,0.0,71941.19,0.1081
DEBT-00086,CUST-00086,2179.32,16997.62,0.0,10205.84,0.0,29382.78,0.1262
DEBT-00087,CUST-00087,1601.97,0.0,0.0,22136.49,203151.32,226889.78,0.6614
DEBT-00088,CUST-00088,7040.59,0.0,0.0,22535.95,407819.47,437396.01,0.4664
DEBT-00089,CUST-00089,5924.17,0.0,17364.72,31696.22,0.0,54985.11,0.161
DEBT-00090,CUST-00090,5827.96,0.0,0.0,0.0,397845.72,403673.68,0.89
DEBT-00091,CUST-00091,2668.53,0.0,44549.88,4134.72,0.0,51353.13,0.206
DEBT-00092,CUST-00092,4993.1,0.0,0.0,0.0,0.0,4993.1,0.0124
DEBT-00093,CUST-00093,0.0,0.0,0.0,0.0,449165.31,449165.31,0.7073
DEBT-00094,CUST-00094,16241.82,0.0,0.0,13395.44,0.0,29637.26,0.0335
DEBT-00095,CUST-00095,10503.96,15722.91,33278.09,32401.84,0.0,91906.8,0.1939
DEBT-00096,CUST-00096,9129.11,0.0,0.0,18620.91,0.0,27750.02,0.0625
DEBT-00097,CUST-00097,1456.29,0.0,0.0,0.0,132402.67,133858.96,0.4183
DEBT-00098,CUST-00098,11385.99,0.0,0.0,6962.07,0.0,18348.06,0.0279
DEBT-00099,CUST-00099,5367.97,13603.17,0.0,34768.69,0.0,53739.83,0.1043
DEBT-00100,CUST-00100,190.17,0.0,0.0,0.0,0.0,190.17,0.0008
DEBT-00101,CUST-00101,3008.26,0.0,0.0,26288.3,0.0,29296.56,0.0722
DEBT-00102,CUST-00102,10410.87,0.0,0.0,31397.6,221732.48,263540.95,0.4337
DEBT-00103,CUST-00103,3578.58,0.0,0.0,0.0,0.0,3578.58,0.0076
DEBT-00104,CUST-00104,1075.41,0.0,0.0,0.0,0.0,1075.41,0.008
DEBT-00105,CUST-00105,8186.89,0.0,0.0,0.0,0.0,8186.89,0.0224
DEBT-00106,CUST-00106,0.0,0.0,0.0,4153.57,0.0,4153.57,0.0195
DEBT-00107,CUST-00107,5148.84,1138.82,0.0,0.0,0.0,6287.66,0.0154
DEBT-00108,CUST-00108,0.0,0.0,0.0,0.0,245896.42,245896.42,0.329
DEBT-00109,CUST-00109,3978.15,0.0,0.0,14457.68,433083.05,451518.88,0.9076
DEBT-00110,CUST-00110,5324.79,0.0,0.0,0.0,0.0,5324.79,0.0122
DEBT-00111,CUST-00111,4526.91,12624.29,0.0,6601.74,99592.37,123345.31,0.4057
DEBT-00112,CUST-00112,3796.11,0.0,0.0,0.0,0.0,3796.11,0.0159
DEBT-00113,CUST-00113,1549.36,0.0,0.0,0.0,0.0,1549.36,0.0027
DEBT-00114,CUST-00114,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEBT-00115,CUST-00115,1581.47,1588.81,0.0,0.0,0.0,3170.28,0.0106
DEBT-00116,CUST-00116,1608.51,0.0,38211.19,6444.93,0.0,46264.63,0.0975
DEBT-00117,CUST-00117,5625.03,19851.23,22639.95,0.0,0.0,48116.21,0.0581
DEBT-00118,CUST-00118,0.0,23096.76,0.0,0.0,0.0,23096.76,0.0208
DEBT-00119,CUST-00119,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEBT-00120,CUST-00120,6477.91,0.0,0.0,0.0,0.0,6477.91,0.0092
DEBT-00121,CUST-00121,6977.06,0.0,0.0,0.0,0.0,6977.06,0.0122
DEBT-00122,CUST-00122,3116.44,0.0,0.0,0.0,0.0,3116.44,0.0109
DEBT-00123,CUST-00123,2394.07,18624.94,0.0,0.0,103549.43,124568.44,0.238
DEBT-00124,CUST-00124,6193.16,0.0,0.0,0.0,0.0,6193.16,0.0131
DEBT-00125,CUST-00125,10384.41,0.0,0.0,24854.74,0.0,35239.15,0.0373
DEBT-00126,CUST-00126,11520.41,23419.68,44350.39,0.0,0.0,79290.48,0.0917
DEBT-00127,CUST-00127,6212.34,0.0,0.0,0.0,0.0,6212.34,0.0133
DEBT-00128,CUST-00128,685.69,0.0,0.0,0.0,197351.39,198037.08,0.4761
DEBT-00129,CUST-00129,887.22,17426.86,0.0,14880.41,0.0,33194.49,0.1444
DEBT-00130,CUST-00130,3208.82,0.0,0.0,21167.33,0.0,24376.15,0.0575
DEBT-00131,CUST-00131,12266.83,0.0,0.0,28879.31,102084.78,143230.92,0.1651
DEBT-00132,CUST-00132,14427.38,3561.79,0.0,0.0,0.0,17989.17,0.0281
DEBT-00133,CUST-00133,0.0,0.0,0.0,30983.39,0.0,30983.39,0.0611
DEBT-00134,CUST-00134,8786.59,5879.62,0.0,6220.86,0.0,20887.07,0.047
DEBT-00135,CUST-00135,0.0,0.0,0.0,0.0,93683.08,93683.08,0.1421
DEBT-00136,CUST-00136,3918.52,0.0,0.0,0.0,0.0,3918.52,0.0124
DEBT-00137,CUST-00137,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEBT-00138,CUST-00138,2866.96,24822.09,0.0,0.0,0.0,27689.05,0.07
DEBT-00139,CUST-00139,0.0,2389.45,0.0,0.0,360265.39,362654.84,1.4212
DEBT-00140,CUST-00140,12118.82,19248.58,0.0,0.0,0.0,31367.4,0.0474
DEBT-00141,CUST-00141,21298.29,7190.58,0.0,0.0,0.0,28488.87,0.025
DEBT-00142,CUST-00142,0.0,0.0,0.0,13192.51,373185.62,386378.13,0.3771
DEBT-00143,CUST-00143,0.0,0.0,0.0,24049.67,0.0,24049.67,0.031
DEBT-00144,CUST-00144,0.0,0.0,0.0,13577.47,0.0,13577.47,0.0171
DEBT-00145,CUST-00145,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEBT-00146,CUST-00146,13438.14,15026.89,0.0,12170.28,85503.65,126138.96,0.2078
DEBT-00147,CUST-00147,17315.48,3662.25,0.0,12658.19,0.0,33635.92,0.0439
DEBT-00148,CUST-00148,10637.53,0.0,0.0,0.0,0.0,10637.53,0.0119
DEBT-00149,CUST-00149,15346.44,0.0,0.0,0.0,297651.23,312997.67,0.3633
DEBT-00150,CUST-00150,0.0,0.0,0.0,11361.53,244968.52,256330.05,0.7348
DEBT-00151,CUST-00151,0.0,0.0,0.0,0.0,432654.16,432654.16,1.6402
DEBT-00152,CUST-00152,2880.41,0.0,0.0,0.0,0.0,2880.41,0.0035
DEBT-00153,CUST-00153,1497.92,2777.03,0.0,0.0,0.0,4274.95,0.0171
DEBT-00154,CUST-00154,15005.62,0.0,0.0,34241.38,0.0,49247.0,0.032
DEBT-00155,CUST-00155,14190.84,0.0,0.0,0.0,140350.36,154541.2,0.1778
DEBT-00156,CUST-00156,0.0,0.0,0.0,0.0,240033.14,240033.14,0.5779
DEBT-00157,CUST-00157,0.0,0.0,0.0,0.0,263576.31,263576.31,0.8178
DEBT-00158,CUST-00158,3100.32,0.0,15498.26,8042.63,0.0,26641.21,0.0594
DEBT-00159,CUST-00159,4393.38,0.0,0.0,6371.9,0.0,10765.28,0.0462
DEBT-00160,CUST-00160,4462.74,10410.61,0.0,0.0,0.0,14873.35,0.0173
DEBT-00161,CUST-00161,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEBT-00162,CUST-00162,8851.46,0.0,0.0,0.0,0.0,8851.46,0.0133
DEBT-00163,CUST-00163,440.88,0.0,0.0,32889.46,247563.39,280893.73,0.7784
DEBT-00164,CUST-00164,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEBT-00165,CUST-00165,4555.71,13867.94,0.0,0.0,0.0,18423.65,0.0628
DEBT-00166,CUST-00166,3227.42,12419.25,0.0,29978.08,0.0,45624.75,0.1712
DEBT-00167,CUST-00167,3701.55,0.0,12078.93,0.0,0.0,15780.48,0.0234
DEBT-00168,CUST-00168,291.84,0.0,0.0,23683.86,447266.14,471241.84,1.6333
DEBT-00169,CUST-00169,6981.46,10440.69,0.0,0.0,302524.34,319946.49,0.4773
DEBT-00170,CUST-00170,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEBT-00171,CUST-00171,17238.45,0.0,0.0,17149.51,0.0,34387.96,0.0314
DEBT-00172,CUST-00172,0.0,0.0,0.0,32514.6,0.0,32514.6,0.081
DEBT-00173,CUST-00173,0.0,0.0,0.0,0.0,195244.68,195244.68,0.4814
DEBT-00174,CUST-00174,16986.58,0.0,0.0,0.0,0.0,16986.58,0.0206
DEBT-00175,CUST-00175,8126.08,11737.71,0.0,14152.81,0.0,34016.6,0.0893
DEBT-00176,CUST-00176,0.0,0.0,0.0,11414.84,0.0,11414.84,0.0135
DEBT-00177,CUST-00177,339.13,20780.61,0.0,0.0,271907.8,293027.54,0.857
DEBT-00178,CUST-00178,698.7,4057.07,0.0,22414.8,0.0,27170.57,0.5569
DEBT-00179,CUST-00179,5085.46,0.0,0.0,0.0,197752.24,202837.7,0.2499
DEBT-00180,CUST-00180,0.0,3320.66,0.0,0.0,0.0,3320.66,0.0051
DEBT-00181,CUST-00181,577.83,0.0,0.0,30102.51,0.0,30680.34,0.1121
DEBT-00182,CUST-00182,10588.6,0.0,0.0,33231.11,0.0,43819.71,0.0786
DEBT-00183,CUST-00183,7491.19,22313.45,0.0,0.0,0.0,29804.64,0.0574
DEBT-00184,CUST-00184,13107.13,21584.39,7705.39,12899.48,0.0,55296.39,0.0598
DEBT-00185,CUST-00185,1430.42,16732.32,0.0,0.0,0.0,18162.74,0.1857
DEBT-00186,CUST-00186,5017.53,7581.63,0.0,0.0,0.0,12599.16,0.0407
DEBT-00187,CUST-00187,2806.84,0.0,0.0,0.0,269682.75,272489.59,0.5587
DEBT-00188,CUST-00188,6533.71,0.0,0.0,0.0,399770.48,406304.19,1.0703
DEBT-00189,CUST-00189,8399.51,12947.95,0.0,28031.04,0.0,49378.5,0.0513
DEBT-00190,CUST-00190,0.0,0.0,0.0,31811.88,0.0,31811.88,0.0789
DEBT-00191,CUST-00191,0.0,0.0,0.0,13561.32,0.0,13561.32,0.0122
DEBT-00192,CUST-00192,3183.72,0.0,30120.25,0.0,0.0,33303.97,0.0614
DEBT-00193,CUST-00193,0.0,8439.33,0.0,7024.51,0.0,15463.84,0.0248
DEBT-00194,CUST-00194,2245.46,0.0,31284.38,0.0,0.0,33529.84,0.3349
DEBT-00195,CUST-00195,3540.73,0.0,0.0,0.0,0.0,3540.73,0.0033
DEBT-00196,CUST-00196,9669.97,0.0,0.0,21650.36,0.0,31320.33,0.0694
DEBT-00197,CUST-00197,0.0,24073.18,0.0,0.0,0.0,24073.18,0.0524
DEBT-00198,CUST-00198,0.0,11723.94,0.0,8128.7,0.0,19852.64,0.0378
DEBT-00199,CUST-00199,0.0,0.0,23556.65,0.0,0.0,23556.65,0.0317
DEBT-00200,CUST-00200,3814.35,11717.07,0.0,0.0,0.0,15531.42,0.0171
DEBT-00201,CUST-00201,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEBT-00202,CUST-00202,3556.57,0.0,0.0,0.0,127324.66,130881.23,0.1436
DEBT-00203,CUST-00203,0.0,0.0,0.0,5425.76,448148.65,453574.41,0.7054
DEBT-00204,CUST-00204,2675.82,0.0,38926.48,0.0,211238.93,252841.23,0.6521
DEBT-00205,CUST-00205,4611.76,0.0,0.0,0.0,0.0,4611.76,0.0187
DEBT-00206,CUST-00206,0.0,0.0,0.0,32116.83,148309.08,180425.91,0.5226
DEBT-00207,CUST-00207,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEBT-00208,CUST-00208,8961.37,8115.56,0.0,0.0,0.0,17076.93,0.0361
DEBT-00209,CUST-00209,2223.85,0.0,0.0,24620.64,166529.39,193373.88,0.2668
DEBT-00210,CUST-00210,10004.25,0.0,0.0,0.0,0.0,10004.25,0.0195
DEBT-00211,CUST-00211,8207.49,0.0,0.0,0.0,0.0,8207.49,0.02
DEBT-00212,CUST-00212,3368.3,0.0,0.0,0.0,138329.69,141697.99,0.2268
DEBT-00213,CUST-00213,2361.43,0.0,0.0,0.0,0.0,2361.43,0.0176
DEBT-00214,CUST-00214,3564.64,6832.56,0.0,0.0,0.0,10397.2,0.0233
DEBT-00215,CUST-00215,7403.32,0.0,0.0,0.0,0.0,7403.32,0.0199
DEBT-00216,CUST-00216,5120.7,0.0,0.0,0.0,0.0,5120.7,0.0068
DEBT-00217,CUST-00217,7829.54,0.0,0.0,0.0,0.0,7829.54,0.0103
DEBT-00218,CUST-00218,0.0,0.0,0.0,21859.44,0.0,21859.44,0.1075
DEBT-00219,CUST-00219,9002.5,18996.02,0.0,0.0,0.0,27998.52,0.0552
DEBT-00220,CUST-00220,1308.33,0.0,8567.54,0.0,0.0,9875.87,0.0634
DEBT-00221,CUST-00221,0.0,0.0,0.0,0.0,211418.41,211418.41,0.3776
DEBT-00222,CUST-00222,10185.01,0.0,10509.69,0.0,0.0,20694.7,0.027
DEBT-00223,CUST-00223,12340.45,5066.26,8032.54,25716.13,0.0,51155.38,0.0862
DEBT-00224,CUST-00224,665.33,0.0,0.0,0.0,0.0,665.33,0.0017
DEBT-00225,CUST-00225,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEBT-00226,CUST-00226,904.6,0.0,0.0,0.0,147636.45,148541.05,0.2345
DEBT-00227,CUST-00227,10479.09,0.0,0.0,0.0,0.0,10479.09,0.0182
DEBT-00228,CUST-00228,8437.44,0.0,0.0,0.0,0.0,8437.44,0.0111
DEBT-00229,CUST-00229,9906.82,0.0,0.0,0.0,0.0,9906.82,0.0183
DEBT-00230,CUST-00230,4364.83,0.0,0.0,0.0,0.0,4364.83,0.0119
DEBT-00231,CUST-00231,6205.05,23714.81,0.0,0.0,0.0,29919.86,0.0901
DEBT-00232,CUST-00232,14636.17,0.0,8295.19,9301.24,0.0,32232.6,0.0333
DEBT-00233,CUST-00233,594.64,0.0,0.0,0.0,0.0,594.64,0.0018
DEBT-00234,CUST-00234,2828.39,3980.76,0.0,21572.03,0.0,28381.18,0.1592
DEBT-00235,CUST-00235,4105.87,0.0,0.0,0.0,0.0,4105.87,0.0097
DEBT-00236,CUST-00236,3223.06,7913.63,0.0,0.0,395782.16,406918.85,1.6689
DEBT-00237,CUST-00237,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEBT-00238,CUST-00238,7261.86,0.0,0.0,0.0,0.0,7261.86,0.0079
DEBT-00239,CUST-00239,0.0,0.0,0.0,8585.97,0.0,8585.97,0.0364
DEBT-00240,CUST-00240,9158.41,0.0,0.0,0.0,0.0,9158.41,0.0154
DEBT-00241,CUST-00241,3217.38,0.0,0.0,0.0,0.0,3217.38,0.0045
DEBT-00242,CUST-00242,988.4,0.0,0.0,0.0,0.0,988.4,0.002
DEBT-00243,CUST-00243,8071.58,1556.16,0.0,0.0,0.0,9627.74,0.0235
DEBT-00244,CUST-00244,7791.7,0.0,0.0,33484.09,0.0,41275.79,0.0339
DEBT-00245,CUST-00245,8672.39,0.0,33460.96,0.0,0.0,42133.35,0.0767
DEBT-00246,CUST-00246,1050.15,0.0,0.0,0.0,0.0,1050.15,0.0116
DEBT-00247,CUST-00247,8047.45,5429.11,0.0,0.0,0.0,13476.56,0.0362
DEBT-00248,CUST-00248,13403.15,0.0,0.0,5596.14,0.0,18999.29,0.0185
DEBT-00249,CUST-00249,21928.8,0.0,0.0,22892.32,0.0,44821.12,0.045
DEBT-00250,CUST-00250,9565.13,0.0,0.0,0.0,0.0,9565.13,0.0152
DEBT-00251,CUST-00251,12848.18,13545.79,0.0,0.0,0.0,26393.97,0.0346
DEBT-00252,CUST-00252,6855.83,6855.56,0.0,0.0,0.0,13711.39,0.0311
DEBT-00253,CUST-00253,0.0,22450.71,0.0,14568.06,0.0,37018.77,0.4153
DEBT-00254,CUST-00254,99.24,0.0,0.0,18668.82,0.0,18768.06,0.2877
DEBT-00255,CUST-00255,0.0,0.0,0.0,19970.16,0.0,19970.16,0.0436
DEBT-00256,CUST-00256,7592.87,0.0,0.0,0.0,0.0,7592.87,0.0175
DEBT-00257,CUST-00257,8793.36,16226.79,0.0,0.0,417044.77,442064.92,0.636
DEBT-00258,CUST-00258,4382.24,0.0,0.0,15031.27,0.0,19413.51,0.0876
DEBT-00259,CUST-00259,6195.27,0.0,0.0,0.0,176008.5,182203.77,0.4094
DEBT-00260,CUST-00260,6324.64,0.0,0.0,23611.11,0.0,29935.75,0.0731
DEBT-00261,CUST-00261,9634.16,21681.21,0.0,0.0,0.0,31315.37,0.0456
DEBT-00262,CUST-00262,7506.87,7611.28,35717.02,0.0,0.0,50835.17,0.1069
DEBT-00263,CUST-00263,891.03,0.0,0.0,0.0,0.0,891.03,0.0036
DEBT-00264,CUST-00264,0.0,19957.42,0.0,23029.35,0.0,42986.77,0.066
DEBT-00265,CUST-00265,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEBT-00266,CUST-00266,0.0,0.0,0.0,5852.65,339332.65,345185.3,0.5078
DEBT-00267,CUST-00267,1662.01,0.0,0.0,0.0,232007.26,233669.27,0.2833
DEBT-00268,CUST-00268,0.0,0.0,0.0,34107.85,0.0,34107.85,0.1371
DEBT-00269,CUST-00269,9003.5,0.0,0.0,0.0,0.0,9003.5,0.0218
DEBT-00270,CUST-00270,10689.49,0.0,0.0,0.0,0.0,10689.49,0.0217
DEBT-00271,CUST-00271,0.0,0.0,0.0,34795.18,0.0,34795.18,0.4796
DEBT-00272,CUST-00272,0.0,0.0,0.0,8199.53,0.0,8199.53,0.0122
DEBT-00273,CUST-00273,10312.96,0.0,0.0,0.0,238119.09,248432.05,0.4893
DEBT-00274,CUST-00274,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEBT-00275,CUST-00275,0.0,0.0,15751.19,0.0,296495.73,312246.92,0.4989
DEBT-00276,CUST-00276,744.34,0.0,0.0,0.0,152937.89,153682.23,0.3242
DEBT-00277,CUST-00277,0.0,9469.21,0.0,0.0,431188.53,440657.74,0.8383
DEBT-00278,CUST-00278,8718.68,0.0,13590.62,0.0,0.0,22309.3,0.0476
DEBT-00279,CUST-00279,6317.01,6210.57,0.0,22355.68,0.0,34883.26,0.0984
DEBT-00280,CUST-00280,7517.17,17899.1,0.0,11041.3,0.0,36457.57,0.0747
DEBT-00281,CUST-00281,0.0,0.0,0.0,26928.55,0.0,26928.55,0.1148
DEBT-00282,CUST-00282,16369.58,0.0,22100.24,31781.58,0.0,70251.4,0.0803
DEBT-00283,CUST-00283,8946.97,0.0,0.0,0.0,0.0,8946.97,0.018
DEBT-00284,CUST-00284,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEBT-00285,CUST-00285,0.0,3229.1,0.0,0.0,0.0,3229.1,0.0056
DEBT-00286,CUST-00286,0.0,23151.52,0.0,0.0,0.0,23151.52,0.0541
DEBT-00287,CUST-00287,6670.69,0.0,0.0,0.0,0.0,6670.69,0.0147
DEBT-00288,CUST-00288,0.0,0.0,0.0,8800.04,0.0,8800.04,0.0213
DEBT-00289,CUST-00289,6945.09,23312.92,0.0,19032.26,0.0,49290.27,0.1043
DEBT-00290,CUST-00290,6106.86,0.0,0.0,0.0,0.0,6106.86,0.016
DEBT-00291,CUST-00291,2909.01,0.0,0.0,10275.82,0.0,13184.83,0.0364
DEBT-00292,CUST-00292,2246.57,21700.76,29966.92,0.0,172554.15,226468.4,0.5527
DEBT-00293,CUST-00293,1362.41,0.0,0.0,0.0,230519.95,231882.36,0.5436
DEBT-00294,CUST-00294,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEBT-00295,CUST-00295,9067.04,0.0,0.0,13944.48,0.0,23011.52,0.0312
DEBT-00296,CUST-00296,0.0,0.0,29169.45,0.0,0.0,29169.45,0.0682
DEBT-00297,CUST-00297,7356.76,0.0,0.0,26943.54,0.0,34300.3,0.0912
DEBT-00298,CUST-00298,8309.19,0.0,0.0,0.0,0.0,8309.19,0.0163
DEBT-00299,CUST-00299,2970.18,0.0,0.0,0.0,0.0,2970.18,0.0062
