year_month,txn_year,txn_month,category,total_transactions,active_transacting_customers,total_amount,avg_transaction_amount,debit_count,credit_count,total_debit_amount,total_credit_amount
2018-06,2018,06,Travel,6,6,2340.18,390.03,6,0,2340.18,0.0
2018-06,2018,06,Utilities,6,6,1123.08,187.18,6,0,1123.08,0.0
2018-07,2018,07,Dining,5,5,523.92,104.78,5,0,523.92,0.0
2018-07,2018,07,Education,3,3,4040.49,1346.83,3,0,4040.49,0.0
2018-07,2018,07,Entertainment,10,10,1219.82,121.98,10,0,1219.82,0.0
2018-07,2018,07,Groceries,4,4,509.27,127.32,4,0,509.27,0.0
2018-07,2018,07,Healthcare,9,9,2771.81,307.98,9,0,2771.81,0.0
2018-07,2018,07,Shopping,8,8,1859.07,232.38,8,0,1859.07,0.0
2018-07,2018,07,Subscription,4,4,74.86,18.71,4,0,74.86,0.0
2018-07,2018,07,Transfer,7,7,7448.9,1064.13,4,3,3614.23,3834.67
2018-07,2018,07,Travel,5,5,2379.49,475.9,5,0,2379.49,0.0
2018-07,2018,07,Utilities,6,6,1263.65,210.61,6,0,1263.65,0.0
2018-08,2018,08,Dining,6,6,548.64,91.44,6,0,548.64,0.0
2018-08,2018,08,Education,5,5,2830.09,566.02,5,0,2830.09,0.0
2018-08,2018,08,Entertainment,5,5,656.16,131.23,5,0,656.16,0.0
2018-08,2018,08,Groceries,9,9,1433.78,159.31,9,0,1433.78,0.0
2018-08,2018,08,Healthcare,9,9,2864.2,318.24,9,0,2864.2,0.0
2018-08,2018,08,Shopping,7,7,1426.73,203.82,7,0,1426.73,0.0
2018-08,2018,08,Subscription,7,7,237.64,33.95,7,0,237.64,0.0
2018-08,2018,08,Transfer,11,11,11560.87,1050.99,7,4,7919.86,3641.01
2018-08,2018,08,Travel,8,8,7243.25,905.41,8,0,7243.25,0.0
2018-08,2018,08,Utilities,7,7,1302.91,186.13,7,0,1302.91,0.0
2018-09,2018,09,Dining,9,9,680.98,75.66,9,0,680.98,0.0
2018-09,2018,09,Education,3,3,3569.36,1189.79,3,0,3569.36,0.0
2018-09,2018,09,Entertainment,5,5,758.17,151.63,5,0,758.17,0.0
2018-09,2018,09,Groceries,7,7,1180.43,168.63,7,0,1180.43,0.0
2018-09,2018,09,Healthcare,14,14,3850.04,275.0,14,0,3850.04,0.0
2018-09,2018,09,Shopping,8,8,1725.91,215.74,8,0,1725.91,0.0
2018-09,2018,09,Subscription,17,17,562.59,33.09,17,0,562.59,0.0
2018-09,2018,09,Transfer,3,3,3661.44,1220.48,2,1,3432.4,229.04
2018-09,2018,09,Travel,4,4,3104.02,776.0,4,0,3104.02,0.0
2018-09,2018,09,Utilities,6,6,895.92,149.32,6,0,895.92,0.0
2018-10,2018,10,Dining,10,9,1011.33,101.13,10,0,1011.33,0.0
2018-10,2018,10,Education,11,11,12438.6,1130.78,11,0,12438.6,0.0
2018-10,2018,10,Entertainment,10,10,1479.36,147.94,10,0,1479.36,0.0
2018-10,2018,10,Groceries,8,8,1235.28,154.41,8,0,1235.28,0.0
2018-10,2018,10,Healthcare,10,10,3027.28,302.73,10,0,3027.28,0.0
2018-10,2018,10,Shopping,11,10,2760.58,250.96,11,0,2760.58,0.0
2018-10,2018,10,Subscription,5,5,164.32,32.86,5,0,164.32,0.0
2018-10,2018,10,Transfer,6,6,9636.25,1606.04,6,0,9636.25,0.0
2018-10,2018,10,Travel,6,6,5111.27,851.88,6,0,5111.27,0.0
2018-10,2018,10,Utilities,10,10,1668.78,166.88,10,0,1668.78,0.0
2018-11,2018,11,Dining,7,7,743.85,106.26,7,0,743.85,0.0
2018-11,2018,11,Education,12,12,12225.09,1018.76,12,0,12225.09,0.0
2018-11,2018,11,Entertainment,7,7,788.71,112.67,7,0,788.71,0.0
2018-11,2018,11,Groceries,12,12,1756.11,146.34,12,0,1756.11,0.0
2018-11,2018,11,Healthcare,5,5,1219.78,243.96,5,0,1219.78,0.0
2018-11,2018,11,Shopping,8,8,1582.45,197.81,8,0,1582.45,0.0
2018-11,2018,11,Subscription,3,3,90.96,30.32,3,0,90.96,0.0
2018-11,2018,11,Transfer,5,5,6589.11,1317.82,4,1,5685.05,904.06
2018-11,2018,11,Travel,9,9,6527.02,725.22,9,0,6527.02,0.0
2018-11,2018,11,Utilities,13,13,2587.97,199.07,13,0,2587.97,0.0
2018-12,2018,12,Dining,8,8,836.78,104.6,8,0,836.78,0.0
2018-12,2018,12,Education,19,19,14920.61,785.3,19,0,14920.61,0.0
2018-12,2018,12,Entertainment,9,9,1285.25,142.81,9,0,1285.25,0.0
2018-12,2018,12,Groceries,8,8,1265.53,158.19,8,0,1265.53,0.0
2018-12,2018,12,Healthcare,7,7,1884.11,269.16,7,0,1884.11,0.0
2018-12,2018,12,Shopping,20,20,4697.38,234.87,20,0,4697.38,0.0
2018-12,2018,12,Subscription,7,7,215.48,30.78,7,0,215.48,0.0
2018-12,2018,12,Transfer,8,8,9678.45,1209.81,5,3,5046.14,4632.31
2018-12,2018,12,Travel,11,10,5688.63,517.15,11,0,5688.63,0.0
2018-12,2018,12,Utilities,14,14,3194.0,228.14,14,0,3194.0,0.0
2019-01,2019,01,Dining,11,11,907.32,82.48,11,0,907.32,0.0
2019-01,2019,01,Education,13,13,10130.83,779.29,13,0,10130.83,0.0
2019-01,2019,01,Entertainment,10,10,1401.36,140.14,10,0,1401.36,0.0
2019-01,2019,01,Groceries,7,7,1393.37,199.05,7,0,1393.37,0.0
2019-01,2019,01,Healthcare,21,21,7377.72,351.32,21,0,7377.72,0.0
2019-01,2019,01,Shopping,10,10,2267.5,226.75,10,0,2267.5,0.0
2019-01,2019,01,Subscription,15,15,450.49,30.03,15,0,450.49,0.0
2019-01,2019,01,Transfer,8,8,8002.22,1000.28,6,2,6095.18,1907.04
2019-01,2019,01,Travel,7,7,4293.88,613.41,7,0,4293.88,0.0
2019-01,2019,01,Utilities,15,15,2667.19,177.81,15,0,2667.19,0.0
2019-02,2019,02,Dining,12,12,1033.2,86.1,12,0,1033.2,0.0
2019-02,2019,02,Education,16,16,15687.54,980.47,16,0,15687.54,0.0
2019-02,2019,02,Entertainment,15,15,1631.97,108.8,15,0,1631.97,0.0
2019-02,2019,02,Groceries,10,10,2085.44,208.54,10,0,2085.44,0.0
2019-02,2019,02,Healthcare,13,13,3852.29,296.33,13,0,3852.29,0.0
2019-02,2019,02,Shopping,9,9,2758.76,306.53,9,0,2758.76,0.0
2019-02,2019,02,Subscription,21,21,637.97,30.38,21,0,637.97,0.0
2019-02,2019,02,Transfer,6,6,8402.81,1400.47,3,3,3029.95,5372.86
2019-02,2019,02,Travel,19,19,11454.93,602.89,19,0,11454.93,0.0
2019-02,2019,02,Utilities,13,13,2330.76,179.29,13,0,2330.76,0.0
2019-03,2019,03,Dining,14,14,1609.64,114.97,14,0,1609.64,0.0
2019-03,2019,03,Education,19,19,20024.21,1053.91,19,0,20024.21,0.0
2019-03,2019,03,Entertainment,13,13,1460.59,112.35,13,0,1460.59,0.0
2019-03,2019,03,Groceries,18,18,2791.25,155.07,18,0,2791.25,0.0
2019-03,2019,03,Healthcare,16,16,4895.09,305.94,16,0,4895.09,0.0
2019-03,2019,03,Shopping,12,12,2257.58,188.13,12,0,2257.58,0.0
2019-03,2019,03,Subscription,15,15,451.08,30.07,15,0,451.08,0.0
2019-03,2019,03,Transfer,13,13,16247.47,1249.81,9,4,10748.07,5499.4
2019-03,2019,03,Travel,15,15,10394.3,692.95,15,0,10394.3,0.0
2019-03,2019,03,Utilities,12,12,2224.7,185.39,12,0,2224.7,0.0
2019-04,2019,04,Dining,19,19,1741.14,91.64,19,0,1741.14,0.0
2019-04,2019,04,Education,13,13,11998.92,922.99,13,0,11998.92,0.0
2019-04,2019,04,Entertainment,11,11,1409.51,128.14,11,0,1409.51,0.0
2019-04,2019,04,Groceries,15,15,1993.92,132.93,15,0,1993.92,0.0
2019-04,2019,04,Healthcare,17,16,4772.3,280.72,17,0,4772.3,0.0
2019-04,2019,04,Shopping,20,20,4310.78,215.54,20,0,4310.78,0.0
2019-04,2019,04,Subscription,10,10,269.83,26.98,10,0,269.83,0.0
2019-04,2019,04,Transfer,14,13,13644.25,974.59,9,5,8328.68,5315.57
2019-04,2019,04,Travel,11,11,7506.86,682.44,11,0,7506.86,0.0
2019-04,2019,04,Utilities,21,21,4230.85,201.47,21,0,4230.85,0.0
2019-05,2019,05,Dining,16,16,1697.66,106.1,16,0,1697.66,0.0
2019-05,2019,05,Education,21,20,19682.17,937.25,21,0,19682.17,0.0
2019-05,2019,05,Entertainment,19,19,2270.2,119.48,19,0,2270.2,0.0
2019-05,2019,05,Groceries,20,20,3179.3,158.97,20,0,3179.3,0.0
2019-05,2019,05,Healthcare,11,11,3540.48,321.86,11,0,3540.48,0.0
2019-05,2019,05,Shopping,27,27,5893.21,218.27,27,0,5893.21,0.0
2019-05,2019,05,Subscription,12,12,433.43,36.12,12,0,433.43,0.0
2019-05,2019,05,Transfer,25,25,28090.12,1123.6,17,8,15849.97,12240.15
2019-05,2019,05,Travel,16,16,14741.44,921.34,16,0,14741.44,0.0
2019-05,2019,05,Utilities,14,14,2916.1,208.29,14,0,2916.1,0.0
2019-06,2019,06,Dining,23,23,2673.78,116.25,23,0,2673.78,0.0
2019-06,2019,06,Education,15,15,12468.32,831.22,15,0,12468.32,0.0
2019-06,2019,06,Entertainment,17,17,2548.88,149.93,17,0,2548.88,0.0
2019-06,2019,06,Groceries,13,13,2070.81,159.29,13,0,2070.81,0.0
2019-06,2019,06,Healthcare,17,17,4845.52,285.03,17,0,4845.52,0.0
2019-06,2019,06,Shopping,20,20,5018.56,250.93,20,0,5018.56,0.0
2019-06,2019,06,Subscription,23,23,673.75,29.29,23,0,673.75,0.0
2019-06,2019,06,Transfer,20,20,24454.99,1222.75,13,7,16161.99,8293.0
2019-06,2019,06,Travel,18,18,12486.23,693.68,18,0,12486.23,0.0
2019-06,2019,06,Utilities,13,13,2867.9,220.61,13,0,2867.9,0.0
2019-07,2019,07,Dining,16,16,1228.62,76.79,16,0,1228.62,0.0
2019-07,2019,07,Education,21,21,13450.1,640.48,21,0,13450.1,0.0
2019-07,2019,07,Entertainment,20,20,2388.75,119.44,20,0,2388.75,0.0
2019-07,2019,07,Groceries,21,21,2912.62,138.7,21,0,2912.62,0.0
2019-07,2019,07,Healthcare,22,22,6123.49,278.34,22,0,6123.49,0.0
2019-07,2019,07,Shopping,15,15,3196.12,213.07,15,0,3196.12,0.0
2019-07,2019,07,Subscription,14,14,391.31,27.95,14,0,391.31,0.0
2019-07,2019,07,Transfer,13,13,19512.43,1500.96,10,3,16117.12,3395.31
2019-07,2019,07,Travel,26,26,15281.92,587.77,26,0,15281.92,0.0
2019-07,2019,07,Utilities,27,27,4901.05,181.52,27,0,4901.05,0.0
2019-08,2019,08,Dining,24,24,2265.45,94.39,24,0,2265.45,0.0
2019-08,2019,08,Education,20,20,18631.18,931.56,20,0,18631.18,0.0
2019-08,2019,08,Entertainment,13,13,1805.8,138.91,13,0,1805.8,0.0
2019-08,2019,08,Groceries,14,14,1721.26,122.95,14,0,1721.26,0.0
2019-08,2019,08,Healthcare,13,13,4597.93,353.69,13,0,4597.93,0.0
2019-08,2019,08,Shopping,19,19,4011.7,211.14,19,0,4011.7,0.0
2019-08,2019,08,Subscription,19,19,485.47,25.55,19,0,485.47,0.0
2019-08,2019,08,Transfer,14,14,19310.43,1379.32,10,4,15194.65,4115.78
2019-08,2019,08,Travel,20,20,14016.5,700.83,20,0,14016.5,0.0
2019-08,2019,08,Utilities,12,12,2438.57,203.21,12,0,2438.57,0.0
2019-09,2019,09,Dining,17,17,1279.06,75.24,17,0,1279.06,0.0
2019-09,2019,09,Education,25,25,19944.21,797.77,25,0,19944.21,0.0
2019-09,2019,09,Entertainment,21,21,2873.4,136.83,21,0,2873.4,0.0
2019-09,2019,09,Groceries,19,19,2778.07,146.21,19,0,2778.07,0.0
2019-09,2019,09,Healthcare,32,32,9325.2,291.41,32,0,9325.2,0.0
2019-09,2019,09,Shopping,20,20,5384.5,269.23,20,0,5384.5,0.0
2019-09,2019,09,Subscription,13,13,391.05,30.08,13,0,391.05,0.0
2019-09,2019,09,Transfer,21,21,25429.03,1210.91,15,6,19521.56,5907.47
2019-09,2019,09,Travel,22,22,14109.71,641.35,22,0,14109.71,0.0
2019-09,2019,09,Utilities,21,21,3470.9,165.28,21,0,3470.9,0.0
2019-10,2019,10,Dining,19,19,1398.43,73.6,19,0,1398.43,0.0
2019-10,2019,10,Education,19,19,15473.93,814.42,19,0,15473.93,0.0
2019-10,2019,10,Entertainment,21,21,2402.56,114.41,21,0,2402.56,0.0
2019-10,2019,10,Groceries,20,20,2804.56,140.23,20,0,2804.56,0.0
2019-10,2019,10,Healthcare,28,28,6912.69,246.88,28,0,6912.69,0.0
2019-10,2019,10,Shopping,19,19,5215.31,274.49,19,0,5215.31,0.0
2019-10,2019,10,Subscription,15,15,474.95,31.66,15,0,474.95,0.0
2019-10,2019,10,Transfer,24,24,32522.88,1355.12,19,5,28352.63,4170.25
2019-10,2019,10,Travel,17,17,12070.44,710.03,17,0,12070.44,0.0
2019-10,2019,10,Utilities,29,29,5543.03,191.14,29,0,5543.03,0.0
2019-11,2019,11,Dining,25,25,2297.65,91.91,25,0,2297.65,0.0
2019-11,2019,11,Education,19,19,13788.74,725.72,19,0,13788.74,0.0
2019-11,2019,11,Entertainment,23,23,2244.03,97.57,23,0,2244.03,0.0
2019-11,2019,11,Groceries,28,28,3935.02,140.54,28,0,3935.02,0.0
2019-11,2019,11,Healthcare,23,23,7449.97,323.91,23,0,7449.97,0.0
2019-11,2019,11,Shopping,24,24,6675.52,278.15,24,0,6675.52,0.0
2019-11,2019,11,Subscription,24,24,832.08,34.67,24,0,832.08,0.0
2019-11,2019,11,Transfer,25,25,30753.33,1230.13,16,9,17084.61,13668.72
2019-11,2019,11,Travel,21,21,12941.29,616.25,21,0,12941.29,0.0
2019-11,2019,11,Utilities,27,27,5284.53,195.72,27,0,5284.53,0.0
2019-12,2019,12,Dining,20,20,1626.44,81.32,20,0,1626.44,0.0
2019-12,2019,12,Education,25,24,21331.87,853.27,25,0,21331.87,0.0
2019-12,2019,12,Entertainment,29,29,2947.51,101.64,29,0,2947.51,0.0
2019-12,2019,12,Groceries,19,19,2738.58,144.14,19,0,2738.58,0.0
2019-12,2019,12,Healthcare,31,31,9734.61,314.02,31,0,9734.61,0.0
2019-12,2019,12,Shopping,17,17,4241.47,249.5,17,0,4241.47,0.0
2019-12,2019,12,Subscription,32,32,942.48,29.45,32,0,942.48,0.0
2019-12,2019,12,Transfer,26,26,32845.81,1263.3,21,5,25729.94,7115.87
2019-12,2019,12,Travel,27,27,19306.16,715.04,27,0,19306.16,0.0
2019-12,2019,12,Utilities,27,27,4418.85,163.66,27,0,4418.85,0.0
2020-01,2020,01,Dining,25,25,2236.82,89.47,25,0,2236.82,0.0
2020-01,2020,01,Education,20,20,16581.64,829.08,20,0,16581.64,0.0
2020-01,2020,01,Entertainment,22,22,2512.15,114.19,22,0,2512.15,0.0
2020-01,2020,01,Groceries,24,24,3951.98,164.67,24,0,3951.98,0.0
2020-01,2020,01,Healthcare,31,31,9550.34,308.08,31,0,9550.34,0.0
2020-01,2020,01,Shopping,33,33,9198.4,278.74,33,0,9198.4,0.0
2020-01,2020,01,Subscription,31,31,858.74,27.7,31,0,858.74,0.0
2020-01,2020,01,Transfer,25,25,23061.18,922.45,19,6,18002.78,5058.4
2020-01,2020,01,Travel,30,30,24456.8,815.23,30,0,24456.8,0.0
2020-01,2020,01,Utilities,23,23,4146.63,180.29,23,0,4146.63,0.0
2020-02,2020,02,Dining,26,26,2250.39,86.55,26,0,2250.39,0.0
2020-02,2020,02,Education,36,36,28442.68,790.07,36,0,28442.68,0.0
2020-02,2020,02,Entertainment,28,28,3601.73,128.63,28,0,3601.73,0.0
2020-02,2020,02,Groceries,22,22,3300.92,150.04,22,0,3300.92,0.0
2020-02,2020,02,Healthcare,32,32,9839.0,307.47,32,0,9839.0,0.0
2020-02,2020,02,Shopping,24,24,5722.59,238.44,24,0,5722.59,0.0
2020-02,2020,02,Subscription,27,26,756.11,28.0,27,0,756.11,0.0
2020-02,2020,02,Transfer,25,25,26671.03,1066.84,17,8,18076.66,8594.37
2020-02,2020,02,Travel,17,17,14436.6,849.21,17,0,14436.6,0.0
2020-02,2020,02,Utilities,25,25,4875.8,195.03,25,0,4875.8,0.0
2020-03,2020,03,Dining,27,27,2577.04,95.45,27,0,2577.04,0.0
2020-03,2020,03,Education,42,41,34612.29,824.1,42,0,34612.29,0.0
2020-03,2020,03,Entertainment,32,32,4409.73,137.8,32,0,4409.73,0.0
2020-03,2020,03,Groceries,23,23,4070.07,176.96,23,0,4070.07,0.0
2020-03,2020,03,Healthcare,22,22,9236.35,419.83,22,0,9236.35,0.0
2020-03,2020,03,Shopping,30,30,7051.53,235.05,30,0,7051.53,0.0
2020-03,2020,03,Subscription,25,25,867.08,34.68,25,0,867.08,0.0
2020-03,2020,03,Transfer,27,27,27467.89,1017.33,20,7,19535.63,7932.26
2020-03,2020,03,Travel,46,46,33736.86,733.41,46,0,33736.86,0.0
2020-03,2020,03,Utilities,26,26,5227.41,201.05,26,0,5227.41,0.0
2020-04,2020,04,Dining,26,26,2486.63,95.64,26,0,2486.63,0.0
2020-04,2020,04,Education,28,28,23996.63,857.02,28,0,23996.63,0.0
2020-04,2020,04,Entertainment,40,40,5235.89,130.9,40,0,5235.89,0.0
2020-04,2020,04,Groceries,40,40,6329.63,158.24,40,0,6329.63,0.0
2020-04,2020,04,Healthcare,36,36,11601.74,322.27,36,0,11601.74,0.0
2020-04,2020,04,Shopping,28,28,7015.09,250.54,28,0,7015.09,0.0
2020-04,2020,04,Subscription,33,32,1031.45,31.26,33,0,1031.45,0.0
2020-04,2020,04,Transfer,27,27,31217.07,1156.19,21,6,25772.79,5444.28
2020-04,2020,04,Travel,26,26,19531.74,751.22,26,0,19531.74,0.0
2020-04,2020,04,Utilities,33,33,5746.12,174.12,33,0,5746.12,0.0
2020-05,2020,05,Dining,46,45,4808.55,104.53,46,0,4808.55,0.0
2020-05,2020,05,Education,29,29,26854.58,926.02,29,0,26854.58,0.0
2020-05,2020,05,Entertainment,27,27,3007.04,111.37,27,0,3007.04,0.0
2020-05,2020,05,Groceries,32,31,5060.3,158.13,32,0,5060.3,0.0
2020-05,2020,05,Healthcare,34,34,10247.38,301.39,34,0,10247.38,0.0
2020-05,2020,05,Shopping,44,44,9930.12,225.68,44,0,9930.12,0.0
2020-05,2020,05,Subscription,30,30,906.23,30.21,30,0,906.23,0.0
2020-05,2020,05,Transfer,26,26,28824.07,1108.62,17,9,19580.6,9243.47
2020-05,2020,05,Travel,36,36,26168.56,726.9,36,0,26168.56,0.0
2020-05,2020,05,Utilities,34,34,7028.22,206.71,34,0,7028.22,0.0
2020-06,2020,06,Dining,33,33,2664.34,80.74,33,0,2664.34,0.0
2020-06,2020,06,Education,30,30,19034.64,634.49,30,0,19034.64,0.0
2020-06,2020,06,Entertainment,36,36,4656.06,129.34,36,0,4656.06,0.0
2020-06,2020,06,Groceries,21,21,3202.94,152.52,21,0,3202.94,0.0
2020-06,2020,06,Healthcare,30,30,9345.08,311.5,30,0,9345.08,0.0
2020-06,2020,06,Shopping,34,34,8047.8,236.7,34,0,8047.8,0.0
2020-06,2020,06,Subscription,33,32,1063.08,32.21,33,0,1063.08,0.0
2020-06,2020,06,Transfer,32,32,36435.42,1138.61,21,11,22849.43,13585.99
2020-06,2020,06,Travel,27,27,21678.15,802.89,27,0,21678.15,0.0
2020-06,2020,06,Utilities,40,40,6591.88,164.8,40,0,6591.88,0.0
2020-07,2020,07,Dining,28,28,2573.48,91.91,28,0,2573.48,0.0
2020-07,2020,07,Education,33,33,28732.92,870.69,33,0,28732.92,0.0
2020-07,2020,07,Entertainment,35,35,4257.79,121.65,35,0,4257.79,0.0
2020-07,2020,07,Groceries,37,37,5965.38,161.23,37,0,5965.38,0.0
2020-07,2020,07,Healthcare,35,35,10207.1,291.63,35,0,10207.1,0.0
2020-07,2020,07,Shopping,38,38,8198.24,215.74,38,0,8198.24,0.0
2020-07,2020,07,Subscription,37,36,1092.66,29.53,37,0,1092.66,0.0
2020-07,2020,07,Transfer,35,35,41306.23,1180.18,28,7,35112.71,6193.52
2020-07,2020,07,Travel,34,34,24450.32,719.13,34,0,24450.32,0.0
2020-07,2020,07,Utilities,41,40,6853.77,167.17,41,0,6853.77,0.0
2020-08,2020,08,Dining,39,39,3725.11,95.52,39,0,3725.11,0.0
2020-08,2020,08,Education,33,33,30067.07,911.12,33,0,30067.07,0.0
2020-08,2020,08,Entertainment,47,47,5304.65,112.86,47,0,5304.65,0.0
2020-08,2020,08,Groceries,40,39,6322.58,158.06,40,0,6322.58,0.0
2020-08,2020,08,Healthcare,29,29,8614.36,297.05,29,0,8614.36,0.0
2020-08,2020,08,Shopping,31,31,7097.12,228.94,31,0,7097.12,0.0
2020-08,2020,08,Subscription,36,36,1030.84,28.63,36,0,1030.84,0.0
2020-08,2020,08,Transfer,36,36,40279.71,1118.88,22,14,25393.88,14885.83
2020-08,2020,08,Travel,49,49,37827.99,772.0,49,0,37827.99,0.0
2020-08,2020,08,Utilities,45,45,8067.92,179.29,45,0,8067.92,0.0
2020-09,2020,09,Dining,39,39,3269.92,83.84,39,0,3269.92,0.0
2020-09,2020,09,Education,42,42,37293.26,887.93,42,0,37293.26,0.0
2020-09,2020,09,Entertainment,39,39,4555.75,116.81,39,0,4555.75,0.0
2020-09,2020,09,Groceries,47,47,7042.05,149.83,47,0,7042.05,0.0
2020-09,2020,09,Healthcare,29,28,8416.64,290.23,29,0,8416.64,0.0
2020-09,2020,09,Shopping,33,33,8202.61,248.56,33,0,8202.61,0.0
2020-09,2020,09,Subscription,38,38,1219.66,32.1,38,0,1219.66,0.0
2020-09,2020,09,Transfer,29,29,29811.14,1027.97,20,9,23122.51,6688.63
2020-09,2020,09,Travel,37,37,25194.14,680.92,37,0,25194.14,0.0
2020-09,2020,09,Utilities,42,42,8172.48,194.58,42,0,8172.48,0.0
2020-10,2020,10,Dining,43,43,4456.22,103.63,43,0,4456.22,0.0
2020-10,2020,10,Education,37,37,37723.39,1019.55,37,0,37723.39,0.0
2020-10,2020,10,Entertainment,31,31,3579.15,115.46,31,0,3579.15,0.0
2020-10,2020,10,Groceries,28,28,3954.35,141.23,28,0,3954.35,0.0
2020-10,2020,10,Healthcare,34,34,10576.1,311.06,34,0,10576.1,0.0
2020-10,2020,10,Shopping,31,31,7737.47,249.6,31,0,7737.47,0.0
2020-10,2020,10,Subscription,26,26,871.01,33.5,26,0,871.01,0.0
2020-10,2020,10,Transfer,30,29,36224.05,1207.47,22,8,27618.65,8605.4
2020-10,2020,10,Travel,36,36,24036.16,667.67,36,0,24036.16,0.0
2020-10,2020,10,Utilities,41,41,7780.44,189.77,41,0,7780.44,0.0
2020-11,2020,11,Dining,38,38,3673.66,96.68,38,0,3673.66,0.0
2020-11,2020,11,Education,43,43,39610.08,921.16,43,0,39610.08,0.0
2020-11,2020,11,Entertainment,31,31,3402.46,109.76,31,0,3402.46,0.0
2020-11,2020,11,Groceries,33,33,5708.13,172.97,33,0,5708.13,0.0
2020-11,2020,11,Healthcare,38,38,11188.18,294.43,38,0,11188.18,0.0
2020-11,2020,11,Shopping,35,35,8254.0,235.83,35,0,8254.0,0.0
2020-11,2020,11,Subscription,34,34,1043.56,30.69,34,0,1043.56,0.0
2020-11,2020,11,Transfer,43,43,51556.37,1198.99,30,13,34957.49,16598.88
2020-11,2020,11,Travel,41,41,26568.46,648.01,41,0,26568.46,0.0
2020-11,2020,11,Utilities,45,45,7702.97,171.18,45,0,7702.97,0.0
2020-12,2020,12,Dining,41,41,3775.48,92.08,41,0,3775.48,0.0
