customer_id,age,age_group,gender,education,employment_status,marital_status,city_tier,occupation,customer_since,customer_tenure_years,income_id,monthly_income,annual_income,income_source,income_stability,income_band,expense_id,housing_expense,food_expense,transportation_expense,healthcare_expense,entertainment_expense,utilities_expense,other_expense,total_monthly_expense,expense_to_income_ratio,disposable_income,savings_id,monthly_savings,savings_balance,savings_rate,emergency_fund_status,net_savings_capacity,savings_behavior_tier,debt_id,credit_card_debt,personal_loan,education_loan,vehicle_loan,mortgage,total_debt,debt_to_income_ratio,credit_id,credit_score,payment_behavior,missed_payments,credit_utilization,credit_risk_category,debt_risk_tier,total_transactions,total_transaction_amount,avg_transaction_amount,last_transaction_date,total_products,active_products,customer_segment
CUST-00011,40,35-49,Male,High School,Employed,Married,Tier 1,Finance/Banking,2021-10-22,4.19,INC-00011,5286.31,63435.72,Salary,High,Middle ($2.5k-$6k),EXP-00011,2108.53,948.03,513.29,213.03,260.06,300.13,261.98,4605.05,0.8711,681.26,SAV-00011,442.19,16937.69,0.0836,Partially Funded,239.07,Moderate Saver,DEBT-00011,800.41,0.0,0.0,7136.62,248355.94,256292.97,0.5818,CRED-00011,618,Occasional Late,2,0.84,High Risk,Critical Risk,4,1288.47,322.12,2025-08-29 00:00:00,1,1,Debt-Burdened
CUST-00012,28,25-34,Male,Bachelor'S,Employed,Married,Tier 2,Trades/Manufacturing,2020-05-06,5.65,INC-00012,4687.13,56245.56,Salary,High,Middle ($2.5k-$6k),EXP-00012,1367.72,724.55,355.21,216.67,311.12,311.63,156.65,3443.55,0.7347,1243.58,SAV-00012,827.06,55982.17,0.1765,Fully Funded,416.52,Healthy Saver,DEBT-00012,6244.89,0.0,12395.33,26067.24,196557.12,241264.58,0.6177,CRED-00012,600,Occasional Late,2,0.63,High Risk,Critical Risk,3,2110.75,703.58,2024-12-13 00:00:00,2,2,Debt-Burdened
CUST-00013,28,25-34,Male,High School,Self-Employed,Married,Tier 3,Retail/Hospitality,2021-07-21,4.45,INC-00013,4043.62,48523.44,Freelance,Medium,Middle ($2.5k-$6k),EXP-00013,881.27,515.11,404.61,212.27,386.56,267.01,103.75,2770.58,0.6852,1273.04,SAV-00013,575.95,27618.88,0.1424,Fully Funded,697.09,Moderate Saver,DEBT-00013,5915.61,0.0,0.0,0.0,0.0,5915.61,0.0176,CRED-00013,610,Frequently Late,4,0.69,High Risk,Critical Risk,5,980.57,196.11,2025-09-23 00:00:00,2,2,Credit-Risk Customers
CUST-00014,41,35-49,Female,High School,Employed,Married,Tier 2,Healthcare,2024-02-13,1.88,INC-00014,3088.99,37067.88,Salary,Medium,Middle ($2.5k-$6k),EXP-00014,770.17,513.69,229.34,191.05,305.86,206.07,100.96,2317.14,0.7501,771.85,SAV-00014,377.08,6156.15,0.1221,Low,394.77,Moderate Saver,DEBT-00014,2554.34,0.0,0.0,33074.96,162817.41,198446.71,0.7709,CRED-00014,556,Default Risk,8,0.84,Very High Risk,Critical Risk,6,2658.59,443.1,2025-10-17 00:00:00,3,2,Debt-Burdened
CUST-00015,70,65+,Male,High School,Employed,Single,Tier 2,Healthcare,2018-03-28,7.76,INC-00015,3761.81,45141.72,Salary,High,Middle ($2.5k-$6k),EXP-00015,911.77,560.58,225.51,243.69,272.77,227.13,103.29,2544.74,0.6765,1217.07,SAV-00015,852.12,86146.39,0.2265,Fully Funded,364.95,Excellent Saver,DEBT-00015,2276.5,12974.55,0.0,0.0,0.0,15251.05,0.0487,CRED-00015,788,On-Time,0,0.21,Low Risk,Low Risk,3,709.4,236.47,2023-03-25 00:00:00,1,1,Disciplined Savers
CUST-00016,53,50-64,Male,Master'S,Self-Employed,Married,Tier 1,Other,2023-08-08,2.4,INC-00016,4188.94,50267.28,Business,Low,Middle ($2.5k-$6k),EXP-00016,1345.68,721.25,404.58,253.39,151.44,247.65,228.85,3352.84,0.8004,836.1,SAV-00016,621.6,16265.47,0.1484,Partially Funded,214.5,Moderate Saver,DEBT-00016,5862.68,0.0,0.0,33813.77,199402.3,239078.75,0.6849,CRED-00016,562,Default Risk,8,0.96,Very High Risk,Critical Risk,4,715.7,178.92,2025-05-16 00:00:00,1,1,Debt-Burdened
CUST-00017,57,50-64,Female,Bachelor'S,Self-Employed,Married,Tier 2,Other,2022-02-20,3.86,INC-00017,7875.38,94504.56,Business,Low,Upper-Middle ($6k-$10k),EXP-00017,2004.54,1057.06,645.76,281.01,661.58,465.68,339.34,5454.97,0.6927,2420.41,SAV-00017,1177.92,68880.79,0.1496,Fully Funded,1242.49,Moderate Saver,DEBT-00017,0.0,0.0,0.0,23641.06,0.0,23641.06,0.036,CRED-00017,671,On-Time,0,0.35,Medium Risk,Moderate Risk,7,1905.14,272.16,2025-03-01 00:00:00,3,2,Emerging Customers
CUST-00018,41,35-49,Female,Bachelor'S,Self-Employed,Married,Tier 2,Retail/Hospitality,2020-04-12,5.72,INC-00018,5927.56,71130.72,Business,Low,Middle ($2.5k-$6k),EXP-00018,1862.62,1054.54,443.38,380.26,256.85,339.05,126.86,4463.56,0.753,1464.0,SAV-00018,1224.86,103007.74,0.2066,Fully Funded,239.14,Excellent Saver,DEBT-00018,3944.85,0.0,0.0,34037.64,0.0,37982.49,0.0769,CRED-00018,693,On-Time,1,0.25,Medium Risk,High Risk,6,1659.86,276.64,2025-11-25 00:00:00,2,2,Disciplined Savers
CUST-00019,20,18-24,Female,Bachelor'S,Student,Single,Tier 2,Student,2022-01-31,3.92,INC-00019,1615.33,19383.96,Family,Low,Low (<$2.5k),EXP-00019,386.78,286.21,124.58,57.26,61.21,102.42,89.57,1108.03,0.6859,507.3,SAV-00019,395.57,18169.24,0.2449,Fully Funded,111.73,Excellent Saver,DEBT-00019,312.48,24854.78,13971.03,0.0,0.0,39138.29,0.2908,CRED-00019,673,On-Time,1,0.44,Medium Risk,High Risk,5,448.06,89.61,2024-12-24 00:00:00,1,1,Disciplined Savers
CUST-00020,39,35-49,Female,Associate,Unemployed,Single,Tier 2,Unemployed,2024-01-26,1.93,INC-00020,1005.33,12063.96,Government Support,Low,Low (<$2.5k),EXP-00020,301.74,166.23,78.78,55.16,104.76,63.35,38.96,808.98,0.8047,196.35,SAV-00020,143.66,5117.27,0.1429,Fully Funded,52.69,Moderate Saver,DEBT-00020,518.87,0.0,0.0,26140.04,0.0,26658.91,0.3182,CRED-00020,619,Frequently Late,1,0.73,High Risk,High Risk,5,2335.43,467.09,2025-06-08 00:00:00,1,1,Emerging Customers
CUST-00021,70,65+,Male,Bachelor'S,Employed,Married,Tier 3,Finance/Banking,2023-01-21,2.94,INC-00021,6637.34,79648.08,Salary,High,Upper-Middle ($6k-$10k),EXP-00021,1414.09,1079.14,590.38,302.86,438.68,414.14,198.4,4437.69,0.6686,2199.65,SAV-00021,1581.87,40686.66,0.2383,Fully Funded,617.78,Excellent Saver,DEBT-00021,0.0,0.0,0.0,31643.18,0.0,31643.18,0.0572,CRED-00021,719,Occasional Late,1,0.38,Medium Risk,High Risk,2,374.72,187.36,2023-04-13 00:00:00,3,3,Emerging Customers
CUST-00022,19,18-24,Female,Bachelor'S,Student,Divorced,Tier 2,Student,2022-01-06,3.98,INC-00022,1051.73,12620.76,Family,Low,Low (<$2.5k),EXP-00022,271.03,180.59,69.89,39.07,76.81,71.85,41.05,750.29,0.7134,301.44,SAV-00022,232.78,9053.82,0.2213,Fully Funded,68.66,Excellent Saver,DEBT-00022,1065.76,0.0,0.0,23359.56,0.0,24425.32,0.2787,CRED-00022,708,On-Time,2,0.43,Medium Risk,High Risk,3,516.56,172.19,2025-11-07 00:00:00,1,1,Disciplined Savers
CUST-00023,41,35-49,Male,High School,Unemployed,Single,Tier 1,Unemployed,2020-12-04,5.07,INC-00023,1313.08,15756.96,Government Support,Low,Low (<$2.5k),EXP-00023,496.06,227.46,89.55,48.92,77.43,77.36,39.28,1056.06,0.8043,257.02,SAV-00023,110.85,8458.24,0.0844,Fully Funded,146.17,Moderate Saver,DEBT-00023,1715.53,0.0,0.0,0.0,0.0,1715.53,0.0157,CRED-00023,714,On-Time,0,0.23,Medium Risk,Moderate Risk,4,640.48,160.12,2025-01-09 00:00:00,2,2,Emerging Customers
CUST-00024,61,50-64,Male,Bachelor'S,Employed,Married,Tier 1,Healthcare,2021-09-08,4.31,INC-00024,8356.08,100272.96,Salary,High,Upper-Middle ($6k-$10k),EXP-00024,3333.73,1221.62,576.12,367.12,819.55,422.03,404.39,7144.56,0.855,1211.52,SAV-00024,764.28,46944.82,0.0915,Fully Funded,447.24,Moderate Saver,DEBT-00024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CRED-00024,653,Occasional Late,2,0.69,High Risk,High Risk,4,3069.36,767.34,2024-01-27 00:00:00,1,1,High-Income High-Spenders
CUST-00025,47,35-49,Male,High School,Employed,Single,Tier 1,Other,2023-08-07,2.4,INC-00025,3173.33,38079.96,Salary,High,Middle ($2.5k-$6k),EXP-00025,990.48,383.2,269.88,131.24,195.25,225.31,167.39,2362.75,0.7446,810.58,SAV-00025,519.58,11649.07,0.1637,Partially Funded,291.0,Healthy Saver,DEBT-00025,3166.84,0.0,0.0,0.0,292257.79,295424.63,1.1172,CRED-00025,516,Default Risk,6,0.85,Very High Risk,Critical Risk,5,1835.64,367.13,2025-12-19 00:00:00,3,3,Debt-Burdened
CUST-00026,55,50-64,Female,High School,Employed,Single,Tier 2,Finance/Banking,2023-08-07,2.4,INC-00026,4400.35,52804.2,Salary,High,Middle ($2.5k-$6k),EXP-00026,1186.37,669.94,253.46,134.98,267.73,282.99,102.82,2898.29,0.6586,1502.06,SAV-00026,1041.98,22428.05,0.2368,Fully Funded,460.08,Excellent Saver,DEBT-00026,5740.46,0.0,0.0,0.0,128857.53,134597.99,0.3671,CRED-00026,647,Frequently Late,3,0.55,High Risk,Critical Risk,6,3315.34,552.56,2025-11-15 00:00:00,2,2,Disciplined Savers
CUST-00027,19,18-24,Male,Master'S,Student,Married,Tier 1,Student,2021-05-10,4.64,INC-00027,1658.64,19903.68,Government Support,Low,Low (<$2.5k),EXP-00027,501.94,199.49,94.55,51.06,66.69,103.05,60.44,1077.22,0.6495,581.42,SAV-00027,254.37,12086.31,0.1534,Fully Funded,327.05,Healthy Saver,DEBT-00027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CRED-00027,738,On-Time,1,0.47,Medium Risk,High Risk,6,1436.95,239.49,2023-09-15 00:00:00,1,1,Emerging Customers
CUST-00028,38,35-49,Female,Bachelor'S,Employed,Married,Tier 2,Software/Tech,2018-10-03,7.24,INC-00028,6607.06,79284.72,Salary,High,Upper-Middle ($6k-$10k),EXP-00028,1798.33,897.02,580.68,274.07,552.63,327.76,160.12,4590.61,0.6948,2016.45,SAV-00028,1103.21,80998.81,0.167,Fully Funded,913.24,Healthy Saver,DEBT-00028,3360.41,20433.79,6404.42,11201.45,155910.15,197310.22,0.3584,CRED-00028,620,Frequently Late,4,0.54,High Risk,Critical Risk,7,2459.41,351.34,2025-03-05 00:00:00,1,1,Debt-Burdened
CUST-00029,50,50-64,Female,Bachelor'S,Employed,Married,Tier 1,Finance/Banking,2018-05-31,7.59,INC-00029,8614.53,103374.36,Salary,High,Upper-Middle ($6k-$10k),EXP-00029,3205.71,1042.0,772.65,498.45,759.15,576.16,457.45,7311.57,0.8487,1302.96,SAV-00029,697.64,61608.84,0.081,Fully Funded,605.32,Moderate Saver,DEBT-00029,0.0,0.0,0.0,19350.56,0.0,19350.56,0.027,CRED-00029,652,Occasional Late,2,0.56,High Risk,High Risk,3,3200.75,1066.92,2022-05-10 00:00:00,3,2,High-Income High-Spenders
CUST-00030,29,25-34,Male,Bachelor'S,Employed,Married,Tier 2,Education,2024-02-18,1.87,INC-00030,4274.53,51294.36,Salary,Medium,Middle ($2.5k-$6k),EXP-00030,1186.06,606.91,375.26,249.52,393.71,264.73,91.53,3167.72,0.7411,1106.81,SAV-00030,580.45,15499.9,0.1358,Partially Funded,526.36,Moderate Saver,DEBT-00030,0.0,0.0,44362.74,0.0,378282.23,422644.97,1.1865,CRED-00030,447,Default Risk,4,0.83,Very High Risk,Critical Risk,2,376.22,188.11,2025-07-03 00:00:00,2,2,Debt-Burdened
CUST-00031,75,65+,Female,Associate,Retired,Married,Tier 1,Retired,2021-11-16,4.12,INC-00031,4477.49,53729.88,Investment,High,Middle ($2.5k-$6k),EXP-00031,1612.03,694.76,411.56,175.38,437.55,311.76,224.48,3867.52,0.8638,609.97,SAV-00031,314.01,20560.92,0.0701,Partially Funded,295.96,Moderate Saver,DEBT-00031,0.0,0.0,0.0,16390.02,0.0,16390.02,0.0439,CRED-00031,705,On-Time,0,0.37,Medium Risk,Moderate Risk,2,2253.06,1126.53,2025-04-09 00:00:00,1,1,Low-Engagement Customers
CUST-00032,39,35-49,Female,Bachelor'S,Self-Employed,Single,Tier 2,Healthcare,2024-11-01,1.16,INC-00032,6945.4,83344.8,Business,Medium,Upper-Middle ($6k-$10k),EXP-00032,1795.55,1108.43,613.48,313.25,285.57,387.89,285.11,4789.28,0.6896,2156.12,SAV-00032,1744.11,23025.58,0.2511,Partially Funded,412.01,Healthy Saver,DEBT-00032,0.0,0.0,0.0,0.0,112151.84,112151.84,0.1938,CRED-00032,703,On-Time,0,0.39,Medium Risk,Moderate Risk,4,1893.3,473.33,2025-09-14 00:00:00,2,1,Debt-Burdened
CUST-00033,61,50-64,Female,Bachelor'S,Employed,Single,Tier 3,Software/Tech,2019-01-09,6.98,INC-00033,7010.14,84121.68,Salary,High,Upper-Middle ($6k-$10k),EXP-00033,1763.81,865.18,597.85,222.76,532.08,339.83,336.83,4658.34,0.6645,2351.8,SAV-00033,1480.11,104910.85,0.2111,Fully Funded,871.69,Excellent Saver,DEBT-00033,10003.03,0.0,0.0,0.0,143958.82,153961.85,0.2636,CRED-00033,717,On-Time,0,0.28,Medium Risk,Moderate Risk,3,2282.58,760.86,2025-03-14 00:00:00,2,2,Debt-Burdened
CUST-00034,42,35-49,Male,Bachelor'S,Employed,Married,Tier 2,Software/Tech,2023-10-09,2.23,INC-00034,7336.65,88039.8,Salary,Medium,Upper-Middle ($6k-$10k),EXP-00034,2122.79,1101.34,681.85,492.17,623.65,382.16,374.95,5778.91,0.7877,1557.74,SAV-00034,879.12,22871.52,0.1198,Partially Funded,678.62,Moderate Saver,DEBT-00034,8900.13,0.0,0.0,0.0,0.0,8900.13,0.0146,CRED-00034,714,Occasional Late,0,0.41,Medium Risk,Moderate Risk,4,2635.7,658.92,2025-09-01 00:00:00,3,3,Emerging Customers
CUST-00035,66,65+,Female,Doctorate,Retired,Single,Tier 2,Retired,2018-06-05,7.57,INC-00035,9041.0,108492.0,Pension/Government,High,Upper-Middle ($6k-$10k),EXP-00035,2187.33,1395.07,726.64,557.77,522.34,618.42,232.53,6240.1,0.6902,2800.9,SAV-00035,1573.4,168762.02,0.174,Fully Funded,1227.5,Healthy Saver,DEBT-00035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CRED-00035,776,On-Time,0,0.25,Low Risk,Low Risk,7,3567.41,509.63,2022-09-30 00:00:00,3,2,Financially Strong
CUST-00036,44,35-49,Male,Doctorate,Employed,Single,Tier 2,Healthcare,2022-04-04,3.74,INC-00036,10690.75,128289.0,Salary,High,High (>$10k),EXP-00036,2786.34,1858.96,796.2,486.32,1114.37,751.67,338.35,8132.21,0.7607,2558.54,SAV-00036,2165.19,120155.03,0.2025,Fully Funded,393.35,Excellent Saver,DEBT-00036,12128.15,0.0,0.0,0.0,0.0,12128.15,0.0136,CRED-00036,696,On-Time,2,0.35,Medium Risk,High Risk,7,2879.62,411.37,2025-09-21 00:00:00,3,2,Emerging Customers
CUST-00037,59,50-64,Female,Bachelor'S,Employed,Married,Tier 1,Management/Executive,2019-06-22,6.53,INC-00037,10047.3,120567.6,Salary,Medium,High (>$10k),EXP-00037,3431.18,1395.59,1040.29,627.05,462.6,585.0,240.34,7782.05,0.7745,2265.25,SAV-00037,1224.52,99844.41,0.1219,Fully Funded,1040.73,Moderate Saver,DEBT-00037,9430.53,0.0,0.0,0.0,0.0,9430.53,0.0113,CRED-00037,783,On-Time,0,0.24,Low Risk,Low Risk,7,2760.67,394.38,2024-11-18 00:00:00,3,2,High-Income High-Spenders
CUST-00038,45,35-49,Female,Master'S,Employed,Widowed,Tier 1,Trades/Manufacturing,2023-01-06,2.98,INC-00038,7747.38,92968.56,Salary,High,Upper-Middle ($6k-$10k),EXP-00038,3034.9,1114.28,700.49,484.18,603.62,450.33,379.51,6767.31,0.8735,980.07,SAV-00038,813.91,30697.35,0.1051,Partially Funded,166.16,Moderate Saver,DEBT-00038,0.0,0.0,0.0,0.0,395741.58,395741.58,0.613,CRED-00038,533,Default Risk,7,0.95,Very High Risk,Critical Risk,4,971.42,242.85,2025-08-07 00:00:00,1,1,High-Income High-Spenders
CUST-00039,33,25-34,Male,Bachelor'S,Employed,Single,Tier 3,Software/Tech,2020-09-23,5.27,INC-00039,9671.96,116063.52,Salary,High,Upper-Middle ($6k-$10k),EXP-00039,2295.44,1261.56,706.29,528.27,373.04,537.68,255.28,5957.56,0.616,3714.4,SAV-00039,2611.56,116515.75,0.27,Fully Funded,1102.84,Excellent Saver,DEBT-00039,0.0,0.0,36893.63,0.0,0.0,36893.63,0.0458,CRED-00039,788,On-Time,0,0.17,Low Risk,Low Risk,4,669.31,167.33,2023-10-23 00:00:00,1,1,Financially Strong
CUST-00040,32,25-34,Female,Bachelor'S,Employed,Married,Tier 2,Healthcare,2024-08-18,1.37,INC-00040,5489.53,65874.36,Salary,Medium,Middle ($2.5k-$6k),EXP-00040,1307.63,786.96,423.08,202.32,356.62,287.15,164.47,3528.23,0.6427,1961.3,SAV-00040,1302.65,16768.45,0.2373,Partially Funded,658.65,Healthy Saver,DEBT-00040,3443.54,0.0,44339.23,0.0,0.0,47782.77,0.1045,CRED-00040,724,On-Time,0,0.22,Medium Risk,Moderate Risk,5,516.39,103.28,2025-12-30 00:00:00,3,2,Emerging Customers
CUST-00041,64,50-64,Female,High School,Self-Employed,Single,Tier 1,Software/Tech,2021-11-27,4.09,INC-00041,4049.79,48597.48,Freelance,Low,Middle ($2.5k-$6k),EXP-00041,1236.36,710.03,395.03,154.74,342.03,199.5,91.95,3129.64,0.7728,920.15,SAV-00041,670.15,32403.67,0.1655,Fully Funded,250.0,Healthy Saver,DEBT-00041,2824.68,0.0,0.0,14973.88,322433.06,340231.62,1.0081,CRED-00041,557,Default Risk,7,0.98,Very High Risk,Critical Risk,8,1675.05,209.38,2025-09-22 00:00:00,2,2,Debt-Burdened
CUST-00042,68,65+,Female,Bachelor'S,Retired,Single,Tier 1,Retired,2019-08-28,6.34,INC-00042,6094.29,73131.48,Investment,High,Upper-Middle ($6k-$10k),EXP-00042,2401.12,736.76,498.42,299.11,522.48,351.25,128.63,4937.77,0.8102,1156.52,SAV-00042,644.14,37566.14,0.1057,Fully Funded,512.38,Moderate Saver,DEBT-00042,11255.32,14224.87,0.0,0.0,0.0,25480.19,0.0502,CRED-00042,744,Occasional Late,0,0.37,Medium Risk,Low Risk,7,2243.97,320.57,2025-11-30 00:00:00,2,1,Emerging Customers
CUST-00043,61,50-64,Male,Master'S,Employed,Married,Tier 2,Software/Tech,2023-08-05,2.41,INC-00043,11735.1,140821.2,Salary,High,High (>$10k),EXP-00043,3406.0,1996.74,1054.07,438.87,997.68,666.8,404.77,8964.93,0.7639,2770.17,SAV-00043,1550.31,55799.52,0.1321,Fully Funded,1219.86,Moderate Saver,DEBT-00043,6075.43,16164.58,0.0,0.0,0.0,22240.01,0.0227,CRED-00043,762,On-Time,0,0.09,Low Risk,Low Risk,11,7154.85,650.44,2025-12-04 00:00:00,2,2,High-Income High-Spenders
CUST-00044,72,65+,Male,Bachelor'S,Employed,Married,Tier 3,Retail/Hospitality,2019-02-05,6.9,INC-00044,7453.09,89437.08,Salary,Medium,Upper-Middle ($6k-$10k),EXP-00044,1787.07,906.26,421.44,258.38,691.41,445.76,173.93,4684.25,0.6285,2768.84,SAV-00044,2016.72,154328.1,0.2706,Fully Funded,752.12,Excellent Saver,DEBT-00044,4441.81,8679.21,0.0,0.0,0.0,13121.02,0.0211,CRED-00044,705,On-Time,0,0.37,Medium Risk,Moderate Risk,7,2696.1,385.16,2024-01-02 00:00:00,3,2,Emerging Customers
CUST-00045,69,65+,Non-Binary,Bachelor'S,Employed,Single,Tier 2,Finance/Banking,2020-07-22,5.44,INC-00045,7960.46,95525.52,Salary,High,Upper-Middle ($6k-$10k),EXP-00045,2528.15,1089.89,780.23,368.95,395.44,434.73,174.83,5772.22,0.7251,2188.24,SAV-00045,1559.88,108727.04,0.196,Fully Funded,628.36,Healthy Saver,DEBT-00045,0.0,0.0,0.0,27589.59,0.0,27589.59,0.0416,CRED-00045,718,On-Time,0,0.33,Medium Risk,Moderate Risk,6,1772.33,295.39,2025-11-02 00:00:00,3,3,Emerging Customers
