expense_id,customer_id,housing_expense,food_expense,transportation_expense,healthcare_expense,entertainment_expense,utilities_expense,other_expense,total_monthly_expense
EXP-00208,CUST-00208,1591.18,917.37,337.36,214.18,382.06,383.94,248.68,4074.76
EXP-00209,CUST-00209,1898.73,1079.97,641.53,431.25,898.25,510.42,320.62,5780.76
EXP-00210,CUST-00210,1397.1,780.45,410.41,301.3,431.0,304.35,349.47,3974.09
EXP-00211,CUST-00211,1819.64,656.53,291.33,159.94,504.96,249.76,237.47,3919.64
EXP-00212,CUST-00212,1833.07,970.65,676.17,388.53,341.13,400.63,414.87,5025.06
EXP-00213,CUST-00213,360.43,222.48,160.4,83.36,101.08,97.56,40.27,1065.59
EXP-00214,CUST-00214,1076.67,793.49,481.82,193.64,381.88,282.88,134.41,3344.79
EXP-00215,CUST-00215,1529.49,684.03,353.94,145.4,437.4,310.12,200.58,3660.96
EXP-00216,CUST-00216,2268.04,1140.13,866.21,480.45,871.03,439.09,517.03,6581.97
EXP-00217,CUST-00217,3316.83,1627.95,802.29,587.81,345.54,645.02,331.41,7656.83
EXP-00218,CUST-00218,663.58,340.62,253.75,96.73,101.74,125.85,104.68,1686.95
EXP-00219,CUST-00219,1474.55,812.66,505.94,197.96,264.74,320.98,224.53,3801.36
EXP-00220,CUST-00220,477.57,234.65,141.82,99.05,132.49,119.57,72.18,1277.33
EXP-00221,CUST-00221,1884.29,1160.0,386.32,437.28,480.75,397.86,194.31,4940.8
EXP-00222,CUST-00222,1862.38,1454.89,864.22,462.52,851.44,629.68,277.27,6402.39
EXP-00223,CUST-00223,2036.92,1191.87,710.56,461.13,691.68,475.93,219.3,5787.39
EXP-00224,CUST-00224,1555.4,788.83,472.32,182.49,490.11,316.65,213.02,4018.81
EXP-00225,CUST-00225,639.54,408.99,227.65,102.46,155.86,142.95,96.61,1774.05
EXP-00226,CUST-00226,2745.44,1233.31,642.06,258.52,770.65,523.86,210.88,6384.72
EXP-00227,CUST-00227,1812.06,1180.81,525.31,371.47,306.44,431.72,249.68,4877.48
EXP-00228,CUST-00228,3571.25,1121.78,815.7,282.15,623.88,544.34,323.16,7282.26
EXP-00229,CUST-00229,2364.43,857.97,475.88,391.37,355.79,404.37,316.22,5166.03
EXP-00230,CUST-00230,1527.39,666.03,361.73,182.21,398.47,230.09,165.17,3531.09
EXP-00231,CUST-00231,1068.81,501.12,257.7,196.19,412.07,243.7,108.5,2788.1
EXP-00232,CUST-00232,2338.64,1876.2,871.06,374.4,934.56,640.95,632.9,7668.71
EXP-00233,CUST-00233,1606.21,590.95,345.71,243.0,228.45,211.63,217.26,3443.21
EXP-00234,CUST-00234,518.77,269.21,185.38,109.13,182.12,145.64,61.4,1471.66
EXP-00235,CUST-00235,1470.98,791.12,349.45,238.46,427.19,355.24,118.78,3751.23
EXP-00236,CUST-00236,547.73,517.22,264.46,152.2,123.23,151.12,149.59,1905.54
EXP-00237,CUST-00237,1646.24,953.13,445.71,291.81,814.61,418.87,452.0,5022.36
EXP-00238,CUST-00238,4303.27,1578.53,627.02,669.18,465.38,632.31,303.83,8579.51
EXP-00239,CUST-00239,578.95,351.26,207.0,137.6,109.26,159.43,81.51,1625.01
EXP-00240,CUST-00240,2000.02,1209.02,430.27,235.89,495.96,359.5,194.39,4925.04
EXP-00241,CUST-00241,2308.98,1230.5,525.42,469.19,749.47,608.29,399.83,6291.68
EXP-00242,CUST-00242,1643.24,1055.06,430.2,328.38,393.13,421.5,280.75,4552.27
EXP-00243,CUST-00243,1895.02,864.64,421.19,335.5,349.64,316.55,271.23,4453.77
EXP-00244,CUST-00244,4139.02,2485.89,1229.99,551.2,836.29,784.3,449.54,10476.23
EXP-00245,CUST-00245,2238.61,1065.91,641.61,347.19,535.74,341.65,274.12,5444.82
EXP-00246,CUST-00246,265.01,172.32,77.96,51.98,92.44,58.42,45.62,763.75
EXP-00247,CUST-00247,1157.08,579.68,324.57,291.24,247.32,217.87,247.55,3065.32
EXP-00248,CUST-00248,3678.38,2176.49,1032.23,454.98,1008.69,817.7,513.12,9681.6
EXP-00249,CUST-00249,3317.74,1596.55,1063.14,770.16,495.47,721.51,270.96,8235.53
EXP-00250,CUST-00250,1459.02,1047.15,714.0,408.98,554.69,462.98,328.55,4975.35
EXP-00251,CUST-00251,1720.73,1486.18,860.04,522.1,658.89,653.18,376.36,6277.49
EXP-00252,CUST-00252,1404.85,785.31,306.85,178.26,245.71,377.1,214.09,3512.16
EXP-00253,CUST-00253,293.21,184.39,75.59,50.2,66.04,69.81,30.39,769.63
EXP-00254,CUST-00254,299.75,103.2,50.0,30.11,35.65,53.17,21.88,593.75
EXP-00255,CUST-00255,1369.23,881.79,490.36,300.18,524.32,284.17,259.66,4109.71
EXP-00256,CUST-00256,998.05,758.58,468.44,230.66,441.27,261.0,277.96,3435.94
EXP-00257,CUST-00257,3039.93,1420.25,729.03,254.76,495.99,586.94,188.34,6715.26
EXP-00258,CUST-00258,717.93,358.69,180.36,110.58,201.33,146.1,122.29,1837.3
EXP-00259,CUST-00259,1387.1,686.28,405.87,356.55,485.22,294.41,295.83,3911.25
EXP-00260,CUST-00260,1212.17,702.54,475.35,300.79,472.43,256.52,152.11,3571.92
EXP-00261,CUST-00261,2065.23,1401.25,527.59,322.72,554.48,508.64,332.62,5712.54
EXP-00262,CUST-00262,2099.73,895.32,416.7,189.02,423.31,346.77,337.17,4708.01
EXP-00263,CUST-00263,668.02,512.88,291.09,97.53,237.99,211.25,168.94,2187.7
EXP-00264,CUST-00264,2973.97,1148.04,538.87,272.82,388.54,440.12,379.35,6141.7
EXP-00265,CUST-00265,1063.38,715.51,287.15,176.76,243.75,243.26,220.85,2950.67
EXP-00266,CUST-00266,3045.09,1168.18,597.61,470.07,311.82,522.92,233.54,6349.23
EXP-00267,CUST-00267,2231.38,1537.02,646.33,684.88,434.27,490.8,543.3,6567.99
EXP-00268,CUST-00268,997.89,511.02,256.84,198.44,265.53,146.86,115.14,2491.72
EXP-00269,CUST-00269,1426.06,691.93,311.99,255.72,235.6,244.58,169.34,3335.21
EXP-00270,CUST-00270,1220.82,840.64,378.51,350.16,544.58,394.04,232.96,3961.72
EXP-00271,CUST-00271,258.65,111.49,73.41,36.8,67.82,61.3,25.09,634.56
EXP-00272,CUST-00272,1672.4,1433.6,487.73,525.81,622.21,538.04,167.29,5447.09
EXP-00273,CUST-00273,1838.14,877.02,565.56,333.55,372.28,311.18,125.11,4422.83
EXP-00274,CUST-00274,2022.24,890.49,575.01,331.83,351.99,401.53,121.19,4694.28
EXP-00275,CUST-00275,2239.67,1080.93,531.89,248.94,363.03,422.06,363.78,5250.3
EXP-00276,CUST-00276,1900.92,700.72,399.45,374.49,499.58,393.96,133.67,4402.79
EXP-00277,CUST-00277,2486.95,1093.49,395.47,319.27,221.43,365.71,199.94,5082.26
EXP-00278,CUST-00278,1470.32,855.86,317.04,243.14,416.44,330.8,196.65,3830.27
EXP-00279,CUST-00279,844.42,705.75,260.28,154.76,387.28,261.94,165.41,2779.84
EXP-00280,CUST-00280,2168.08,793.81,351.07,275.49,515.07,330.3,180.5,4614.31
EXP-00281,CUST-00281,1107.94,493.32,203.45,170.52,192.34,150.66,112.04,2430.27
EXP-00282,CUST-00282,2511.13,1530.57,839.73,411.53,1045.49,699.2,469.4,7507.05
EXP-00283,CUST-00283,1745.56,1056.65,353.32,329.8,261.56,318.96,213.96,4279.8
EXP-00284,CUST-00284,1664.37,742.63,424.47,344.03,220.19,350.41,154.84,3900.96
EXP-00285,CUST-00285,1461.15,858.64,558.09,370.05,692.79,472.2,287.81,4700.75
EXP-00286,CUST-00286,1453.35,869.38,524.27,187.83,537.38,356.83,175.37,4104.4
EXP-00287,CUST-00287,1139.01,889.05,432.45,345.38,520.51,273.17,293.15,3892.73
