product_id,customer_id,product_type,product_status,signup_date
PROD-00088,CUST-00044,Investment Account,Active,2020-06-15
PROD-00089,CUST-00044,Auto Loan,Closed,2020-12-08
PROD-00090,CUST-00045,Savings Account,Active,2020-07-22
PROD-00091,CUST-00045,Credit Card,Active,2020-12-05
PROD-00092,CUST-00045,Retirement Account,Active,2024-01-25
PROD-00093,CUST-00046,Savings Account,Active,2021-09-03
PROD-00094,CUST-00046,Auto Loan,Active,2025-11-03
PROD-00095,CUST-00047,Savings Account,Active,2024-12-11
PROD-00096,CUST-00047,Retirement Account,Closed,2025-05-10
PROD-00097,CUST-00047,Auto Loan,Closed,2025-03-07
PROD-00098,CUST-00048,Savings Account,Active,2021-02-13
PROD-00099,CUST-00048,Auto Loan,Closed,2025-07-30
PROD-00100,CUST-00049,Savings Account,Active,2019-11-11
PROD-00101,CUST-00050,Savings Account,Active,2024-01-16
PROD-00102,CUST-00050,Mortgage,Active,2025-03-11
PROD-00103,CUST-00050,Retirement Account,Active,2024-03-26
PROD-00104,CUST-00051,Savings Account,Active,2020-05-15
PROD-00105,CUST-00051,Mortgage,Active,2025-09-20
PROD-00106,CUST-00051,Retirement Account,Active,2020-11-25
PROD-00107,CUST-00052,Savings Account,Active,2020-10-13
PROD-00108,CUST-00052,Retirement Account,Active,2024-03-07
PROD-00109,CUST-00053,Savings Account,Active,2019-06-22
PROD-00110,CUST-00053,Investment Account,Active,2024-10-22
PROD-00111,CUST-00053,Mortgage,Active,2020-05-08
PROD-00112,CUST-00054,Savings Account,Active,2024-11-06
PROD-00113,CUST-00055,Savings Account,Active,2022-04-16
PROD-00114,CUST-00055,Mortgage,Active,2024-07-20
PROD-00115,CUST-00056,Savings Account,Active,2020-11-01
PROD-00116,CUST-00056,Personal Loan,Active,2023-05-08
PROD-00117,CUST-00057,Savings Account,Active,2023-01-24
PROD-00118,CUST-00058,Savings Account,Active,2020-06-15
PROD-00119,CUST-00059,Savings Account,Active,2024-10-29
PROD-00120,CUST-00059,Retirement Account,Active,2025-04-22
PROD-00121,CUST-00060,Savings Account,Active,2023-10-08
PROD-00122,CUST-00060,Personal Loan,Active,2023-12-13
PROD-00123,CUST-00060,Credit Card,Closed,2024-11-05
PROD-00124,CUST-00060,Auto Loan,Active,2025-05-15
PROD-00125,CUST-00061,Savings Account,Active,2024-03-15
PROD-00126,CUST-00061,Retirement Account,Active,2024-09-03
PROD-00127,CUST-00061,Investment Account,Closed,2024-11-15
PROD-00128,CUST-00062,Savings Account,Active,2020-11-26
PROD-00129,CUST-00062,Investment Account,Active,2025-07-21
PROD-00130,CUST-00062,Credit Card,Churned,2024-08-31
PROD-00131,CUST-00063,Savings Account,Active,2022-12-03
PROD-00132,CUST-00064,Savings Account,Active,2022-04-09
PROD-00133,CUST-00064,Personal Loan,Active,2022-09-04
PROD-00134,CUST-00065,Savings Account,Active,2020-12-06
PROD-00135,CUST-00065,Credit Card,Active,2022-08-01
PROD-00136,CUST-00066,Savings Account,Active,2022-02-24
PROD-00137,CUST-00067,Savings Account,Active,2018-03-24
PROD-00138,CUST-00067,Mortgage,Active,2025-06-01
PROD-00139,CUST-00067,Credit Card,Active,2025-09-15
PROD-00140,CUST-00067,Investment Account,Active,2021-01-23
PROD-00141,CUST-00068,Savings Account,Active,2018-08-18
PROD-00142,CUST-00069,Savings Account,Active,2021-01-08
PROD-00143,CUST-00069,Auto Loan,Active,2023-07-25
PROD-00144,CUST-00070,Savings Account,Active,2021-11-02
PROD-00145,CUST-00070,Auto Loan,Active,2022-12-04
PROD-00146,CUST-00070,Investment Account,Active,2022-07-15
PROD-00147,CUST-00071,Savings Account,Active,2019-08-15
PROD-00148,CUST-00071,Mortgage,Closed,2022-12-29
PROD-00149,CUST-00072,Savings Account,Active,2021-01-02
PROD-00150,CUST-00073,Savings Account,Active,2019-09-13
PROD-00151,CUST-00073,Personal Loan,Active,2023-06-19
PROD-00152,CUST-00074,Savings Account,Active,2024-12-16
PROD-00153,CUST-00074,Retirement Account,Active,2025-03-07
PROD-00154,CUST-00074,Personal Loan,Active,2025-06-25
PROD-00155,CUST-00075,Savings Account,Active,2018-06-16
PROD-00156,CUST-00075,Auto Loan,Active,2023-07-09
PROD-00157,CUST-00076,Savings Account,Active,2023-02-02
PROD-00158,CUST-00076,Auto Loan,Active,2023-05-06
PROD-00159,CUST-00077,Savings Account,Active,2023-10-30
PROD-00160,CUST-00077,Personal Loan,Active,2025-06-19
PROD-00161,CUST-00077,Retirement Account,Active,2024-09-21
PROD-00162,CUST-00078,Savings Account,Active,2023-11-28
PROD-00163,CUST-00079,Savings Account,Active,2019-03-07
PROD-00164,CUST-00079,Mortgage,Active,2022-12-29
PROD-00165,CUST-00079,Retirement Account,Closed,2021-06-04
PROD-00166,CUST-00079,Personal Loan,Active,2020-01-06
PROD-00167,CUST-00080,Savings Account,Active,2023-09-07
PROD-00168,CUST-00081,Savings Account,Active,2020-06-15
PROD-00169,CUST-00081,Personal Loan,Active,2025-10-20
PROD-00170,CUST-00081,Retirement Account,Active,2024-02-04
PROD-00171,CUST-00081,Credit Card,Active,2021-09-20
PROD-00172,CUST-00082,Savings Account,Active,2022-04-21
PROD-00173,CUST-00082,Investment Account,Active,2025-07-14
PROD-00174,CUST-00082,Retirement Account,Pending,2024-01-01
PROD-00175,CUST-00083,Savings Account,Active,2021-09-26
PROD-00176,CUST-00083,Mortgage,Active,2022-09-19
PROD-00177,CUST-00083,Personal Loan,Active,2023-10-03
PROD-00178,CUST-00084,Savings Account,Active,2020-01-04
PROD-00179,CUST-00085,Savings Account,Active,2024-07-08
PROD-00180,CUST-00085,Auto Loan,Active,2025-02-12
PROD-00181,CUST-00086,Savings Account,Active,2019-11-21
PROD-00182,CUST-00086,Investment Account,Active,2020-07-09
PROD-00183,CUST-00086,Personal Loan,Active,2023-06-11
PROD-00184,CUST-00087,Savings Account,Active,2019-11-24
PROD-00185,CUST-00088,Savings Account,Active,2020-06-20
PROD-00186,CUST-00088,Retirement Account,Pending,2025-11-07
PROD-00187,CUST-00089,Savings Account,Active,2022-08-01
PROD-00188,CUST-00090,Savings Account,Active,2020-02-23
PROD-00189,CUST-00091,Savings Account,Active,2022-10-07
PROD-00190,CUST-00091,Credit Card,Active,2024-11-04
PROD-00191,CUST-00091,Investment Account,Active,2023-12-15
PROD-00192,CUST-00092,Savings Account,Active,2018-01-22
PROD-00193,CUST-00093,Savings Account,Active,2024-10-09
PROD-00194,CUST-00093,Mortgage,Active,2025-08-15
PROD-00195,CUST-00094,Savings Account,Active,2021-01-18
PROD-00196,CUST-00095,Savings Account,Active,2024-04-27
PROD-00197,CUST-00096,Savings Account,Active,2022-10-24
PROD-00198,CUST-00096,Mortgage,Active,2024-05-01
PROD-00199,CUST-00097,Savings Account,Active,2021-12-15
PROD-00200,CUST-00097,Mortgage,Closed,2021-12-30
PROD-00201,CUST-00097,Retirement Account,Active,2025-02-15
PROD-00202,CUST-00098,Savings Account,Active,2019-08-21
PROD-00203,CUST-00098,Credit Card,Active,2024-03-19
PROD-00204,CUST-00099,Savings Account,Active,2019-03-11
PROD-00205,CUST-00099,Auto Loan,Pending,2024-01-20
PROD-00206,CUST-00100,Savings Account,Active,2024-11-18
PROD-00207,CUST-00101,Savings Account,Active,2018-12-15
PROD-00208,CUST-00101,Credit Card,Active,2021-09-22
PROD-00209,CUST-00102,Savings Account,Active,2024-09-16
PROD-00210,CUST-00103,Savings Account,Active,2022-12-01
PROD-00211,CUST-00104,Savings Account,Active,2022-01-19
PROD-00212,CUST-00104,Retirement Account,Active,2022-10-29
PROD-00213,CUST-00105,Savings Account,Active,2021-07-30
PROD-00214,CUST-00105,Credit Card,Active,2023-07-16
PROD-00215,CUST-00106,Savings Account,Active,2023-01-21
PROD-00216,CUST-00107,Savings Account,Active,2022-02-24
PROD-00217,CUST-00107,Personal Loan,Active,2022-05-05
PROD-00218,CUST-00108,Savings Account,Active,2020-02-14
PROD-00219,CUST-00108,Retirement Account,Active,2022-11-29
PROD-00220,CUST-00109,Savings Account,Active,2023-10-17
PROD-00221,CUST-00109,Personal Loan,Churned,2025-02-17
PROD-00222,CUST-00110,Savings Account,Active,2023-09-05
PROD-00223,CUST-00110,Retirement Account,Active,2025-12-21
PROD-00224,CUST-00111,Savings Account,Active,2018-02-28
PROD-00225,CUST-00112,Savings Account,Active,2018-03-18
PROD-00226,CUST-00113,Savings Account,Active,2024-02-29
PROD-00227,CUST-00114,Savings Account,Active,2021-08-11
PROD-00228,CUST-00114,Personal Loan,Active,2023-02-06
PROD-00229,CUST-00114,Investment Account,Closed,2024-05-14
PROD-00230,CUST-00114,Auto Loan,Active,2023-07-31
PROD-00231,CUST-00115,Savings Account,Active,2023-09-13
PROD-00232,CUST-00116,Savings Account,Active,2019-09-27
PROD-00233,CUST-00116,Credit Card,Active,2025-11-08
PROD-00234,CUST-00117,Savings Account,Active,2018-03-26
PROD-00235,CUST-00117,Personal Loan,Active,2025-04-30
PROD-00236,CUST-00117,Auto Loan,Active,2018-11-07
PROD-00237,CUST-00118,Savings Account,Active,2023-07-18
PROD-00238,CUST-00119,Savings Account,Active,2024-02-20
PROD-00239,CUST-00120,Savings Account,Active,2021-05-25
PROD-00240,CUST-00120,Auto Loan,Closed,2024-06-27
PROD-00241,CUST-00121,Savings Account,Active,2024-07-27
PROD-00242,CUST-00121,Investment Account,Churned,2025-02-24
PROD-00243,CUST-00122,Savings Account,Active,2018-12-19
PROD-00244,CUST-00123,Savings Account,Active,2023-04-17
PROD-00245,CUST-00124,Savings Account,Active,2018-10-21
PROD-00246,CUST-00124,Auto Loan,Closed,2019-07-03
PROD-00247,CUST-00125,Savings Account,Active,2021-09-27
PROD-00248,CUST-00126,Savings Account,Active,2021-08-13
PROD-00249,CUST-00126,Investment Account,Active,2025-03-07
PROD-00250,CUST-00126,Retirement Account,Active,2021-09-30
PROD-00251,CUST-00127,Savings Account,Active,2020-02-09
PROD-00252,CUST-00127,Auto Loan,Active,2025-08-16
PROD-00253,CUST-00127,Retirement Account,Active,2022-01-08
PROD-00254,CUST-00128,Savings Account,Active,2018-01-19
PROD-00255,CUST-00129,Savings Account,Active,2022-08-07
PROD-00256,CUST-00129,Personal Loan,Active,2022-10-12
PROD-00257,CUST-00130,Savings Account,Active,2023-09-13
PROD-00258,CUST-00130,Credit Card,Active,2025-05-02
PROD-00259,CUST-00131,Savings Account,Active,2021-05-08
PROD-00260,CUST-00131,Auto Loan,Active,2023-03-31
PROD-00261,CUST-00132,Savings Account,Active,2024-11-26
PROD-00262,CUST-00132,Investment Account,Pending,2025-06-26
PROD-00263,CUST-00132,Mortgage,Closed,2025-11-02
PROD-00264,CUST-00133,Savings Account,Active,2024-06-29
PROD-00265,CUST-00133,Investment Account,Active,2024-10-09
PROD-00266,CUST-00134,Savings Account,Active,2020-08-04
PROD-00267,CUST-00135,Savings Account,Active,2019-11-20
PROD-00268,CUST-00135,Investment Account,Active,2021-03-22
PROD-00269,CUST-00136,Savings Account,Active,2024-09-29
PROD-00270,CUST-00137,Savings Account,Active,2021-04-20
PROD-00271,CUST-00137,Auto Loan,Active,2024-08-31
PROD-00272,CUST-00138,Savings Account,Active,2023-10-26
PROD-00273,CUST-00138,Investment Account,Closed,2025-08-23
PROD-00274,CUST-00139,Savings Account,Active,2021-07-17
PROD-00275,CUST-00140,Savings Account,Active,2019-10-01
PROD-00276,CUST-00140,Retirement Account,Active,2024-11-08
PROD-00277,CUST-00140,Mortgage,Active,2022-12-13
PROD-00278,CUST-00140,Credit Card,Closed,2024-09-13
PROD-00279,CUST-00141,Savings Account,Active,2021-01-18
PROD-00280,CUST-00141,Auto Loan,Closed,2024-06-15
PROD-00281,CUST-00142,Savings Account,Active,2021-01-04
PROD-00282,CUST-00142,Retirement Account,Churned,2022-12-24
PROD-00283,CUST-00142,Mortgage,Active,2023-08-24
PROD-00284,CUST-00143,Savings Account,Active,2021-04-27
PROD-00285,CUST-00143,Personal Loan,Active,2022-11-18
PROD-00286,CUST-00144,Savings Account,Active,2023-12-22
PROD-00287,CUST-00144,Retirement Account,Closed,2024-08-23
PROD-00288,CUST-00144,Credit Card,Active,2024-03-02
PROD-00289,CUST-00145,Savings Account,Active,2024-04-02
PROD-00290,CUST-00146,Savings Account,Active,2023-02-07
PROD-00291,CUST-00147,Savings Account,Active,2024-01-29
PROD-00292,CUST-00147,Retirement Account,Active,2024-06-19
PROD-00293,CUST-00147,Credit Card,Active,2025-03-28
PROD-00294,CUST-00148,Savings Account,Active,2021-01-23
PROD-00295,CUST-00148,Investment Account,Churned,2022-01-28
PROD-00296,CUST-00149,Savings Account,Active,2022-12-01
PROD-00297,CUST-00149,Retirement Account,Active,2023-12-27
PROD-00298,CUST-00150,Savings Account,Active,2021-03-04
PROD-00299,CUST-00150,Personal Loan,Closed,2023-04-17
PROD-00300,CUST-00151,Savings Account,Active,2020-03-31
PROD-00301,CUST-00151,Investment Account,Active,2021-04-10
PROD-00302,CUST-00151,Mortgage,Active,2021-06-17
PROD-00303,CUST-00151,Credit Card,Closed,2023-04-04
PROD-00304,CUST-00152,Savings Account,Active,2024-03-22
PROD-00305,CUST-00152,Retirement Account,Active,2024-10-18
PROD-00306,CUST-00153,Savings Account,Active,2018-01-19
PROD-00307,CUST-00153,Retirement Account,Active,2022-09-15
PROD-00308,CUST-00154,Savings Account,Active,2022-08-07
PROD-00309,CUST-00154,Retirement Account,Active,2023-02-14
PROD-00310,CUST-00155,Savings Account,Active,2023-12-19
PROD-00311,CUST-00156,Savings Account,Active,2020-02-13
PROD-00312,CUST-00156,Auto Loan,Active,2022-11-25
PROD-00313,CUST-00157,Savings Account,Active,2023-11-20
PROD-00314,CUST-00158,Savings Account,Active,2024-11-29
PROD-00315,CUST-00159,Savings Account,Active,2020-05-31
PROD-00316,CUST-00159,Investment Account,Active,2022-10-22
PROD-00317,CUST-00160,Savings Account,Active,2021-08-26
PROD-00318,CUST-00161,Savings Account,Active,2021-07-29
PROD-00319,CUST-00161,Auto Loan,Active,2022-02-18
PROD-00320,CUST-00162,Savings Account,Active,2020-11-23
PROD-00321,CUST-00162,Personal Loan,Active,2022-01-15
PROD-00322,CUST-00162,Investment Account,Active,2023-03-25
PROD-00323,CUST-00162,Credit Card,Active,2025-12-30
PROD-00324,CUST-00163,Savings Account,Active,2018-09-22
PROD-00325,CUST-00163,Mortgage,Active,2024-11-14
PROD-00326,CUST-00164,Savings Account,Active,2023-03-27
PROD-00327,CUST-00165,Savings Account,Active,2024-09-30
PROD-00328,CUST-00166,Savings Account,Active,2023-01-26
PROD-00329,CUST-00167,Savings Account,Active,2021-08-11
PROD-00330,CUST-00168,Savings Account,Active,2020-10-26
PROD-00331,CUST-00168,Personal Loan,Active,2022-10-20
PROD-00332,CUST-00169,Savings Account,Active,2023-08-10
PROD-00333,CUST-00169,Personal Loan,Active,2024-05-03
PROD-00334,CUST-00170,Savings Account,Active,2021-07-26
PROD-00335,CUST-00170,Mortgage,Active,2021-09-30
PROD-00336,CUST-00171,Savings Account,Active,2022-05-12
PROD-00337,CUST-00171,Investment Account,Active,2025-02-04
PROD-00338,CUST-00171,Credit Card,Active,2025-12-06
PROD-00339,CUST-00172,Savings Account,Active,2021-02-06
PROD-00340,CUST-00172,Mortgage,Active,2022-06-12
PROD-00341,CUST-00173,Savings Account,Active,2019-10-11
PROD-00342,CUST-00173,Investment Account,Active,2024-03-05
PROD-00343,CUST-00173,Auto Loan,Active,2022-03-13
PROD-00344,CUST-00173,Mortgage,Active,2023-06-19
PROD-00345,CUST-00174,Savings Account,Active,2023-07-03
PROD-00346,CUST-00175,Savings Account,Active,2022-11-20
PROD-00347,CUST-00176,Savings Account,Active,2020-02-24
PROD-00348,CUST-00176,Auto Loan,Active,2023-01-31
PROD-00349,CUST-00176,Credit Card,Pending,2021-06-21
PROD-00350,CUST-00177,Savings Account,Active,2024-11-04
PROD-00351,CUST-00178,Savings Account,Active,2018-04-21
PROD-00352,CUST-00178,Investment Account,Closed,2018-06-02
PROD-00353,CUST-00179,Savings Account,Active,2024-07-09
PROD-00354,CUST-00180,Savings Account,Active,2022-05-14
PROD-00355,CUST-00180,Auto Loan,Active,2025-01-29
PROD-00356,CUST-00180,Mortgage,Churned,2024-05-30
PROD-00357,CUST-00181,Savings Account,Active,2023-07-14
PROD-00358,CUST-00181,Auto Loan,Active,2023-12-18
PROD-00359,CUST-00182,Savings Account,Active,2024-02-19
PROD-00360,CUST-00182,Investment Account,Active,2024-11-15
PROD-00361,CUST-00183,Savings Account,Active,2020-11-27
PROD-00362,CUST-00183,Personal Loan,Active,2025-06-21
PROD-00363,CUST-00184,Savings Account,Active,2023-03-04
PROD-00364,CUST-00185,Savings Account,Active,2022-08-05
PROD-00365,CUST-00185,Credit Card,Pending,2025-09-29
PROD-00366,CUST-00185,Investment Account,Closed,2022-11-22
PROD-00367,CUST-00186,Savings Account,Active,2024-11-17
PROD-00368,CUST-00187,Savings Account,Active,2020-07-30
PROD-00369,CUST-00187,Credit Card,Active,2024-05-16
PROD-00370,CUST-00187,Personal Loan,Active,2023-12-14
PROD-00371,CUST-00188,Savings Account,Active,2024-10-14
PROD-00372,CUST-00189,Savings Account,Active,2018-03-17
PROD-00373,CUST-00189,Personal Loan,Active,2020-10-24
PROD-00374,CUST-00190,Savings Account,Active,2018-01-23
PROD-00375,CUST-00190,Auto Loan,Active,2021-06-18
PROD-00376,CUST-00191,Savings Account,Active,2022-02-20
PROD-00377,CUST-00191,Personal Loan,Pending,2023-10-06
PROD-00378,CUST-00192,Savings Account,Active,2020-01-17
PROD-00379,CUST-00192,Mortgage,Active,2020-10-21
PROD-00380,CUST-00192,Retirement Account,Active,2024-11-25
PROD-00381,CUST-00193,Savings Account,Active,2021-06-27
PROD-00382,CUST-00193,Retirement Account,Active,2022-01-09
PROD-00383,CUST-00193,Auto Loan,Active,2024-04-26
PROD-00384,CUST-00194,Savings Account,Active,2018-01-30
PROD-00385,CUST-00194,Investment Account,Closed,2024-12-28
PROD-00386,CUST-00195,Savings Account,Active,2019-06-18
PROD-00387,CUST-00195,Auto Loan,Active,2025-10-17
PROD-00388,CUST-00195,Mortgage,Active,2025-02-12
PROD-00389,CUST-00196,Savings Account,Active,2019-05-28
PROD-00390,CUST-00197,Savings Account,Active,2021-02-21
PROD-00391,CUST-00197,Credit Card,Active,2023-08-24
PROD-00392,CUST-00198,Savings Account,Active,2022-01-14
PROD-00393,CUST-00198,Retirement Account,Active,2025-02-05
PROD-00394,CUST-00199,Savings Account,Active,2022-11-28
PROD-00395,CUST-00199,Retirement Account,Active,2023-09-02
PROD-00396,CUST-00200,Savings Account,Active,2022-06-26
PROD-00397,CUST-00200,Mortgage,Active,2024-04-25
PROD-00398,CUST-00200,Retirement Account,Active,2024-01-20
PROD-00399,CUST-00201,Savings Account,Active,2023-01-10
PROD-00400,CUST-00201,Personal Loan,Active,2023-03-07
PROD-00401,CUST-00202,Savings Account,Active,2019-11-20
PROD-00402,CUST-00203,Savings Account,Active,2023-07-26
PROD-00403,CUST-00203,Personal Loan,Closed,2024-05-14
PROD-00404,CUST-00203,Mortgage,Active,2024-01-20
PROD-00405,CUST-00204,Savings Account,Active,2019-09-16
PROD-00406,CUST-00204,Auto Loan,Pending,2023-06-21
PROD-00407,CUST-00205,Savings Account,Active,2019-01-17
PROD-00408,CUST-00205,Credit Card,Active,2019-04-08
PROD-00409,CUST-00205,Investment Account,Active,2024-05-24
PROD-00410,CUST-00205,Personal Loan,Active,2022-09-04
PROD-00411,CUST-00206,Savings Account,Active,2020-11-08
PROD-00412,CUST-00206,Credit Card,Closed,2021-04-13
PROD-00413,CUST-00206,Auto Loan,Active,2022-04-17
PROD-00414,CUST-00206,Personal Loan,Active,2025-03-25
PROD-00415,CUST-00207,Savings Account,Active,2024-05-13
PROD-00416,CUST-00207,Auto Loan,Closed,2025-11-22
PROD-00417,CUST-00208,Savings Account,Active,2020-11-08
PROD-00418,CUST-00208,Personal Loan,Pending,2023-12-09
PROD-00419,CUST-00209,Savings Account,Active,2022-08-19
PROD-00420,CUST-00209,Auto Loan,Active,2025-03-09
PROD-00421,CUST-00209,Personal Loan,Active,2023-01-29
PROD-00422,CUST-00210,Savings Account,Active,2020-09-18
PROD-00423,CUST-00210,Mortgage,Active,2021-12-02
PROD-00424,CUST-00211,Savings Account,Active,2020-05-07
PROD-00425,CUST-00211,Mortgage,Active,2025-02-25
PROD-00426,CUST-00211,Credit Card,Closed,2021-08-07
PROD-00427,CUST-00212,Savings Account,Active,2024-04-27
PROD-00428,CUST-00213,Savings Account,Active,2019-06-08
PROD-00429,CUST-00213,Retirement Account,Active,2022-11-07
PROD-00430,CUST-00214,Savings Account,Active,2021-06-28
PROD-00431,CUST-00214,Auto Loan,Active,2022-02-07
PROD-00432,CUST-00214,Credit Card,Active,2024-04-07
PROD-00433,CUST-00215,Savings Account,Active,2020-04-28
PROD-00434,CUST-00215,Investment Account,Pending,2023-12-07
PROD-00435,CUST-00215,Auto Loan,Active,2025-01-16
PROD-00436,CUST-00216,Savings Account,Active,2023-08-21
PROD-00437,CUST-00217,Savings Account,Active,2021-01-23
PROD-00438,CUST-00218,Savings Account,Active,2023-01-07
PROD-00439,CUST-00218,Retirement Account,Active,2025-06-22
PROD-00440,CUST-00218,Auto Loan,Closed,2024-08-14
PROD-00441,CUST-00219,Savings Account,Active,2023-10-07
PROD-00442,CUST-00219,Mortgage,Active,2025-05-18
PROD-00443,CUST-00219,Credit Card,Closed,2025-02-05
PROD-00444,CUST-00220,Savings Account,Active,2018-04-22
PROD-00445,CUST-00220,Retirement Account,Active,2019-05-27
PROD-00446,CUST-00221,Savings Account,Active,2024-10-07
PROD-00447,CUST-00222,Savings Account,Active,2020-07-23
PROD-00448,CUST-00222,Auto Loan,Active,2023-01-14
PROD-00449,CUST-00222,Retirement Account,Active,2025-08-02
PROD-00450,CUST-00223,Savings Account,Active,2023-08-06
PROD-00451,CUST-00224,Savings Account,Active,2021-04-17
PROD-00452,CUST-00225,Savings Account,Active,2019-07-11
PROD-00453,CUST-00226,Savings Account,Active,2019-04-04
PROD-00454,CUST-00227,Savings Account,Active,2018-02-10
PROD-00455,CUST-00228,Savings Account,Active,2018-07-16
PROD-00456,CUST-00228,Personal Loan,Active,2020-03-24
PROD-00457,CUST-00229,Savings Account,Active,2022-01-11
PROD-00458,CUST-00230,Savings Account,Active,2022-02-16
PROD-00459,CUST-00230,Investment Account,Active,2025-12-20
